Origin Time:2023/10/11 18:36:57
Lon:121.24°E
Lat:23.27°N
Depth:14.5km
Mag:5.8
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=   9.74,BAZ=328.37,PGA(V)= 163.69,PGA(NS)= 293.93,PGA(EW)= 543.52,PGV(V)=   6.59,PGV(NS)=  16.72,PGV(EW)=  27.98,Int= 5弱,PGA(SUM)= 554.30,PGV(SUM)=  29.59
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 131.32,BAZ=145.99,PGA(V)=   2.10,PGA(NS)=   3.68,PGA(EW)=   4.65,PGV(V)=   0.30,PGV(NS)=   0.39,PGV(EW)=   0.60,Int= 2級,PGA(SUM)=   5.41,PGV(SUM)=   0.67
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 133.92,BAZ=152.66,PGA(V)=   1.42,PGA(NS)=   2.66,PGA(EW)=   3.39,PGV(V)=   0.19,PGV(NS)=   0.37,PGV(EW)=   0.42,Int= 2級,PGA(SUM)=   3.38,PGV(SUM)=   0.47
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 135.26,BAZ=159.07,PGA(V)=   2.14,PGA(NS)=   5.51,PGA(EW)=   8.53,PGV(V)=   0.31,PGV(NS)=   0.50,PGV(EW)=   0.60,Int= 3級,PGA(SUM)=   8.98,PGV(SUM)=   0.66
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist= 137.59,BAZ=201.95,PGA(V)=   1.39,PGA(NS)=   3.04,PGA(EW)=   2.60,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.14,PGV(SUM)=   0.18
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist= 140.66,BAZ=346.73,PGA(V)=   0.35,PGA(NS)=   0.94,PGA(EW)=   0.77,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist= 140.68,BAZ=202.76,PGA(V)=   1.70,PGA(NS)=   4.70,PGA(EW)=   4.65,PGV(V)=   0.10,PGV(NS)=   0.27,PGV(EW)=   0.35,Int= 2級,PGA(SUM)=   4.91,PGV(SUM)=   0.42
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist= 149.21,BAZ=163.42,PGA(V)=   2.02,PGA(NS)=   5.03,PGA(EW)=   3.29,PGV(V)=   0.16,PGV(NS)=   0.59,PGV(EW)=   0.35,Int= 2級,PGA(SUM)=   5.25,PGV(SUM)=   0.66
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist= 149.64,BAZ= 20.00,PGA(V)=   0.93,PGA(NS)=   0.89,PGA(EW)=   0.64,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.10
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist= 149.70,BAZ=190.53,PGA(V)=   1.13,PGA(NS)=   1.81,PGA(EW)=   2.63,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   2.73,PGV(SUM)=   0.22
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist= 150.98,BAZ=175.12,PGA(V)=   1.18,PGA(NS)=   1.72,PGA(EW)=   1.83,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.90,PGV(SUM)=   0.18
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 152.07,BAZ=170.94,PGA(V)=   1.13,PGA(NS)=   2.10,PGA(EW)=   2.70,PGV(V)=   0.12,PGV(NS)=   0.17,PGV(EW)=   0.37,Int= 2級,PGA(SUM)=   2.74,PGV(SUM)=   0.37
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist= 153.84,BAZ=171.34,PGA(V)=   1.16,PGA(NS)=   1.34,PGA(EW)=   1.76,PGV(V)=   0.14,PGV(NS)=   0.17,PGV(EW)=   0.22,Int= 1級,PGA(SUM)=   1.73,PGV(SUM)=   0.27
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist= 154.76,BAZ=192.52,PGA(V)=   1.19,PGA(NS)=   3.43,PGA(EW)=   2.13,PGV(V)=   0.10,PGV(NS)=   0.26,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.53,PGV(SUM)=   0.27
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 155.56,BAZ=184.60,PGA(V)=   1.21,PGA(NS)=   1.66,PGA(EW)=   2.81,PGV(V)=   0.09,PGV(NS)=   0.09,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   2.86,PGV(SUM)=   0.22
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist= 158.16,BAZ=197.71,PGA(V)=   2.03,PGA(NS)=   4.36,PGA(EW)=   3.23,PGV(V)=   0.13,PGV(NS)=   0.39,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   4.46,PGV(SUM)=   0.40
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist= 160.55,BAZ=202.99,PGA(V)=   0.76,PGA(NS)=   0.85,PGA(EW)=   1.17,PGV(V)=   0.08,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.08
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 160.72,BAZ=166.31,PGA(V)=   1.23,PGA(NS)=   3.41,PGA(EW)=   3.15,PGV(V)=   0.17,PGV(NS)=   0.34,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   3.42,PGV(SUM)=   0.42
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 162.70,BAZ=174.41,PGA(V)=   1.65,PGA(NS)=   3.96,PGA(EW)=   3.10,PGV(V)=   0.12,PGV(NS)=   0.30,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   3.90,PGV(SUM)=   0.30
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist= 166.09,BAZ=195.60,PGA(V)=   0.86,PGA(NS)=   1.78,PGA(EW)=   2.91,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   3.11,PGV(SUM)=   0.21
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 166.66,BAZ=177.60,PGA(V)=   1.80,PGA(NS)=   3.67,PGA(EW)=   3.64,PGV(V)=   0.19,PGV(NS)=   0.31,PGV(EW)=   0.42,Int= 2級,PGA(SUM)=   4.18,PGV(SUM)=   0.48
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 168.25,BAZ=172.15,PGA(V)=   1.44,PGA(NS)=   1.51,PGA(EW)=   1.44,PGV(V)=   0.17,PGV(NS)=   0.21,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.91,PGV(SUM)=   0.22
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist= 173.07,BAZ=197.52,PGA(V)=   1.32,PGA(NS)=   1.83,PGA(EW)=   3.20,PGV(V)=   0.15,PGV(NS)=   0.26,PGV(EW)=   0.49,Int= 2級,PGA(SUM)=   3.32,PGV(SUM)=   0.51
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 173.76,BAZ=172.27,PGA(V)=   0.86,PGA(NS)=   2.36,PGA(EW)=   2.43,PGV(V)=   0.11,PGV(NS)=   0.27,PGV(EW)=   0.35,Int= 2級,PGA(SUM)=   3.08,PGV(SUM)=   0.37
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 174.73,BAZ=100.65,PGA(V)=   0.40,PGA(NS)=   1.02,PGA(EW)=   0.68,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.12
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist= 184.85,BAZ=198.81,PGA(V)=   1.01,PGA(NS)=   1.68,PGA(EW)=   2.09,PGV(V)=   0.10,PGV(NS)=   0.26,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   2.54,PGV(SUM)=   0.33
Stacode=NSX ,Staname=三峽  ,Stalon=121.37,Stalat=24.94,Dist= 184.93,BAZ=184.11,PGA(V)=   1.13,PGA(NS)=   2.03,PGA(EW)=   1.88,PGV(V)=   0.14,PGV(NS)=   0.19,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   2.14,PGV(SUM)=   0.23
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 187.65,BAZ=178.23,PGA(V)=   0.87,PGA(NS)=   1.50,PGA(EW)=   1.28,PGV(V)=   0.11,PGV(NS)=   0.18,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.51,PGV(SUM)=   0.21
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist= 188.90,BAZ=188.70,PGA(V)=   1.48,PGA(NS)=   3.60,PGA(EW)=   2.52,PGV(V)=   0.10,PGV(NS)=   0.33,PGV(EW)=   0.34,Int= 2級,PGA(SUM)=   3.74,PGV(SUM)=   0.36
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 191.25,BAZ=181.63,PGA(V)=   0.76,PGA(NS)=   1.41,PGA(EW)=   2.47,PGV(V)=   0.10,PGV(NS)=   0.17,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   2.56,PGV(SUM)=   0.27
Stacode=TWA ,Staname=木柵  ,Stalon=121.59,Stalat=24.98,Dist= 192.04,BAZ=190.62,PGA(V)=   0.76,PGA(NS)=   1.02,PGA(EW)=   1.18,PGV(V)=   0.10,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.15
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 192.98,BAZ=174.06,PGA(V)=   0.56,PGA(NS)=   1.38,PGA(EW)=   2.19,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.28,Int= 1級,PGA(SUM)=   2.29,PGV(SUM)=   0.29
Stacode=TIPB,Staname=雙溪  ,Stalon=121.83,Stalat=24.97,Dist= 197.16,BAZ=197.44,PGA(V)=   0.39,PGA(NS)=   0.82,PGA(EW)=   0.91,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.09
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 197.28,BAZ=187.99,PGA(V)=   0.97,PGA(NS)=   2.77,PGA(EW)=   2.04,PGV(V)=   0.09,PGV(NS)=   0.32,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   3.10,PGV(SUM)=   0.39
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 203.25,BAZ=185.14,PGA(V)=   0.68,PGA(NS)=   1.04,PGA(EW)=   1.27,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.16
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist= 203.70,BAZ=191.40,PGA(V)=   0.61,PGA(NS)=   1.35,PGA(EW)=   1.69,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.79,PGV(SUM)=   0.17
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 206.47,BAZ=195.33,PGA(V)=   0.68,PGA(NS)=   4.01,PGA(EW)=   2.93,PGV(V)=   0.04,PGV(NS)=   0.33,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   4.03,PGV(SUM)=   0.35
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 210.45,BAZ=185.68,PGA(V)=   1.03,PGA(NS)=   1.91,PGA(EW)=   1.65,PGV(V)=   0.09,PGV(NS)=   0.24,PGV(EW)=   0.22,Int= 1級,PGA(SUM)=   1.94,PGV(SUM)=   0.24
Stacode=ANP ,Staname=陽明山,Stalon=121.53,Stalat=25.18,Dist= 213.43,BAZ=187.81,PGA(V)=   0.42,PGA(NS)=   1.18,PGA(EW)=   0.95,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.15
Stacode=NSM ,Staname=石門  ,Stalon=121.59,Stalat=25.29,Dist= 225.81,BAZ=188.91,PGA(V)=   0.45,PGA(NS)=   0.64,PGA(EW)=   0.67,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.11
