Origin Time:2025/01/21 00:26:25
Lon:120.53°E
Lat:23.18°N
Depth:12.7km
Mag:5.0
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  49.83,BAZ=346.60,PGA(V)=   1.20,PGA(NS)=   1.96,PGA(EW)=   2.25,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.56,PGV(SUM)=   0.15
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist=  50.87,BAZ=  3.31,PGA(V)=   0.36,PGA(NS)=   1.01,PGA(EW)=   1.53,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.55,PGV(SUM)=   0.15
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  50.96,BAZ=269.36,PGA(V)=   1.06,PGA(NS)=   1.61,PGA(EW)=   1.40,PGV(V)=   0.06,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.00,PGV(SUM)=   0.09
Stacode=SNJ ,Staname=楠梓  ,Stalon=120.34,Stalat=22.75,Dist=  51.40,BAZ= 22.54,PGA(V)=   1.08,PGA(NS)=   1.32,PGA(EW)=   1.44,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.17
Stacode=SMG ,Staname=瑪家  ,Stalon=120.64,Stalat=22.71,Dist=  54.14,BAZ=347.16,PGA(V)=   0.85,PGA(NS)=   0.97,PGA(EW)=   1.14,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.09
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  55.63,BAZ=232.57,PGA(V)=   1.74,PGA(NS)=   2.27,PGA(EW)=   3.91,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.90,PGV(SUM)=   0.22
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  55.81,BAZ=184.51,PGA(V)=   1.36,PGA(NS)=   4.45,PGA(EW)=   3.52,PGV(V)=   0.04,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   3.74,PGV(SUM)=   0.18
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist=  56.05,BAZ=  3.28,PGA(V)=   0.61,PGA(NS)=   1.04,PGA(EW)=   0.99,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.17
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist=  57.76,BAZ=165.79,PGA(V)=   3.86,PGA(NS)=   7.21,PGA(EW)=   7.72,PGV(V)=   0.09,PGV(NS)=   0.32,PGV(EW)=   0.36,Int= 2級,PGA(SUM)=   7.96,PGV(SUM)=   0.44
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  58.79,BAZ=148.85,PGA(V)=   6.42,PGA(NS)=  11.18,PGA(EW)=  14.05,PGV(V)=   0.14,PGV(NS)=   0.52,PGV(EW)=   0.51,Int= 3級,PGA(SUM)=  14.57,PGV(SUM)=   0.72
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  59.03,BAZ=181.11,PGA(V)=   2.26,PGA(NS)=   4.16,PGA(EW)=   3.96,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   4.32,PGV(SUM)=   0.19
Stacode=WSS ,Staname=壽山  ,Stalon=120.26,Stalat=22.64,Dist=  65.74,BAZ= 24.48,PGA(V)=   0.70,PGA(NS)=   0.90,PGA(EW)=   2.06,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.12,PGV(SUM)=   0.13
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  65.96,BAZ=210.32,PGA(V)=   0.92,PGA(NS)=   2.20,PGA(EW)=   1.70,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.12,PGV(SUM)=   0.10
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  68.88,BAZ=296.31,PGA(V)=   0.75,PGA(NS)=   1.05,PGA(EW)=   0.94,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.10
Stacode=KAU1,Staname=高雄市,Stalon=120.31,Stalat=22.59,Dist=  68.96,BAZ= 19.12,PGA(V)=   0.44,PGA(NS)=   0.75,PGA(EW)=   0.71,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.11
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  69.57,BAZ=305.48,PGA(V)=   1.08,PGA(NS)=   1.86,PGA(EW)=   3.50,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   3.53,PGV(SUM)=   0.26
