Origin Time:2022/09/18 09:52:34
Lon:121.30¢XE
Lat:23.09¢XN
Depth:13.9km
Mag:5.0
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  72.01,AZ=284.04,PGA(V)=   0.50,PGA(NS)=   1.00,PGA(EW)=   1.31,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.23,PGV(SUM)=   0.06
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  73.20,AZ= 19.82,PGA(V)=   0.85,PGA(NS)=   2.04,PGA(EW)=   2.17,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.20,PGV(SUM)=   0.09
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist=  80.23,AZ=277.85,PGA(V)=   0.45,PGA(NS)=   0.79,PGA(EW)=   0.70,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.06
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  81.56,AZ=298.60,PGA(V)=   0.69,PGA(NS)=   1.61,PGA(EW)=   1.28,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.08
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  81.62,AZ=  9.86,PGA(V)=   0.51,PGA(NS)=   1.04,PGA(EW)=   0.88,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.03,PGV(SUM)=   0.06
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  81.82,AZ=325.67,PGA(V)=   0.77,PGA(NS)=   1.36,PGA(EW)=   1.42,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.56,PGV(SUM)=   0.06
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  82.04,AZ= 18.75,PGA(V)=   0.83,PGA(NS)=   1.36,PGA(EW)=   2.18,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.34,PGV(SUM)=   0.12
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  85.54,AZ=311.45,PGA(V)=   0.66,PGA(NS)=   1.29,PGA(EW)=   1.87,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.90,PGV(SUM)=   0.14
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  86.04,AZ=255.05,PGA(V)=   0.63,PGA(NS)=   1.20,PGA(EW)=   0.99,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.34,PGV(SUM)=   0.08
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  95.51,AZ= 18.54,PGA(V)=   1.57,PGA(NS)=   1.92,PGA(EW)=   2.49,PGV(V)=   0.10,PGV(NS)=   0.12,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.18,PGV(SUM)=   0.21
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  96.94,AZ=335.31,PGA(V)=   0.41,PGA(NS)=   0.56,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.05
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  98.23,AZ=300.18,PGA(V)=   0.63,PGA(NS)=   1.26,PGA(EW)=   0.93,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.07
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  98.30,AZ=265.82,PGA(V)=   0.70,PGA(NS)=   1.10,PGA(EW)=   1.31,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.66,PGV(SUM)=   0.11
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  99.28,AZ= 11.16,PGA(V)=   0.75,PGA(NS)=   0.84,PGA(EW)=   1.33,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.34,PGV(SUM)=   0.08
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 100.11,AZ=296.99,PGA(V)=   0.41,PGA(NS)=   1.40,PGA(EW)=   0.87,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.54,PGV(SUM)=   0.11
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist= 103.39,AZ= 17.76,PGA(V)=   0.54,PGA(NS)=   1.24,PGA(EW)=   1.38,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.13
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 104.28,AZ=273.04,PGA(V)=   0.39,PGA(NS)=   0.77,PGA(EW)=   0.70,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.08
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 104.78,AZ=311.65,PGA(V)=   1.79,PGA(NS)=   1.21,PGA(EW)=   1.42,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.66,PGV(SUM)=   0.11
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist= 106.04,AZ=249.67,PGA(V)=   0.79,PGA(NS)=   1.49,PGA(EW)=   0.94,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.12
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist= 107.60,AZ=324.47,PGA(V)=   0.41,PGA(NS)=   0.76,PGA(EW)=   1.16,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.19,PGV(SUM)=   0.06
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 111.07,AZ=324.93,PGA(V)=   0.59,PGA(NS)=   0.79,PGA(EW)=   0.76,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.07
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 113.37,AZ=274.90,PGA(V)=   0.31,PGA(NS)=   0.60,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.09
