Origin Time:2019/06/04 17:46:18
Lon:121.61°E
Lat:22.84°N
Depth:14.7km
Mag:5.9
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist= 117.55,AZ=179.52,PGA(V)=   3.58,PGA(NS)=   8.53,PGA(EW)=   6.75
Stacode=CHN4,Staname=番路  ,Stalon=120.59,Stalat=23.35,Dist= 118.50,AZ=118.40,PGA(V)=   3.26,PGA(NS)=   8.71,PGA(EW)=   9.17
Stacode=SMS ,Staname=滿州  ,Stalon=120.84,Stalat=22.02,Dist= 121.00,AZ= 41.22,PGA(V)=   1.12,PGA(NS)=   2.66,PGA(EW)=   2.60
Stacode=TWM1,Staname=旗山  ,Stalon=120.43,Stalat=22.82,Dist= 121.24,AZ= 88.90,PGA(V)=   1.75,PGA(NS)=   4.87,PGA(EW)=   4.97
Stacode=SNS ,Staname=曾文  ,Stalon=120.50,Stalat=23.22,Dist= 121.61,AZ=110.10,PGA(V)=   2.33,PGA(NS)=   5.60,PGA(EW)=   5.86
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist= 122.31,AZ=140.63,PGA(V)=   1.93,PGA(NS)=   4.35,PGA(EW)=   2.37
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 122.44,AZ=122.63,PGA(V)=   4.17,PGA(NS)=  10.87,PGA(EW)=   7.48
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist= 123.15,AZ=112.33,PGA(V)=   2.23,PGA(NS)=   4.11,PGA(EW)=   3.91
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist= 124.98,AZ=174.42,PGA(V)=   1.76,PGA(NS)=   3.25,PGA(EW)=   2.89
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist= 125.45,AZ=180.09,PGA(V)=   1.17,PGA(NS)=   2.84,PGA(EW)=   3.90
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 127.00,AZ=131.17,PGA(V)=   4.45,PGA(NS)=  10.60,PGA(EW)=   9.84
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist= 128.69,AZ= 43.82,PGA(V)=   0.89,PGA(NS)=   3.67,PGA(EW)=   2.74
Stacode=TWK1,Staname=墾丁  ,Stalon=120.81,Stalat=21.94,Dist= 129.34,AZ= 39.43,PGA(V)=   0.59,PGA(NS)=   0.92,PGA(EW)=   1.29
Stacode=SEB ,Staname=鵝鑾鼻,Stalon=120.86,Stalat=21.90,Dist= 130.13,AZ= 36.77,PGA(V)=   0.76,PGA(NS)=   1.89,PGA(EW)=   1.87
Stacode=CHN3,Staname=新化  ,Stalon=120.36,Stalat=23.08,Dist= 130.47,AZ=101.39,PGA(V)=   3.88,PGA(NS)=  11.86,PGA(EW)=   9.49
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist= 130.97,AZ=160.12,PGA(V)=   1.98,PGA(NS)=   2.04,PGA(EW)=   2.31
Stacode=SNJ ,Staname=楠梓  ,Stalon=120.34,Stalat=22.75,Dist= 131.41,AZ= 85.70,PGA(V)=   2.66,PGA(NS)=   8.48,PGA(EW)=  11.53
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 135.68,AZ=148.00,PGA(V)=   1.75,PGA(NS)=   3.24,PGA(EW)=   5.58
Stacode=KAU ,Staname=高雄市,Stalon=120.32,Stalat=22.57,Dist= 136.58,AZ= 77.07,PGA(V)=   2.57,PGA(NS)=   6.84,PGA(EW)=   8.47
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist= 137.21,AZ=179.71,PGA(V)=   0.52,PGA(NS)=   0.64,PGA(EW)=   1.10
Stacode=WLCH,Staname=小琉球,Stalon=120.38,Stalat=22.35,Dist= 137.94,AZ= 66.76,PGA(V)=   1.71,PGA(NS)=   1.09,PGA(EW)=   1.30
Stacode=WLC ,Staname=小琉球,Stalon=120.37,Stalat=22.35,Dist= 139.03,AZ= 66.75,PGA(V)=   1.10,PGA(NS)=   1.67,PGA(EW)=   1.18
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 139.23,AZ=123.26,PGA(V)=   3.65,PGA(NS)=   6.35,PGA(EW)=   6.67
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 139.54,AZ=103.48,PGA(V)=   1.69,PGA(NS)=   6.33,PGA(EW)=   8.24
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist= 140.03,AZ=147.20,PGA(V)=   0.94,PGA(NS)=   1.87,PGA(EW)=   1.04
Stacode=WSS ,Staname=壽山  ,Stalon=120.26,Stalat=22.64,Dist= 140.39,AZ= 80.90,PGA(V)=   0.75,PGA(NS)=   2.28,PGA(EW)=   1.98
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 140.78,AZ=120.96,PGA(V)=   1.95,PGA(NS)=   8.13,PGA(EW)=  10.26
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist= 141.19,AZ=140.20,PGA(V)=   1.02,PGA(NS)=   1.94,PGA(EW)=   2.07
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 141.59,AZ=131.20,PGA(V)=   2.15,PGA(NS)=   6.01,PGA(EW)=   5.77
