Origin Time:2025/01/23 05:31:55
Lon:120.59¢XE
Lat:23.16¢XN
Depth:17.3km
Mag:4.3
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  49.39,BAZ=189.86,PGA(V)=   2.42,PGA(NS)=   4.02,PGA(EW)=   6.66,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   7.40,PGV(SUM)=   0.30
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  52.21,BAZ=225.67,PGA(V)=   0.44,PGA(NS)=   1.05,PGA(EW)=   1.01,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.04
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  55.09,BAZ=137.16,PGA(V)=   2.66,PGA(NS)=   2.03,PGA(EW)=   2.01,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.67,PGV(SUM)=   0.05
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  58.37,BAZ=177.60,PGA(V)=   1.35,PGA(NS)=   2.36,PGA(EW)=   2.66,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.01,PGV(SUM)=   0.07
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  61.95,BAZ=174.73,PGA(V)=   1.07,PGA(NS)=   1.95,PGA(EW)=   1.79,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.92,PGV(SUM)=   0.09
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  62.32,BAZ=160.30,PGA(V)=   2.11,PGA(NS)=   2.88,PGA(EW)=   2.96,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.93,PGV(SUM)=   0.10
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  64.77,BAZ=144.90,PGA(V)=   3.36,PGA(NS)=   8.03,PGA(EW)=   5.78,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   6.17,PGV(SUM)=   0.17
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  80.23,BAZ=187.19,PGA(V)=   0.91,PGA(NS)=   2.80,PGA(EW)=   2.07,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   2.79,PGV(SUM)=   0.10
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  81.01,BAZ=152.11,PGA(V)=   2.37,PGA(NS)=   2.14,PGA(EW)=   1.90,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.34,PGV(SUM)=   0.10
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  83.44,BAZ=186.04,PGA(V)=   0.81,PGA(NS)=   0.74,PGA(EW)=   0.57,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.04
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist=  83.94,BAZ=158.22,PGA(V)=   0.96,PGA(NS)=   3.09,PGA(EW)=   1.50,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.25,PGV(SUM)=   0.07
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  85.38,BAZ=165.03,PGA(V)=   5.82,PGA(NS)=   9.69,PGA(EW)=  12.57,PGV(V)=   0.14,PGV(NS)=   0.27,PGV(EW)=   0.36,Int= 3¯Å,PGA(SUM)=  14.03,PGV(SUM)=   0.45
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist=  88.91,BAZ=179.06,PGA(V)=   1.07,PGA(NS)=   1.07,PGA(EW)=   1.47,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.53,PGV(SUM)=   0.11
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  98.51,BAZ=186.26,PGA(V)=   0.73,PGA(NS)=   1.12,PGA(EW)=   1.18,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.05
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 100.78,BAZ=170.45,PGA(V)=   1.10,PGA(NS)=   1.54,PGA(EW)=   2.61,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   2.77,PGV(SUM)=   0.07
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 102.14,BAZ=177.94,PGA(V)=   1.08,PGA(NS)=   2.28,PGA(EW)=   2.49,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.05,PGV(SUM)=   0.05
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 121.90,BAZ=176.61,PGA(V)=   0.51,PGA(NS)=   1.03,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.05
