Origin Time:2023/02/08 18:49:59
Lon:121.55°E
Lat:23.44°N
Depth:36.7km
Mag:5.6
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  70.74,BAZ=184.60,PGA(V)=   3.05,PGA(NS)=   3.52,PGA(EW)=   3.82,PGV(V)=   0.11,PGV(NS)=   0.12,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   4.54,PGV(SUM)=   0.21
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist=  73.43,BAZ= 35.74,PGA(V)=   2.20,PGA(NS)=   2.55,PGA(EW)=   3.63,PGV(V)=   0.10,PGV(NS)=   0.20,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   3.57,PGV(SUM)=   0.21
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  75.45,BAZ= 95.38,PGA(V)=   2.90,PGA(NS)=   4.85,PGA(EW)=   4.11,PGV(V)=   0.12,PGV(NS)=   0.28,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   5.27,PGV(SUM)=   0.31
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  76.28,BAZ=111.43,PGA(V)=   2.70,PGA(NS)=   2.83,PGA(EW)=   2.11,PGV(V)=   0.11,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.13,PGV(SUM)=   0.15
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  79.46,BAZ=185.45,PGA(V)=   2.02,PGA(NS)=  11.87,PGA(EW)=   6.11,PGV(V)=   0.06,PGV(NS)=   0.30,PGV(EW)=   0.21,Int= 3級,PGA(SUM)=  10.90,PGV(SUM)=   0.32
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  81.30,BAZ=126.51,PGA(V)=   2.12,PGA(NS)=   2.33,PGA(EW)=   3.16,PGV(V)=   0.07,PGV(NS)=   0.19,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   3.26,PGV(SUM)=   0.23
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  82.37,BAZ=160.01,PGA(V)=   3.00,PGA(NS)=   7.82,PGA(EW)=   8.56,PGV(V)=   0.11,PGV(NS)=   0.28,PGV(EW)=   0.31,Int= 3級,PGA(SUM)=   9.59,PGV(SUM)=   0.36
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  83.83,BAZ= 69.49,PGA(V)=   2.28,PGA(NS)=   3.82,PGA(EW)=   4.76,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   5.56,PGV(SUM)=   0.27
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist=  84.43,BAZ= 34.66,PGA(V)=   1.59,PGA(NS)=   2.60,PGA(EW)=   2.40,PGV(V)=   0.10,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.63,PGV(SUM)=   0.11
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  84.70,BAZ=175.37,PGA(V)=  10.97,PGA(NS)=  15.16,PGA(EW)=  16.46,PGV(V)=   0.26,PGV(NS)=   0.59,PGV(EW)=   0.57,Int= 3級,PGA(SUM)=  17.24,PGV(SUM)=   0.63
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist=  85.79,BAZ=  5.46,PGA(V)=   2.57,PGA(NS)=   3.70,PGA(EW)=   3.11,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.64,PGV(SUM)=   0.13
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  86.01,BAZ=126.37,PGA(V)=   0.93,PGA(NS)=   1.16,PGA(EW)=   0.94,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.26,PGV(SUM)=   0.07
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  86.64,BAZ= 27.76,PGA(V)=   1.04,PGA(NS)=   2.16,PGA(EW)=   1.81,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.33,PGV(SUM)=   0.16
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  87.14,BAZ=136.20,PGA(V)=   1.29,PGA(NS)=   1.26,PGA(EW)=   1.30,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.70,PGV(SUM)=   0.07
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  90.63,BAZ=100.75,PGA(V)=   3.34,PGA(NS)=   5.24,PGA(EW)=   7.81,PGV(V)=   0.18,PGV(NS)=   0.33,PGV(EW)=   0.48,Int= 3級,PGA(SUM)=   8.23,PGV(SUM)=   0.49
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  93.61,BAZ=116.52,PGA(V)=   2.21,PGA(NS)=   3.54,PGA(EW)=   3.53,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   3.51,PGV(SUM)=   0.13
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  93.88,BAZ=136.23,PGA(V)=   1.10,PGA(NS)=   5.36,PGA(EW)=   3.07,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   4.87,PGV(SUM)=   0.13
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  94.22,BAZ=160.74,PGA(V)=   2.29,PGA(NS)=   6.55,PGA(EW)=   7.60,PGV(V)=   0.10,PGV(NS)=   0.24,PGV(EW)=   0.23,Int= 3級,PGA(SUM)=   9.20,PGV(SUM)=   0.29
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  96.47,BAZ= 89.61,PGA(V)=   2.34,PGA(NS)=   7.07,PGA(EW)=   7.85,PGV(V)=   0.12,PGV(NS)=   0.35,PGV(EW)=   0.36,Int= 2級,PGA(SUM)=   7.88,PGV(SUM)=   0.38
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  97.31,BAZ= 76.80,PGA(V)=   1.42,PGA(NS)=   1.89,PGA(EW)=   2.37,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.76,PGV(SUM)=   0.17
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  97.48,BAZ=156.15,PGA(V)=   2.53,PGA(NS)=   4.11,PGA(EW)=   2.97,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   4.32,PGV(SUM)=   0.19
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  97.90,BAZ=192.04,PGA(V)=   3.58,PGA(NS)=   3.88,PGA(EW)=   3.81,PGV(V)=   0.15,PGV(NS)=   0.16,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   4.90,PGV(SUM)=   0.24
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  99.60,BAZ=118.72,PGA(V)=   1.99,PGA(NS)=   3.66,PGA(EW)=   4.37,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   4.69,PGV(SUM)=   0.17
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  99.90,BAZ=191.20,PGA(V)=   2.38,PGA(NS)=   3.21,PGA(EW)=   3.02,PGV(V)=   0.11,PGV(NS)=   0.19,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   3.87,PGV(SUM)=   0.23
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 102.34,BAZ=120.04,PGA(V)=   3.87,PGA(NS)=   4.07,PGA(EW)=   3.17,PGV(V)=   0.16,PGV(NS)=   0.18,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   4.45,PGV(SUM)=   0.21
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 103.36,BAZ=104.90,PGA(V)=   2.19,PGA(NS)=   4.92,PGA(EW)=   7.56,PGV(V)=   0.10,PGV(NS)=   0.27,PGV(EW)=   0.34,Int= 2級,PGA(SUM)=   6.74,PGV(SUM)=   0.34
Stacode=SLG ,Staname=六龜  ,Stalon=120.65,Stalat=22.99,Dist= 105.02,BAZ= 61.59,PGA(V)=   1.19,PGA(NS)=   1.84,PGA(EW)=   2.02,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.29,PGV(SUM)=   0.16
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist= 105.98,BAZ= 67.64,PGA(V)=   0.92,PGA(NS)=   1.92,PGA(EW)=   1.79,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.65,PGV(SUM)=   0.13
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 107.38,BAZ=106.19,PGA(V)=   3.01,PGA(NS)=   3.98,PGA(EW)=   3.93,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   4.16,PGV(SUM)=   0.23
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist= 108.23,BAZ= 74.59,PGA(V)=   1.70,PGA(NS)=   2.69,PGA(EW)=   2.33,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.85,PGV(SUM)=   0.17
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.27,Dist= 109.07,BAZ= 79.50,PGA(V)=   1.89,PGA(NS)=   2.97,PGA(EW)=   2.39,PGV(V)=   0.12,PGV(NS)=   0.21,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.41,PGV(SUM)=   0.22
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 109.11,BAZ=127.38,PGA(V)=   2.33,PGA(NS)=   4.56,PGA(EW)=   8.72,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   7.92,PGV(SUM)=   0.23
