Origin Time:2022/09/17 22:35:14
Lon:121.18¢XE
Lat:23.10¢XN
Depth:9.9km
Mag:5.4
Stacode=SGS ,Staname=¥Ò¥P  ,Stalon=120.59,Stalat=23.08,Dist=  60.22,AZ=267.99,PGA(V)=   0.91,PGA(NS)=   2.17,PGA(EW)=   2.23,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   3.02,PGV(SUM)=   0.21
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist=  67.21,AZ=278.10,PGA(V)=   1.47,PGA(NS)=   2.50,PGA(EW)=   1.67,PGV(V)=   0.20,PGV(NS)=   0.30,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   2.80,PGV(SUM)=   0.31
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  67.78,AZ=234.52,PGA(V)=   1.39,PGA(NS)=   2.42,PGA(EW)=   2.51,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.56,PGV(SUM)=   0.12
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  67.99,AZ= 21.99,PGA(V)=   1.11,PGA(NS)=   2.47,PGA(EW)=   1.57,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.34,PGV(SUM)=   0.10
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  69.67,AZ=302.61,PGA(V)=   1.44,PGA(NS)=   2.66,PGA(EW)=   3.50,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   3.64,PGV(SUM)=   0.22
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  70.00,AZ=231.43,PGA(V)=   1.15,PGA(NS)=   1.59,PGA(EW)=   1.11,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.06
Stacode=TWL ,Staname=ªF¤s  ,Stalon=120.50,Stalat=23.26,Dist=  71.82,AZ=284.77,PGA(V)=   1.46,PGA(NS)=   1.41,PGA(EW)=   2.07,PGV(V)=   0.16,PGV(NS)=   0.19,PGV(EW)=   0.29,Int= 1¯Å,PGA(SUM)=   2.17,PGV(SUM)=   0.31
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  73.96,AZ=333.30,PGA(V)=   0.90,PGA(NS)=   2.18,PGA(EW)=   1.79,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2¯Å,PGA(SUM)=   2.68,PGV(SUM)=   0.11
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  74.06,AZ=251.35,PGA(V)=   2.34,PGA(NS)=   4.73,PGA(EW)=   3.69,PGV(V)=   0.13,PGV(NS)=   0.43,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   5.13,PGV(SUM)=   0.43
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  75.23,AZ=317.12,PGA(V)=   1.32,PGA(NS)=   3.11,PGA(EW)=   2.44,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   3.09,PGV(SUM)=   0.22
