Origin Time:2024/06/06 14:18:12
Lon:121.71°E
Lat:24.31°N
Depth:31.7km
Mag:4.6
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  56.44,BAZ= 83.05,PGA(V)=   0.78,PGA(NS)=   1.89,PGA(EW)=   1.20,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.97,PGV(SUM)=   0.12
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  61.22,BAZ=191.12,PGA(V)=   0.35,PGA(NS)=   0.68,PGA(EW)=   0.92,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.03
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  61.82,BAZ= 26.59,PGA(V)=   0.94,PGA(NS)=   2.13,PGA(EW)=   2.46,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.04
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  67.45,BAZ= 54.15,PGA(V)=   0.28,PGA(NS)=   1.24,PGA(EW)=   1.30,PGV(V)=   0.14,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.14
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  68.93,BAZ= 14.19,PGA(V)=   0.14,PGA(NS)=   1.07,PGA(EW)=   1.25,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.04
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist=  74.32,BAZ=165.12,PGA(V)=   0.43,PGA(NS)=   0.89,PGA(EW)=   0.89,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.04
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  75.09,BAZ=133.42,PGA(V)=   0.40,PGA(NS)=   0.83,PGA(EW)=   0.83,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.04
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  76.86,BAZ= 22.26,PGA(V)=   0.88,PGA(NS)=   1.03,PGA(EW)=   1.23,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.04
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  78.92,BAZ=126.57,PGA(V)=   0.51,PGA(NS)=   0.97,PGA(EW)=   0.74,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.03
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist=  87.12,BAZ=151.09,PGA(V)=   0.50,PGA(NS)=   0.74,PGA(EW)=   0.72,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.04
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 107.27,BAZ= 73.86,PGA(V)=   0.42,PGA(NS)=   0.86,PGA(EW)=   0.63,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.04
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist= 110.92,BAZ= 52.11,PGA(V)=   0.27,PGA(NS)=   0.93,PGA(EW)=   0.44,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.04
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 120.15,BAZ= 77.67,PGA(V)=   0.37,PGA(NS)=   0.79,PGA(EW)=   1.01,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.04
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 136.58,BAZ= 61.08,PGA(V)=   0.89,PGA(NS)=   0.89,PGA(EW)=   1.11,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.07
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 143.11,BAZ= 71.57,PGA(V)=   0.55,PGA(NS)=   0.80,PGA(EW)=   0.84,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.04
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 168.49,BAZ= 63.66,PGA(V)=   0.34,PGA(NS)=   1.43,PGA(EW)=   0.81,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.41,PGV(SUM)=   0.06
