Origin Time:2021/09/06 22:00:26
Lon:122.08¢XE
Lat:23.85¢XN
Depth:41.1km
Mag:5.9
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  94.20,AZ=157.19,PGA(V)=   2.34,PGA(NS)=   2.81,PGA(EW)=   3.60,PGV(V)=   0.11,PGV(NS)=   0.25,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   4.21,PGV(SUM)=   0.33
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  95.26,AZ= 54.23,PGA(V)=   2.98,PGA(NS)=   8.18,PGA(EW)=   6.34,PGV(V)=   0.17,PGV(NS)=   0.61,PGV(EW)=   0.47,Int= 3¯Å,PGA(SUM)=   9.19,PGV(SUM)=   0.62
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  95.45,AZ=117.47,PGA(V)=   3.56,PGA(NS)=   9.51,PGA(EW)=  10.50,PGV(V)=   0.22,PGV(NS)=   0.62,PGV(EW)=   0.57,Int= 3¯Å,PGA(SUM)=  10.72,PGV(SUM)=   0.63
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  96.04,AZ=132.64,PGA(V)=   2.51,PGA(NS)=  11.79,PGA(EW)=   7.83,PGV(V)=   0.17,PGV(NS)=   0.59,PGV(EW)=   0.47,Int= 3¯Å,PGA(SUM)=  12.74,PGV(SUM)=   0.61
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist= 101.10,AZ=149.66,PGA(V)=   1.80,PGA(NS)=   7.01,PGA(EW)=   5.95,PGV(V)=   0.09,PGV(NS)=   0.28,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   6.35,PGV(SUM)=   0.29
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist= 101.11,AZ=145.51,PGA(V)=   1.20,PGA(NS)=   1.88,PGA(EW)=   3.31,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.16,PGV(SUM)=   0.16
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist= 102.99,AZ=115.44,PGA(V)=   1.68,PGA(NS)=   8.05,PGA(EW)=   4.03,PGV(V)=   0.10,PGV(NS)=   0.42,PGV(EW)=   0.22,Int= 3¯Å,PGA(SUM)=   8.36,PGV(SUM)=   0.46
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist= 104.11,AZ=157.43,PGA(V)=   1.44,PGA(NS)=   1.73,PGA(EW)=   2.49,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   2.55,PGV(SUM)=   0.24
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist= 106.30,AZ=162.20,PGA(V)=   1.48,PGA(NS)=   3.20,PGA(EW)=   3.01,PGV(V)=   0.08,PGV(NS)=   0.22,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   4.05,PGV(SUM)=   0.26
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist= 107.66,AZ= 47.92,PGA(V)=   2.72,PGA(NS)=   7.66,PGA(EW)=   6.41,PGV(V)=   0.15,PGV(NS)=   0.40,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=   8.02,PGV(SUM)=   0.42
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist= 110.02,AZ= 40.78,PGA(V)=   7.04,PGA(NS)=  10.49,PGA(EW)=  16.63,PGV(V)=   0.22,PGV(NS)=   0.34,PGV(EW)=   0.32,Int= 3¯Å,PGA(SUM)=  11.72,PGV(SUM)=   0.43
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.95,Stalat=24.01,Dist= 116.18,AZ= 98.99,PGA(V)=   1.40,PGA(NS)=   1.46,PGA(EW)=   1.37,PGV(V)=   0.08,PGV(NS)=   0.08,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.60,PGV(SUM)=   0.16
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist= 116.26,AZ=141.67,PGA(V)=   0.96,PGA(NS)=   2.15,PGA(EW)=   2.39,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   2.19,PGV(SUM)=   0.19
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist= 118.03,AZ= 48.86,PGA(V)=   2.54,PGA(NS)=   5.37,PGA(EW)=   4.24,PGV(V)=   0.07,PGV(NS)=   0.34,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   5.58,PGV(SUM)=   0.40
