Origin Time:2025/01/21 01:46:52
Lon:120.53¢XE
Lat:23.21¢XN
Depth:12.1km
Mag:4.3
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  54.96,BAZ=164.50,PGA(V)=   0.82,PGA(NS)=   3.06,PGA(EW)=   2.08,PGV(V)=   0.02,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.19,PGV(SUM)=   0.12
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  55.99,BAZ=180.64,PGA(V)=   0.92,PGA(NS)=   1.48,PGA(EW)=   2.03,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.96,PGV(SUM)=   0.07
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  56.49,BAZ=146.82,PGA(V)=   1.14,PGA(NS)=   3.65,PGA(EW)=   3.23,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.89,PGV(SUM)=   0.17
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  63.09,BAZ=211.30,PGA(V)=   0.84,PGA(NS)=   3.22,PGA(EW)=   2.21,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.47,PGV(SUM)=   0.10
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  69.30,BAZ=275.55,PGA(V)=   0.38,PGA(NS)=   0.85,PGA(EW)=   0.57,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.05
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  70.72,BAZ=196.40,PGA(V)=   0.35,PGA(NS)=   0.83,PGA(EW)=   1.07,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.11,PGV(SUM)=   0.03
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  73.07,BAZ=154.40,PGA(V)=   1.41,PGA(NS)=   0.96,PGA(EW)=   1.20,PGV(V)=   0.04,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.57,PGV(SUM)=   0.05
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  75.69,BAZ=192.48,PGA(V)=   0.40,PGA(NS)=   1.59,PGA(EW)=   1.39,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.77,PGV(SUM)=   0.05
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist=  76.39,BAZ=161.04,PGA(V)=   0.71,PGA(NS)=   1.28,PGA(EW)=   2.73,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   2.78,PGV(SUM)=   0.15
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  77.96,BAZ=270.86,PGA(V)=   0.27,PGA(NS)=   0.85,PGA(EW)=   0.71,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.99,PGV(SUM)=   0.04
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  78.38,BAZ=168.41,PGA(V)=   1.79,PGA(NS)=   2.78,PGA(EW)=   4.80,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.60,PGV(SUM)=   0.17
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist=  83.33,BAZ=183.34,PGA(V)=   0.99,PGA(NS)=   0.80,PGA(EW)=   1.07,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.09
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  93.78,BAZ=190.48,PGA(V)=   0.47,PGA(NS)=   1.21,PGA(EW)=   1.07,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.08,PGV(SUM)=   0.05
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist=  94.26,BAZ=173.66,PGA(V)=   0.96,PGA(NS)=   1.55,PGA(EW)=   2.33,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.11
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist=  96.41,BAZ=181.57,PGA(V)=   1.03,PGA(NS)=   2.33,PGA(EW)=   2.83,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.63,PGV(SUM)=   0.08
