Origin Time:2022/09/14 09:35:51
Lon:121.37°E
Lat:22.49°N
Depth:19.2km
Mag:5.3
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist=  84.04,AZ=229.82,PGA(V)=   1.03,PGA(NS)=   2.64,PGA(EW)=   3.33,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   3.51,PGV(SUM)=   0.26
Stacode=SEB ,Staname=鵝鑾鼻,Stalon=120.86,Stalat=21.90,Dist=  84.33,AZ=218.91,PGA(V)=   0.64,PGA(NS)=   0.98,PGA(EW)=   1.51,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.10
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  84.53,AZ=335.32,PGA(V)=   1.70,PGA(NS)=   1.47,PGA(EW)=   1.66,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.86,PGV(SUM)=   0.08
Stacode=SNW ,Staname=南灣  ,Stalon=120.75,Stalat=21.96,Dist=  87.00,AZ=227.21,PGA(V)=   1.32,PGA(NS)=   2.53,PGA(EW)=   2.40,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.96,PGV(SUM)=   0.19
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  91.51,AZ=  5.29,PGA(V)=   1.62,PGA(NS)=   3.17,PGA(EW)=   3.02,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.23,PGV(SUM)=   0.14
Stacode=SLG ,Staname=六龜  ,Stalon=120.65,Stalat=22.99,Dist=  92.59,AZ=306.72,PGA(V)=   0.74,PGA(NS)=   1.56,PGA(EW)=   1.18,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.77,PGV(SUM)=   0.09
Stacode=SPT ,Staname=屏東市,Stalon=120.49,Stalat=22.68,Dist=  92.88,AZ=282.72,PGA(V)=   0.91,PGA(NS)=   1.82,PGA(EW)=   1.50,PGV(V)=   0.05,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.21,PGV(SUM)=   0.18
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist=  93.04,AZ=285.90,PGA(V)=   0.70,PGA(NS)=   1.31,PGA(EW)=   2.14,PGV(V)=   0.04,PGV(NS)=   0.18,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   2.15,PGV(SUM)=   0.19
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  94.68,AZ=356.90,PGA(V)=   0.84,PGA(NS)=   1.15,PGA(EW)=   1.18,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.09
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist=  97.00,AZ=321.54,PGA(V)=   1.16,PGA(NS)=   2.15,PGA(EW)=   1.60,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.19,PGV(SUM)=   0.08
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist=  99.85,AZ=295.78,PGA(V)=   2.74,PGA(NS)=   3.07,PGA(EW)=   2.40,PGV(V)=   0.14,PGV(NS)=   0.22,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.55,PGV(SUM)=   0.24
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist= 102.99,AZ=309.13,PGA(V)=   0.56,PGA(NS)=   1.31,PGA(EW)=   1.25,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.09
Stacode=WLC ,Staname=小琉球,Stalon=120.37,Stalat=22.35,Dist= 104.20,AZ=261.03,PGA(V)=   0.36,PGA(NS)=   0.83,PGA(EW)=   0.87,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.09
Stacode=KAU1,Staname=高雄市,Stalon=120.31,Stalat=22.59,Dist= 109.77,AZ=275.80,PGA(V)=   0.75,PGA(NS)=   1.27,PGA(EW)=   0.84,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.13
Stacode=SNJ ,Staname=楠梓  ,Stalon=120.34,Stalat=22.75,Dist= 110.09,AZ=285.15,PGA(V)=   1.05,PGA(NS)=   1.61,PGA(EW)=   2.07,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   2.19,PGV(SUM)=   0.19
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 113.02,AZ=317.32,PGA(V)=   1.02,PGA(NS)=   2.37,PGA(EW)=   2.20,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   2.86,PGV(SUM)=   0.16
