Origin Time:2023/09/12 19:03:17
Lon:121.08°E
Lat:19.30°N
Depth:59.9km
Mag:6.8
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=22.99,Dist= 418.93,BAZ=167.47,PGA(V)=   1.81,PGA(NS)=   1.59,PGA(EW)=   1.13,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.08
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 420.49,BAZ=181.97,PGA(V)=   0.71,PGA(NS)=   1.11,PGA(EW)=   1.32,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.26
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 421.63,BAZ=184.14,PGA(V)=   0.63,PGA(NS)=   1.63,PGA(EW)=   1.39,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.65,PGV(SUM)=   0.13
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist= 421.68,BAZ=173.08,PGA(V)=   0.28,PGA(NS)=   0.57,PGA(EW)=   1.27,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.35,PGV(SUM)=   0.08
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 423.07,BAZ=168.06,PGA(V)=   1.13,PGA(NS)=   1.78,PGA(EW)=   1.64,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.79,PGV(SUM)=   0.18
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist= 430.46,BAZ=179.24,PGA(V)=   0.65,PGA(NS)=   0.81,PGA(EW)=   0.76,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.05
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist= 432.29,BAZ=182.94,PGA(V)=   0.46,PGA(NS)=   0.83,PGA(EW)=   0.90,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.13
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 432.65,BAZ=169.05,PGA(V)=   1.27,PGA(NS)=   1.89,PGA(EW)=   1.51,PGV(V)=   0.11,PGV(NS)=   0.17,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   2.06,PGV(SUM)=   0.20
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 438.58,BAZ=168.01,PGA(V)=   1.17,PGA(NS)=   2.60,PGA(EW)=   2.34,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   2.83,PGV(SUM)=   0.18
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist= 446.41,BAZ=184.95,PGA(V)=   0.70,PGA(NS)=   1.25,PGA(EW)=   1.05,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.40,PGV(SUM)=   0.16
