Origin Time:2024/04/23 05:14:47
Lon:121.52°E
Lat:23.75°N
Depth:5.7km
Mag:5.1
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  66.05,BAZ=200.44,PGA(V)=   1.61,PGA(NS)=   2.81,PGA(EW)=   2.50,PGV(V)=   0.10,PGV(NS)=   0.20,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.02,PGV(SUM)=   0.20
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  66.38,BAZ=146.42,PGA(V)=   0.74,PGA(NS)=   2.06,PGA(EW)=   1.57,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.98,PGV(SUM)=   0.13
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  67.82,BAZ=198.96,PGA(V)=   1.25,PGA(NS)=   1.29,PGA(EW)=   2.06,PGV(V)=   0.08,PGV(NS)=   0.09,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.30,PGV(SUM)=   0.15
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  73.85,BAZ= 11.94,PGA(V)=   0.66,PGA(NS)=   1.79,PGA(EW)=   3.27,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   3.04,PGV(SUM)=   0.20
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  77.16,BAZ= 69.70,PGA(V)=   0.35,PGA(NS)=   0.83,PGA(EW)=   1.20,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.12
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  77.46,BAZ=169.31,PGA(V)=   1.18,PGA(NS)=   2.42,PGA(EW)=   2.60,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.73,PGV(SUM)=   0.18
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  78.30,BAZ=197.09,PGA(V)=   0.69,PGA(NS)=   1.52,PGA(EW)=   1.72,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.48,PGV(SUM)=   0.08
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  78.89,BAZ= 23.15,PGA(V)=   0.49,PGA(NS)=   0.68,PGA(EW)=   0.63,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.11
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  81.23,BAZ=198.66,PGA(V)=   1.30,PGA(NS)=   2.20,PGA(EW)=   1.80,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.18,PGV(SUM)=   0.18
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  81.38,BAZ= 95.60,PGA(V)=   0.36,PGA(NS)=   0.71,PGA(EW)=   1.17,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.20
