Origin Time:2021/02/18 02:38:48
Lon:121.38¢XE
Lat:22.24¢XN
Depth:21.7km
Mag:5.2
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist= 102.33,AZ=169.69,PGA(V)=   0.52,PGA(NS)=   1.12,PGA(EW)=   0.67,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.23,PGV(SUM)=   0.05
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.49,Stalat=22.68,Dist= 104.26,AZ=117.76,PGA(V)=   0.61,PGA(NS)=   0.87,PGA(EW)=   1.03,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.14
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist= 105.73,AZ=120.46,PGA(V)=   0.58,PGA(NS)=   0.68,PGA(EW)=   0.95,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.13
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist= 106.59,AZ=175.00,PGA(V)=   0.51,PGA(NS)=   1.07,PGA(EW)=   1.17,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.08
Stacode=KAU ,Staname=°ª¶¯¥«,Stalon=120.32,Stalat=22.57,Dist= 115.80,AZ=108.20,PGA(V)=   0.88,PGA(NS)=   1.51,PGA(EW)=   1.53,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.62,PGV(SUM)=   0.18
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist= 116.20,AZ=127.99,PGA(V)=   0.67,PGA(NS)=   1.13,PGA(EW)=   0.98,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.11
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist= 119.42,AZ=183.30,PGA(V)=   0.61,PGA(NS)=   1.08,PGA(EW)=   0.98,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.03,PGV(SUM)=   0.09
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist= 137.26,AZ=129.10,PGA(V)=   0.52,PGA(NS)=   0.84,PGA(EW)=   0.77,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.09
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 155.00,AZ=148.92,PGA(V)=   0.34,PGA(NS)=   0.99,PGA(EW)=   0.69,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.07
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 166.91,AZ=154.26,PGA(V)=   0.39,PGA(NS)=   1.09,PGA(EW)=   1.19,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.27,PGV(SUM)=   0.09
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 170.01,AZ=144.94,PGA(V)=   0.27,PGA(NS)=   0.80,PGA(EW)=   0.56,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.07
