Origin Time:2025/04/09 09:53:25
Lon:121.81¢XE
Lat:24.60¢XN
Depth:72.4km
Mag:5.8
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=  52.15,BAZ= 21.20,PGA(V)=   9.32,PGA(NS)=  30.06,PGA(EW)=  20.21,PGV(V)=   0.12,PGV(NS)=   0.84,PGV(EW)=   0.35,Int= 4¯Å,PGA(SUM)=  26.12,PGV(SUM)=   0.88
Stacode=NWF ,Staname=¤­¤À¤s,Stalon=121.78,Stalat=25.07,Dist=  52.56,BAZ=176.98,PGA(V)=   3.90,PGA(NS)=  18.50,PGA(EW)=  11.32,PGV(V)=   0.21,PGV(NS)=   1.62,PGV(EW)=   0.88,Int= 3¯Å,PGA(SUM)=  18.75,PGV(SUM)=   1.64
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist=  54.54,BAZ= 37.47,PGA(V)=  14.76,PGA(NS)=  23.68,PGA(EW)=  25.49,PGV(V)=   0.36,PGV(NS)=   0.66,PGV(EW)=   0.63,Int= 3¯Å,PGA(SUM)=  24.86,PGV(SUM)=   0.81
Stacode=NXZ ,Staname=¦Á¤î  ,Stalon=121.64,Stalat=25.08,Dist=  55.71,BAZ=162.19,PGA(V)=   8.74,PGA(NS)=  15.03,PGA(EW)=  16.57,PGV(V)=   0.31,PGV(NS)=   0.61,PGV(EW)=   0.78,Int= 3¯Å,PGA(SUM)=  19.10,PGV(SUM)=   0.85
Stacode=TAP ,Staname=»O¥_¥«,Stalon=121.51,Stalat=25.04,Dist=  57.13,BAZ=148.54,PGA(V)=   4.37,PGA(NS)=   4.59,PGA(EW)=   5.95,PGV(V)=   0.16,PGV(NS)=   0.36,PGV(EW)=   0.53,Int= 2¯Å,PGA(SUM)=   6.50,PGV(SUM)=   0.53
Stacode=A024,Staname=·s¥_¥«,Stalon=121.47,Stalat=25.02,Dist=  57.63,BAZ=144.12,PGA(V)=   4.13,PGA(NS)=   5.25,PGA(EW)=   6.76,PGV(V)=   0.16,PGV(NS)=   0.41,PGV(EW)=   0.81,Int= 2¯Å,PGA(SUM)=   7.16,PGV(SUM)=   0.81
Stacode=NSX ,Staname=¤T®l  ,Stalon=121.37,Stalat=24.94,Dist=  57.98,BAZ=130.72,PGA(V)=   1.75,PGA(NS)=   2.69,PGA(EW)=   2.80,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   2.89,PGV(SUM)=   0.19
Stacode=TWD ,Staname=¨qªL  ,Stalon=121.60,Stalat=24.08,Dist=  60.85,BAZ= 19.92,PGA(V)=   4.20,PGA(NS)=   4.67,PGA(EW)=   4.34,PGV(V)=   0.12,PGV(NS)=   0.18,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   6.23,PGV(SUM)=   0.25
Stacode=NOU ,Staname=°ò¶©¥«,Stalon=121.77,Stalat=25.15,Dist=  61.22,BAZ=176.64,PGA(V)=   2.32,PGA(NS)=   2.80,PGA(EW)=   7.87,PGV(V)=   0.15,PGV(NS)=   0.20,PGV(EW)=   0.32,Int= 2¯Å,PGA(SUM)=   7.63,PGV(SUM)=   0.33
Stacode=B011,Staname=¤j·Ë  ,Stalon=121.29,Stalat=24.88,Dist=  61.64,BAZ=120.99,PGA(V)=   1.37,PGA(NS)=   3.17,PGA(EW)=   2.47,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   2.61,PGV(SUM)=   0.19
