Origin Time:2024/10/13 19:36:31
Lon:121.51°E
Lat:24.03°N
Depth:20.4km
Mag:4.9
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  60.57,BAZ= 92.54,PGA(V)=   1.05,PGA(NS)=   2.16,PGA(EW)=   1.56,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.10,PGV(SUM)=   0.06
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  61.25,BAZ= 17.11,PGA(V)=   3.65,PGA(NS)=   8.09,PGA(EW)=   9.46,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   4.77,PGV(SUM)=   0.15
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  63.14,BAZ=115.49,PGA(V)=   0.76,PGA(NS)=   1.40,PGA(EW)=   1.60,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.81,PGV(SUM)=   0.07
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  63.15,BAZ=180.56,PGA(V)=   1.33,PGA(NS)=   1.84,PGA(EW)=   3.43,PGV(V)=   0.19,PGV(NS)=   0.08,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.70,PGV(SUM)=   0.19
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  63.16,BAZ= 74.64,PGA(V)=   1.18,PGA(NS)=   1.68,PGA(EW)=   2.91,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   2.98,PGV(SUM)=   0.21
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  69.97,BAZ=197.74,PGA(V)=   1.78,PGA(NS)=   2.90,PGA(EW)=   3.07,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.25,PGV(SUM)=   0.16
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  72.45,BAZ=168.69,PGA(V)=   0.85,PGA(NS)=   2.39,PGA(EW)=   1.49,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.71,PGV(SUM)=   0.11
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  73.17,BAZ=209.34,PGA(V)=   0.80,PGA(NS)=   1.14,PGA(EW)=   1.92,PGV(V)=   0.04,PGV(NS)=   0.03,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.86,PGV(SUM)=   0.06
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  76.26,BAZ= 60.77,PGA(V)=   1.11,PGA(NS)=   1.80,PGA(EW)=   2.01,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.26,PGV(SUM)=   0.10
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  78.03,BAZ=193.24,PGA(V)=   0.51,PGA(NS)=   0.85,PGA(EW)=   1.80,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.88,PGV(SUM)=   0.08
