Origin Time:2025/02/10 10:39:54
Lon:120.51¢XE
Lat:23.16¢XN
Depth:16.2km
Mag:4.0
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  49.54,BAZ=219.38,PGA(V)=   0.28,PGA(NS)=   0.99,PGA(EW)=   0.58,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.04
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  51.20,BAZ=199.95,PGA(V)=   0.38,PGA(NS)=   0.70,PGA(EW)=   0.92,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.05
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  58.15,BAZ=186.49,PGA(V)=   1.35,PGA(NS)=   1.42,PGA(EW)=   1.26,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.15,PGV(SUM)=   0.03
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  59.36,BAZ=168.34,PGA(V)=   1.07,PGA(NS)=   3.09,PGA(EW)=   2.23,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 2¯Å,PGA(SUM)=   2.75,PGV(SUM)=   0.08
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  59.57,BAZ=151.71,PGA(V)=   1.37,PGA(NS)=   2.70,PGA(EW)=   2.89,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   2.51,PGV(SUM)=   0.07
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  76.72,BAZ=157.88,PGA(V)=   0.99,PGA(NS)=   0.89,PGA(EW)=   1.30,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.19,PGV(SUM)=   0.05
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist=  80.52,BAZ=164.04,PGA(V)=   0.77,PGA(NS)=   0.96,PGA(EW)=   1.25,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.03,PGV(SUM)=   0.04
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  82.98,BAZ=170.95,PGA(V)=   1.23,PGA(NS)=   2.17,PGA(EW)=   1.20,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   2.20,PGV(SUM)=   0.07
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist=  99.15,BAZ=175.53,PGA(V)=   1.69,PGA(NS)=   1.29,PGA(EW)=   1.16,PGV(V)=   0.03,PGV(NS)=   0.01,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.03
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 101.68,BAZ=183.00,PGA(V)=   0.72,PGA(NS)=   1.79,PGA(EW)=   1.66,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.44,PGV(SUM)=   0.03
