Origin Time:2024/04/08 16:45:06
Lon:121.64°E
Lat:23.95°N
Depth:35.4km
Mag:4.5
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  72.49,BAZ= 15.77,PGA(V)=   0.45,PGA(NS)=   1.08,PGA(EW)=   1.32,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.10
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  75.53,BAZ= 99.31,PGA(V)=   0.32,PGA(NS)=   1.16,PGA(EW)=   0.55,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.04
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  76.92,BAZ=174.65,PGA(V)=   0.22,PGA(NS)=   1.14,PGA(EW)=   1.19,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.03
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  86.38,BAZ= 53.95,PGA(V)=   0.58,PGA(NS)=   1.34,PGA(EW)=   1.70,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.67,PGV(SUM)=   0.07
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  97.21,BAZ= 85.44,PGA(V)=   0.49,PGA(NS)=   0.89,PGA(EW)=   0.63,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.03
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  97.97,BAZ= 16.42,PGA(V)=   0.47,PGA(NS)=   0.95,PGA(EW)=   1.10,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.04
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  98.30,BAZ=116.80,PGA(V)=   0.49,PGA(NS)=   1.01,PGA(EW)=   0.83,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.05
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 100.12,BAZ=102.73,PGA(V)=   0.48,PGA(NS)=   0.86,PGA(EW)=   1.22,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.05
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 103.59,BAZ=152.65,PGA(V)=   0.21,PGA(NS)=   0.66,PGA(EW)=   1.22,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.06
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 105.91,BAZ= 68.59,PGA(V)=   0.45,PGA(NS)=   0.74,PGA(EW)=   0.91,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.04
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 108.34,BAZ= 90.83,PGA(V)=   1.21,PGA(NS)=   0.95,PGA(EW)=   1.11,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.33,PGV(SUM)=   0.06
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 111.47,BAZ= 97.60,PGA(V)=   1.61,PGA(NS)=   3.27,PGA(EW)=   4.02,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.17,PGV(SUM)=   0.14
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 113.21,BAZ= 75.15,PGA(V)=   0.91,PGA(NS)=   1.93,PGA(EW)=   1.59,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.80,PGV(SUM)=   0.07
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 115.53,BAZ= 77.18,PGA(V)=   0.81,PGA(NS)=   1.73,PGA(EW)=   1.66,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.69,PGV(SUM)=   0.05
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 119.23,BAZ= 81.59,PGA(V)=   1.03,PGA(NS)=   1.77,PGA(EW)=   2.15,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.16,PGV(SUM)=   0.06
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 120.01,BAZ= 62.06,PGA(V)=   0.41,PGA(NS)=   1.31,PGA(EW)=   0.98,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.06
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 124.10,BAZ= 95.58,PGA(V)=   1.76,PGA(NS)=   2.00,PGA(EW)=   3.67,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.44,PGV(SUM)=   0.10
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 127.79,BAZ= 68.95,PGA(V)=   0.67,PGA(NS)=   1.14,PGA(EW)=   0.91,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.04
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 128.99,BAZ= 87.85,PGA(V)=   2.76,PGA(NS)=   2.04,PGA(EW)=   4.36,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   4.59,PGV(SUM)=   0.14
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 138.29,BAZ= 86.11,PGA(V)=   0.83,PGA(NS)=   1.52,PGA(EW)=   1.41,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.08
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 145.58,BAZ= 83.80,PGA(V)=   0.90,PGA(NS)=   1.02,PGA(EW)=   1.26,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.07
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 147.99,BAZ= 68.52,PGA(V)=   0.55,PGA(NS)=   1.01,PGA(EW)=   0.91,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.04
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 148.18,BAZ= 76.60,PGA(V)=   0.83,PGA(NS)=   1.87,PGA(EW)=   1.79,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.90,PGV(SUM)=   0.09
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 151.84,BAZ= 72.00,PGA(V)=   0.43,PGA(NS)=   0.74,PGA(EW)=   0.88,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.03
