Origin Time:2023/04/17 16:49:04
Lon:121.67¢XE
Lat:24.37¢XN
Depth:23.0km
Mag:4.7
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist=  48.03,BAZ= 22.06,PGA(V)=   5.18,PGA(NS)=   7.49,PGA(EW)=   5.19,PGV(V)=   0.11,PGV(NS)=   0.16,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   5.21,PGV(SUM)=   0.17
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  51.90,BAZ=  7.72,PGA(V)=   1.17,PGA(NS)=   2.34,PGA(EW)=   2.77,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.68,PGV(SUM)=   0.11
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist=  56.18,BAZ=196.75,PGA(V)=   0.57,PGA(NS)=   1.29,PGA(EW)=   0.84,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.46,PGV(SUM)=   0.08
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  65.20,BAZ=  9.66,PGA(V)=   1.02,PGA(NS)=   1.33,PGA(EW)=   0.99,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.26,PGV(SUM)=   0.06
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  65.81,BAZ= 20.69,PGA(V)=   1.58,PGA(NS)=   2.53,PGA(EW)=   3.90,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.76,PGV(SUM)=   0.06
Stacode=NHDH,Staname=·s©±  ,Stalon=121.53,Stalat=24.96,Dist=  67.17,BAZ=167.36,PGA(V)=   0.67,PGA(NS)=   0.84,PGA(EW)=   1.15,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.03
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  67.98,BAZ= 47.67,PGA(V)=   1.27,PGA(NS)=   2.64,PGA(EW)=   2.25,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   2.64,PGV(SUM)=   0.08
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist=  71.69,BAZ=124.64,PGA(V)=   0.68,PGA(NS)=   1.04,PGA(EW)=   0.87,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.11,PGV(SUM)=   0.05
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  74.16,BAZ=  9.69,PGA(V)=   0.52,PGA(NS)=   0.73,PGA(EW)=   0.77,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.03
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  74.20,BAZ= 82.27,PGA(V)=   0.53,PGA(NS)=   0.99,PGA(EW)=   0.80,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.04
Stacode=NXZ ,Staname=¦Á¤î  ,Stalon=121.64,Stalat=25.08,Dist=  78.55,BAZ=177.78,PGA(V)=   0.48,PGA(NS)=   0.97,PGA(EW)=   0.79,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.07
