Origin Time:2024/04/24 15:30:53
Lon:121.56°E
Lat:23.80°N
Depth:7.3km
Mag:5.0
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  67.40,BAZ= 97.34,PGA(V)=   0.54,PGA(NS)=   2.26,PGA(EW)=   1.74,PGV(V)=   0.05,PGV(NS)=   0.19,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.46,PGV(SUM)=   0.20
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  70.97,BAZ= 60.43,PGA(V)=   0.55,PGA(NS)=   1.39,PGA(EW)=   1.95,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.07,PGV(SUM)=   0.11
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  71.44,BAZ=195.22,PGA(V)=   0.80,PGA(NS)=   1.94,PGA(EW)=   2.12,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.25,PGV(SUM)=   0.09
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  72.12,BAZ=112.87,PGA(V)=   0.38,PGA(NS)=   1.28,PGA(EW)=   0.88,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.48,PGV(SUM)=   0.10
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  72.45,BAZ= 22.42,PGA(V)=   0.56,PGA(NS)=   1.23,PGA(EW)=   1.37,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.44,PGV(SUM)=   0.08
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  72.64,BAZ=165.15,PGA(V)=   1.59,PGA(NS)=   2.08,PGA(EW)=   2.66,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.79,PGV(SUM)=   0.16
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  74.30,BAZ=197.01,PGA(V)=   1.05,PGA(NS)=   2.20,PGA(EW)=   1.72,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.13,PGV(SUM)=   0.12
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  80.56,BAZ= 14.05,PGA(V)=   1.06,PGA(NS)=   2.06,PGA(EW)=   1.93,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.25,PGV(SUM)=   0.12
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  81.96,BAZ=129.85,PGA(V)=   0.42,PGA(NS)=   0.68,PGA(EW)=   0.79,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.08
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  83.30,BAZ= 66.90,PGA(V)=   0.38,PGA(NS)=   0.79,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.07
