Origin Time:2024/04/07 18:01:22
Lon:121.97°E
Lat:24.16°N
Depth:41.7km
Mag:5.6
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  70.25,BAZ=161.97,PGA(V)=   4.98,PGA(NS)=   7.38,PGA(EW)=   8.33,PGV(V)=   0.17,PGV(NS)=   0.65,PGV(EW)=   0.66,Int= 3級,PGA(SUM)=   8.28,PGV(SUM)=   0.92
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  70.99,BAZ= 88.46,PGA(V)=   4.11,PGA(NS)=   5.98,PGA(EW)=   9.88,PGV(V)=   0.35,PGV(NS)=   0.50,PGV(EW)=   0.65,Int= 3級,PGA(SUM)=  10.06,PGV(SUM)=   0.79
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  74.48,BAZ= 97.43,PGA(V)=   2.56,PGA(NS)=   4.86,PGA(EW)=   3.84,PGV(V)=   0.21,PGV(NS)=   0.54,PGV(EW)=   0.38,Int= 2級,PGA(SUM)=   5.58,PGV(SUM)=   0.55
Stacode=EGS ,Staname=龜山島,Stalon=121.94,Stalat=24.84,Dist=  75.59,BAZ=177.92,PGA(V)=   0.66,PGA(NS)=   1.45,PGA(EW)=   1.06,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.10
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  77.63,BAZ= 45.44,PGA(V)=   1.33,PGA(NS)=   1.68,PGA(EW)=   1.96,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.18,PGV(SUM)=   0.14
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  78.05,BAZ=169.48,PGA(V)=   1.40,PGA(NS)=   4.06,PGA(EW)=   2.82,PGV(V)=   0.10,PGV(NS)=   0.27,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   4.25,PGV(SUM)=   0.29
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  82.77,BAZ= 96.83,PGA(V)=   3.09,PGA(NS)=   4.39,PGA(EW)=   3.24,PGV(V)=   0.18,PGV(NS)=   0.25,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   4.82,PGV(SUM)=   0.32
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  83.57,BAZ=132.84,PGA(V)=   1.96,PGA(NS)=   2.93,PGA(EW)=   2.84,PGV(V)=   0.11,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.51,PGV(SUM)=   0.18
Stacode=A124,Staname=烏來  ,Stalon=121.55,Stalat=24.86,Dist=  88.62,BAZ=151.49,PGA(V)=   1.39,PGA(NS)=   2.09,PGA(EW)=   2.30,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.45,PGV(SUM)=   0.13
Stacode=TIPB,Staname=雙溪  ,Stalon=121.83,Stalat=24.97,Dist=  91.05,BAZ=170.70,PGA(V)=   1.02,PGA(NS)=   1.87,PGA(EW)=   1.68,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.37,PGV(SUM)=   0.14
Stacode=TWB1,Staname=三貂角,Stalon=122.00,Stalat=25.01,Dist=  93.76,BAZ=181.63,PGA(V)=   0.29,PGA(NS)=   0.69,PGA(EW)=   0.80,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.09
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  97.75,BAZ= 41.91,PGA(V)=   0.51,PGA(NS)=   0.84,PGA(EW)=   0.94,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.04
Stacode=TWA ,Staname=木柵  ,Stalon=121.59,Stalat=24.98,Dist=  98.31,BAZ=157.04,PGA(V)=   1.25,PGA(NS)=   1.91,PGA(EW)=   1.67,PGV(V)=   0.10,PGV(NS)=   0.11,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   2.01,PGV(SUM)=   0.17
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist=  99.35,BAZ=152.97,PGA(V)=   1.39,PGA(NS)=   4.25,PGA(EW)=   3.92,PGV(V)=   0.12,PGV(NS)=   0.24,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   5.62,PGV(SUM)=   0.30
