Origin Time:2024/09/07 05:28:03
Lon:121.75°E
Lat:24.28°N
Depth:54.2km
Mag:4.9
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  59.46,BAZ= 86.24,PGA(V)=   1.18,PGA(NS)=   4.19,PGA(EW)=   2.01,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.06,Int= 2級,PGA(SUM)=   3.41,PGV(SUM)=   0.13
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  60.83,BAZ= 30.61,PGA(V)=   1.45,PGA(NS)=   4.17,PGA(EW)=   3.48,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.31,PGV(SUM)=   0.06
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  67.01,BAZ= 17.55,PGA(V)=   0.62,PGA(NS)=   1.93,PGA(EW)=   1.87,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.11,PGV(SUM)=   0.07
Stacode=A124,Staname=烏來  ,Stalon=121.55,Stalat=24.86,Dist=  67.04,BAZ=163.07,PGA(V)=   1.24,PGA(NS)=   1.27,PGA(EW)=   1.55,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.41,PGV(SUM)=   0.04
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  68.55,BAZ= 57.76,PGA(V)=   2.58,PGA(NS)=   4.89,PGA(EW)=   3.00,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.93,PGV(SUM)=   0.13
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  75.52,BAZ= 25.43,PGA(V)=   2.11,PGA(NS)=   2.33,PGA(EW)=   2.34,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.94,PGV(SUM)=   0.05
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist=  78.04,BAZ=163.33,PGA(V)=   1.43,PGA(NS)=   1.35,PGA(EW)=   1.85,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.06
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  79.50,BAZ=133.32,PGA(V)=   1.03,PGA(NS)=   2.01,PGA(EW)=   2.10,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   2.17,PGV(SUM)=   0.16
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  81.26,BAZ= 89.46,PGA(V)=   1.15,PGA(NS)=   0.71,PGA(EW)=   0.75,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.05
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  83.32,BAZ=126.84,PGA(V)=   1.27,PGA(NS)=   4.19,PGA(EW)=   4.37,PGV(V)=   0.02,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   4.78,PGV(SUM)=   0.19
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist=  84.16,BAZ=118.46,PGA(V)=   0.56,PGA(NS)=   1.14,PGA(EW)=   1.03,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.03
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist=  88.36,BAZ=173.04,PGA(V)=   0.80,PGA(NS)=   2.33,PGA(EW)=   1.61,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.05
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist=  91.29,BAZ=150.17,PGA(V)=   0.88,PGA(NS)=   1.13,PGA(EW)=   1.41,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.05
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist=  95.52,BAZ=129.08,PGA(V)=   0.51,PGA(NS)=   0.95,PGA(EW)=   1.01,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.05
