Origin Time:2024/05/10 09:35:39
Lon:121.59¢XE
Lat:23.71¢XN
Depth:8.2km
Mag:5.2
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  71.54,BAZ= 18.19,PGA(V)=   1.24,PGA(NS)=   3.20,PGA(EW)=   4.13,PGV(V)=   0.06,PGV(NS)=   0.18,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   4.46,PGV(SUM)=   0.22
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  72.14,BAZ=105.11,PGA(V)=   0.88,PGA(NS)=   0.93,PGA(EW)=   1.53,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.14
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  72.70,BAZ=117.28,PGA(V)=   0.55,PGA(NS)=   0.53,PGA(EW)=   0.79,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.06
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  73.73,BAZ= 32.30,PGA(V)=   0.86,PGA(NS)=   2.02,PGA(EW)=   1.33,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.05,PGV(SUM)=   0.11
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist=  73.92,BAZ=143.72,PGA(V)=   0.61,PGA(NS)=   1.96,PGA(EW)=   1.32,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.00,PGV(SUM)=   0.14
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  75.32,BAZ= 88.70,PGA(V)=   0.50,PGA(NS)=   1.17,PGA(EW)=   0.79,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.32,PGV(SUM)=   0.09
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  78.15,BAZ= 29.15,PGA(V)=   1.12,PGA(NS)=   1.98,PGA(EW)=   1.46,PGV(V)=   0.11,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.00,PGV(SUM)=   0.18
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  80.73,BAZ=191.43,PGA(V)=   0.48,PGA(NS)=   1.31,PGA(EW)=   1.05,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.05
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  82.00,BAZ= 44.90,PGA(V)=   0.66,PGA(NS)=   1.34,PGA(EW)=   0.73,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.06
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  82.54,BAZ= 74.19,PGA(V)=   1.62,PGA(NS)=   3.08,PGA(EW)=   1.99,PGV(V)=   0.11,PGV(NS)=   0.21,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.06,PGV(SUM)=   0.21
