Origin Time:2024/06/02 09:27:24
Lon:121.59°E
Lat:23.80°N
Depth:7.1km
Mag:4.9
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  70.04,BAZ= 97.10,PGA(V)=   0.27,PGA(NS)=   0.83,PGA(EW)=   1.06,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.09
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  70.83,BAZ=193.15,PGA(V)=   0.59,PGA(NS)=   2.08,PGA(EW)=   1.54,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.92,PGV(SUM)=   0.11
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  73.27,BAZ= 61.48,PGA(V)=   0.35,PGA(NS)=   0.79,PGA(EW)=   0.88,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.06
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  73.39,BAZ=163.16,PGA(V)=   1.20,PGA(NS)=   2.46,PGA(EW)=   2.05,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.38,PGV(SUM)=   0.15
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  73.61,BAZ=195.03,PGA(V)=   1.39,PGA(NS)=   2.86,PGA(EW)=   1.84,PGV(V)=   0.08,PGV(NS)=   0.20,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   3.27,PGV(SUM)=   0.24
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  81.21,BAZ= 15.87,PGA(V)=   0.60,PGA(NS)=   0.79,PGA(EW)=   0.79,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.06
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  87.91,BAZ= 91.35,PGA(V)=   0.34,PGA(NS)=   0.76,PGA(EW)=   1.28,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.30,PGV(SUM)=   0.10
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  88.88,BAZ=174.91,PGA(V)=   0.39,PGA(NS)=   0.64,PGA(EW)=   0.79,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.08
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  91.84,BAZ= 95.08,PGA(V)=   0.31,PGA(NS)=   0.38,PGA(EW)=   0.94,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.06
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  92.46,BAZ=178.94,PGA(V)=   0.33,PGA(NS)=   0.85,PGA(EW)=   0.84,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.09
