Origin Time:2024/04/23 05:19:43
Lon:121.54°E
Lat:23.76°N
Depth:5.8km
Mag:5.7
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  66.09,BAZ= 63.09,PGA(V)=   2.96,PGA(NS)=   7.83,PGA(EW)=   8.08,PGV(V)=   0.13,PGV(NS)=   0.48,PGV(EW)=   0.54,Int= 3級,PGA(SUM)=   8.31,PGV(SUM)=   0.57
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  66.55,BAZ=145.00,PGA(V)=   2.34,PGA(NS)=   6.05,PGA(EW)=   5.94,PGV(V)=   0.15,PGV(NS)=   0.40,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   5.76,PGV(SUM)=   0.41
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  66.61,BAZ=197.99,PGA(V)=   3.63,PGA(NS)=   5.37,PGA(EW)=   4.42,PGV(V)=   0.18,PGV(NS)=   0.30,PGV(EW)=   0.30,Int= 2級,PGA(SUM)=   5.43,PGV(SUM)=   0.35
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  66.65,BAZ= 21.87,PGA(V)=   3.08,PGA(NS)=   4.23,PGA(EW)=   4.65,PGV(V)=   0.47,PGV(NS)=   0.68,PGV(EW)=   0.51,Int= 2級,PGA(SUM)=   4.85,PGV(SUM)=   0.93
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  69.91,BAZ=103.53,PGA(V)=   0.84,PGA(NS)=   1.13,PGA(EW)=   1.05,PGV(V)=   0.21,PGV(NS)=   0.11,PGV(EW)=   0.26,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.32
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  70.04,BAZ= 84.44,PGA(V)=   1.42,PGA(NS)=   2.26,PGA(EW)=   2.41,PGV(V)=   0.19,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   2.48,PGV(SUM)=   0.22
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  71.77,BAZ=117.50,PGA(V)=   1.43,PGA(NS)=   2.64,PGA(EW)=   2.44,PGV(V)=   0.16,PGV(NS)=   0.16,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   2.84,PGV(SUM)=   0.25
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  74.94,BAZ= 12.91,PGA(V)=   2.21,PGA(NS)=   7.15,PGA(EW)=   7.85,PGV(V)=   0.21,PGV(NS)=   0.32,PGV(EW)=   0.42,Int= 2級,PGA(SUM)=   7.91,PGV(SUM)=   0.44
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  75.40,BAZ= 26.64,PGA(V)=   1.76,PGA(NS)=   2.26,PGA(EW)=   2.62,PGV(V)=   0.15,PGV(NS)=   0.22,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   2.76,PGV(SUM)=   0.32
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  76.97,BAZ=168.13,PGA(V)=   2.99,PGA(NS)=   5.84,PGA(EW)=   6.44,PGV(V)=   0.16,PGV(NS)=   0.33,PGV(EW)=   0.35,Int= 2級,PGA(SUM)=   6.36,PGV(SUM)=   0.36
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  77.12,BAZ=196.23,PGA(V)=   2.52,PGA(NS)=   4.72,PGA(EW)=   4.59,PGV(V)=   0.11,PGV(NS)=   0.20,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   4.59,PGV(SUM)=   0.22
