Origin Time:2020/05/25 06:31:30
Lon:121.95°E
Lat:24.36°N
Depth:23.8km
Mag:5.2
Stacode=NWL ,Staname=烏來  ,Stalon=121.50,Stalat=24.78,Dist=  65.08,AZ=135.38,PGA(V)=   1.67,PGA(NS)=   2.98,PGA(EW)=   2.83,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   3.65,PGV(SUM)=   0.10
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  68.97,AZ=120.34,PGA(V)=   1.07,PGA(NS)=   2.55,PGA(EW)=   1.95,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.18,PGV(SUM)=   0.11
Stacode=TIPB,Staname=雙溪  ,Stalon=121.83,Stalat=24.97,Dist=  69.12,AZ=169.18,PGA(V)=   1.28,PGA(NS)=   1.96,PGA(EW)=   3.58,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.52,PGV(SUM)=   0.16
Stacode=TWB1,Staname=三貂角,Stalon=122.00,Stalat=25.01,Dist=  71.89,AZ=183.50,PGA(V)=   0.31,PGA(NS)=   0.69,PGA(EW)=   0.95,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.04
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  73.12,AZ= 80.29,PGA(V)=   1.37,PGA(NS)=   1.93,PGA(EW)=   1.51,PGV(V)=   0.09,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.15,PGV(SUM)=   0.12
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  73.20,AZ= 70.96,PGA(V)=   1.15,PGA(NS)=   2.65,PGA(EW)=   2.87,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.12,PGV(SUM)=   0.15
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  74.75,AZ= 32.14,PGA(V)=   1.08,PGA(NS)=   1.21,PGA(EW)=   0.94,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.09
Stacode=TWA ,Staname=木柵  ,Stalon=121.59,Stalat=24.98,Dist=  77.70,AZ=151.90,PGA(V)=   0.94,PGA(NS)=   1.16,PGA(EW)=   1.40,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.11
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  79.89,AZ= 40.69,PGA(V)=   1.24,PGA(NS)=   0.63,PGA(EW)=   0.77,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.05
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  81.28,AZ= 81.42,PGA(V)=   1.11,PGA(NS)=   2.58,PGA(EW)=   1.35,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.58,PGV(SUM)=   0.16
