Origin Time:2016/05/08 10:46:33
Lon:121.02°E
Lat:23.99°N
Depth:19.1km
Mag:4.9
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  78.07,AZ=168.54,PGA(V)=   1.56,PGA(NS)=   5.03,PGA(EW)=   4.07
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  81.55,AZ= 47.57,PGA(V)=   1.50,PGA(NS)=   4.49,PGA(EW)=   3.05
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  81.58,AZ=244.71,PGA(V)=   1.08,PGA(NS)=   1.85,PGA(EW)=   1.56
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  82.55,AZ=184.58,PGA(V)=   1.32,PGA(NS)=   2.63,PGA(EW)=   2.57
Stacode=CHN4,Staname=草山  ,Stalon=120.59,Stalat=23.35,Dist=  83.45,AZ= 31.64,PGA(V)=   1.02,PGA(NS)=   2.27,PGA(EW)=   2.39
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist=  87.02,AZ=179.67,PGA(V)=   0.96,PGA(NS)=   1.44,PGA(EW)=   1.44
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  87.95,AZ=236.96,PGA(V)=   1.08,PGA(NS)=   1.08,PGA(EW)=   1.44
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  89.25,AZ=359.87,PGA(V)=   0.66,PGA(NS)=   0.84,PGA(EW)=   0.90
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  89.96,AZ= 63.96,PGA(V)=   5.20,PGA(NS)=   5.26,PGA(EW)=   8.79
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  90.65,AZ=218.05,PGA(V)=   0.36,PGA(NS)=   1.38,PGA(EW)=   0.96
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  92.50,AZ= 26.24,PGA(V)=   0.42,PGA(NS)=   1.08,PGA(EW)=   1.38
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist=  92.53,AZ=179.44,PGA(V)=   0.72,PGA(NS)=   1.44,PGA(EW)=   1.68
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist=  95.83,AZ= 15.91,PGA(V)=   0.36,PGA(NS)=   1.14,PGA(EW)=   0.96
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist= 102.73,AZ= 29.44,PGA(V)=   0.72,PGA(NS)=   1.14,PGA(EW)=   1.38
Stacode=NLD ,Staname=羅東  ,Stalon=121.77,Stalat=24.67,Dist= 107.08,AZ=225.27,PGA(V)=   0.54,PGA(NS)=   0.96,PGA(EW)=   1.14
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 109.32,AZ=189.14,PGA(V)=   0.48,PGA(NS)=   1.50,PGA(EW)=   1.56
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist= 113.21,AZ=221.06,PGA(V)=   0.36,PGA(NS)=   0.84,PGA(EW)=   0.90
Stacode=NTY ,Staname=桃園市,Stalon=121.31,Stalat=25.00,Dist= 114.98,AZ=194.47,PGA(V)=   0.36,PGA(NS)=   0.72,PGA(EW)=   0.84
Stacode=BAC ,Staname=新北市,Stalon=121.44,Stalat=25.00,Dist= 119.09,AZ=200.87,PGA(V)=   0.48,PGA(NS)=   0.78,PGA(EW)=   0.96
Stacode=CHN3,Staname=新化  ,Stalon=120.36,Stalat=23.08,Dist= 121.82,AZ= 33.49,PGA(V)=   0.60,PGA(NS)=   1.74,PGA(EW)=   1.56
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 123.54,AZ= 42.74,PGA(V)=   1.26,PGA(NS)=   7.30,PGA(EW)=   4.49
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 132.79,AZ= 37.22,PGA(V)=   0.84,PGA(NS)=   1.79,PGA(EW)=   1.26
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 133.89,AZ= 45.59,PGA(V)=   0.66,PGA(NS)=   3.11,PGA(EW)=   2.03
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 142.02,AZ=212.71,PGA(V)=   0.18,PGA(NS)=   1.56,PGA(EW)=   0.78
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 156.12,AZ= 72.33,PGA(V)=   1.02,PGA(NS)=   2.15,PGA(EW)=   2.63
