Origin Time:2018/02/06 23:50:41
Lon:121.73°E
Lat:24.10°N
Depth:6.3km
Mag:6.2
Stacode=TWB1,Staname=三貂角,Stalon=122.00,Stalat=25.01,Dist= 103.96,AZ=195.11,PGA(V)=   1.56,PGA(NS)=   1.91,PGA(EW)=   3.29
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 104.11,AZ=136.15,PGA(V)=   4.43,PGA(NS)=   6.16,PGA(EW)=   7.72
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 105.07,AZ= 86.50,PGA(V)=   4.37,PGA(NS)=  10.65,PGA(EW)=   9.75
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.57,Dist= 105.17,AZ=119.28,PGA(V)=   4.43,PGA(NS)=   5.32,PGA(EW)=   4.97
Stacode=NHY ,Staname=信義區,Stalon=121.57,Stalat=25.04,Dist= 105.39,AZ=171.13,PGA(V)=   5.86,PGA(NS)=   8.91,PGA(EW)=  10.83
Stacode=NGL ,Staname=貢寮  ,Stalon=121.92,Stalat=25.04,Dist= 105.68,AZ=190.67,PGA(V)=   1.62,PGA(NS)=   3.11,PGA(EW)=   2.57
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 106.02,AZ=168.11,PGA(V)=   4.61,PGA(NS)=   8.97,PGA(EW)=   6.34
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 106.40,AZ= 92.69,PGA(V)=   2.63,PGA(NS)=   6.28,PGA(EW)=   6.22
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 107.68,AZ=182.75,PGA(V)=   4.19,PGA(NS)=  14.89,PGA(EW)=  15.67
Stacode=NTY ,Staname=桃園市,Stalon=121.31,Stalat=25.00,Dist= 108.23,AZ=156.68,PGA(V)=   3.05,PGA(NS)=   7.60,PGA(EW)=   6.58
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 108.41,AZ= 76.77,PGA(V)=   5.56,PGA(NS)=   5.68,PGA(EW)=   6.76
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 108.42,AZ=138.01,PGA(V)=   4.37,PGA(NS)=  10.05,PGA(EW)=  11.31
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 108.47,AZ=126.53,PGA(V)=   3.23,PGA(NS)=   8.08,PGA(EW)=   7.18
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 108.93,AZ= 78.63,PGA(V)=   5.50,PGA(NS)=   8.37,PGA(EW)=   6.82
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 110.25,AZ=150.54,PGA(V)=   4.49,PGA(NS)=   8.43,PGA(EW)=   8.97
