Origin Time:2024/05/02 10:07:27
Lon:121.47¢XE
Lat:22.48¢XN
Depth:18.9km
Mag:5.1
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  92.80,BAZ= 90.13,PGA(V)=   0.78,PGA(NS)=   0.77,PGA(EW)=   0.86,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   0.99,PGV(SUM)=   0.11
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist= 109.81,BAZ=114.03,PGA(V)=   0.60,PGA(NS)=   1.05,PGA(EW)=   0.89,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.07
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist= 121.20,BAZ=134.14,PGA(V)=   0.56,PGA(NS)=   0.99,PGA(EW)=   0.89,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.15,PGV(SUM)=   0.09
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist= 123.05,BAZ=154.82,PGA(V)=   0.24,PGA(NS)=   0.62,PGA(EW)=   0.81,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.05
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist= 124.09,BAZ=128.87,PGA(V)=   0.43,PGA(NS)=   0.65,PGA(EW)=   0.77,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.07
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist= 129.80,BAZ=117.41,PGA(V)=   0.50,PGA(NS)=   0.79,PGA(EW)=   0.81,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.09
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 132.13,BAZ=149.38,PGA(V)=   0.31,PGA(NS)=   0.80,PGA(EW)=   0.76,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.92,PGV(SUM)=   0.07
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist= 136.02,BAZ=183.35,PGA(V)=   0.61,PGA(NS)=   1.02,PGA(EW)=   1.15,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.98,PGV(SUM)=   0.03
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 138.21,BAZ=140.06,PGA(V)=   0.43,PGA(NS)=   1.16,PGA(EW)=   1.14,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.23,PGV(SUM)=   0.08
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist= 145.00,BAZ=131.69,PGA(V)=   0.66,PGA(NS)=   1.38,PGA(EW)=   1.13,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.50,PGV(SUM)=   0.16
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 147.87,BAZ=146.66,PGA(V)=   0.43,PGA(NS)=   1.18,PGA(EW)=   1.18,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.27,PGV(SUM)=   0.10
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 151.08,BAZ=120.51,PGA(V)=   0.28,PGA(NS)=   1.15,PGA(EW)=   0.97,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.16,PGV(SUM)=   0.10
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 154.72,BAZ=136.57,PGA(V)=   0.38,PGA(NS)=   0.98,PGA(EW)=   0.86,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.11
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 154.73,BAZ=138.74,PGA(V)=   0.63,PGA(NS)=   1.18,PGA(EW)=   0.88,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.19,PGV(SUM)=   0.10
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist= 158.03,BAZ=184.89,PGA(V)=   0.27,PGA(NS)=   0.78,PGA(EW)=   0.64,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.04
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist= 161.88,BAZ=131.85,PGA(V)=   0.64,PGA(NS)=   1.79,PGA(EW)=   0.84,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.84,PGV(SUM)=   0.13
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 171.76,BAZ=132.15,PGA(V)=   0.22,PGA(NS)=   0.89,PGA(EW)=   0.57,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.10
