Origin Time:2018/02/22 07:10:41
Lon:121.53°E
Lat:23.41°N
Depth:35.6km
Mag:5.6
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist= 103.28,AZ= 69.10,PGA(V)=   1.32,PGA(NS)=   2.51,PGA(EW)=   2.03
Stacode=WES ,Staname=二水  ,Stalon=120.62,Stalat=23.81,Dist= 103.33,AZ=115.25,PGA(V)=   2.75,PGA(NS)=   4.49,PGA(EW)=   3.35
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist= 105.86,AZ= 76.20,PGA(V)=   1.74,PGA(NS)=   3.11,PGA(EW)=   2.09
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist= 106.74,AZ= 81.10,PGA(V)=   1.91,PGA(NS)=   2.87,PGA(EW)=   2.63
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist= 106.95,AZ=108.22,PGA(V)=   2.09,PGA(NS)=   4.67,PGA(EW)=   4.73
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist= 107.80,AZ= 32.94,PGA(V)=   0.78,PGA(NS)=   1.14,PGA(EW)=   1.14
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 110.08,AZ=129.31,PGA(V)=   2.57,PGA(NS)=   4.07,PGA(EW)=   4.43
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 112.85,AZ= 94.67,PGA(V)=   1.91,PGA(NS)=   6.82,PGA(EW)=   4.61
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist= 114.29,AZ=191.06,PGA(V)=   2.69,PGA(NS)=   6.58,PGA(EW)=   6.10
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 114.52,AZ=172.22,PGA(V)=   2.03,PGA(NS)=   6.94,PGA(EW)=   4.85
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 114.61,AZ=121.94,PGA(V)=   5.68,PGA(NS)=   6.58,PGA(EW)=   6.94
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist= 117.74,AZ= 51.03,PGA(V)=   1.38,PGA(NS)=   2.27,PGA(EW)=   2.09
Stacode=WDS ,Staname=東勢  ,Stalon=120.83,Stalat=24.26,Dist= 117.90,AZ=142.59,PGA(V)=   4.55,PGA(NS)=   4.73,PGA(EW)=   6.52
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 118.67,AZ=133.14,PGA(V)=   1.74,PGA(NS)=   3.23,PGA(EW)=   4.49
Stacode=WCH ,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 124.10,AZ=126.64,PGA(V)=   3.95,PGA(NS)=  18.12,PGA(EW)=  12.62
Stacode=CHN3,Staname=新化  ,Stalon=120.36,Stalat=23.08,Dist= 125.31,AZ= 72.65,PGA(V)=   1.50,PGA(NS)=   6.04,PGA(EW)=   3.35
Stacode=WDD ,Staname=大肚  ,Stalon=120.56,Stalat=24.13,Dist= 127.67,AZ=128.76,PGA(V)=   3.77,PGA(NS)=   9.03,PGA(EW)=  10.23
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 128.71,AZ=143.44,PGA(V)=   3.53,PGA(NS)=   7.06,PGA(EW)=   5.03
Stacode=TWM1,Staname=旗山  ,Stalon=120.43,Stalat=22.82,Dist= 130.58,AZ= 59.89,PGA(V)=   0.42,PGA(NS)=   2.03,PGA(EW)=   1.97
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist= 130.67,AZ= 54.26,PGA(V)=   0.54,PGA(NS)=   1.56,PGA(EW)=   2.09
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 131.04,AZ= 76.47,PGA(V)=   1.32,PGA(NS)=   4.73,PGA(EW)=   4.25
Stacode=CHN7,Staname=六腳  ,Stalon=120.24,Stalat=23.48,Dist= 132.45,AZ= 93.37,PGA(V)=   1.08,PGA(NS)=   3.29,PGA(EW)=   4.49
Stacode=EAS ,Staname=安朔  ,Stalon=120.86,Stalat=22.38,Dist= 133.69,AZ= 31.29,PGA(V)=   0.54,PGA(NS)=   0.78,PGA(EW)=   1.08
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist= 134.01,AZ= 52.52,PGA(V)=   0.96,PGA(NS)=   2.03,PGA(EW)=   1.68
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 135.41,AZ=100.52,PGA(V)=   1.44,PGA(NS)=   2.81,PGA(EW)=   3.17
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist= 135.46,AZ=144.95,PGA(V)=   2.21,PGA(NS)=   6.16,PGA(EW)=   5.68
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist= 135.66,AZ=181.72,PGA(V)=   1.02,PGA(NS)=   4.31,PGA(EW)=   4.85
Stacode=WYP ,Staname=外埔  ,Stalon=120.65,Stalat=24.33,Dist= 135.74,AZ=138.66,PGA(V)=   1.14,PGA(NS)=   2.75,PGA(EW)=   4.07
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 136.35,AZ=111.36,PGA(V)=   1.91,PGA(NS)=   3.89,PGA(EW)=   4.25
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist= 136.46,AZ=194.06,PGA(V)=   0.66,PGA(NS)=   1.62,PGA(EW)=   1.68
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 138.80,AZ= 78.98,PGA(V)=   0.90,PGA(NS)=   1.85,PGA(EW)=   2.39
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 139.07,AZ= 72.63,PGA(V)=   0.66,PGA(NS)=   1.68,PGA(EW)=   1.50
Stacode=NSD ,Staname=獅潭  ,Stalon=120.92,Stalat=24.54,Dist= 139.54,AZ=153.45,PGA(V)=   1.79,PGA(NS)=   3.53,PGA(EW)=   2.63
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 140.67,AZ=173.07,PGA(V)=   1.50,PGA(NS)=   2.93,PGA(EW)=   2.81
Stacode=NLD ,Staname=羅東  ,Stalon=121.77,Stalat=24.67,Dist= 141.69,AZ=189.88,PGA(V)=   1.97,PGA(NS)=   3.35,PGA(EW)=   2.81
Stacode=TAI ,Staname=臺南市,Stalon=120.21,Stalat=22.99,Dist= 143.72,AZ= 71.13,PGA(V)=   1.02,PGA(NS)=   1.62,PGA(EW)=   1.38
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.57,Dist= 146.52,AZ=150.55,PGA(V)=   1.08,PGA(NS)=   2.21,PGA(EW)=   2.03
Stacode=SCZ ,Staname=枋寮  ,Stalon=120.63,Stalat=22.37,Dist= 148.19,AZ= 38.82,PGA(V)=   0.36,PGA(NS)=   1.14,PGA(EW)=   0.66
