Origin Time:2025/01/30 10:15:22
Lon:120.59¢XE
Lat:23.27¢XN
Depth:11.2km
Mag:4.4
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  44.65,BAZ=236.77,PGA(V)=   1.91,PGA(NS)=   2.60,PGA(EW)=   2.54,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.83,PGV(SUM)=   0.10
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  44.98,BAZ=281.25,PGA(V)=   1.40,PGA(NS)=   1.68,PGA(EW)=   1.56,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.87,PGV(SUM)=   0.06
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  46.36,BAZ=177.01,PGA(V)=   1.95,PGA(NS)=   4.63,PGA(EW)=   3.99,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.40,PGV(SUM)=   0.11
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  46.97,BAZ=127.17,PGA(V)=   0.93,PGA(NS)=   2.01,PGA(EW)=   2.30,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.92,PGV(SUM)=   0.07
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  50.00,BAZ=173.49,PGA(V)=   1.71,PGA(NS)=   2.68,PGA(EW)=   2.45,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.96,PGV(SUM)=   0.11
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  51.15,BAZ=155.79,PGA(V)=   1.81,PGA(NS)=   2.40,PGA(EW)=   2.87,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.11,PGV(SUM)=   0.13
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  54.46,BAZ=209.08,PGA(V)=   0.63,PGA(NS)=   1.50,PGA(EW)=   1.31,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.05
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  55.35,BAZ=137.76,PGA(V)=   1.69,PGA(NS)=   2.72,PGA(EW)=   2.39,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.34,PGV(SUM)=   0.08
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist=  58.91,BAZ=169.23,PGA(V)=   1.21,PGA(NS)=   1.87,PGA(EW)=   2.06,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.98,PGV(SUM)=   0.07
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  63.03,BAZ=192.53,PGA(V)=   0.35,PGA(NS)=   0.76,PGA(EW)=   0.73,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.03
