Origin Time:2022/09/21 09:13:44
Lon:121.15¢XE
Lat:23.07¢XN
Depth:14.1km
Mag:4.7
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  57.56,AZ=289.83,PGA(V)=   0.58,PGA(NS)=   1.16,PGA(EW)=   1.84,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.61,PGV(SUM)=   0.06
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  59.81,AZ=324.71,PGA(V)=   0.77,PGA(NS)=   0.99,PGA(EW)=   0.86,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.08
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  63.47,AZ=235.67,PGA(V)=   1.04,PGA(NS)=   1.51,PGA(EW)=   1.32,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.05
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist=  65.08,AZ=281.53,PGA(V)=   0.60,PGA(NS)=   1.12,PGA(EW)=   1.08,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.07
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  65.62,AZ=232.34,PGA(V)=   0.65,PGA(NS)=   1.35,PGA(EW)=   0.66,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.03
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  69.38,AZ=306.31,PGA(V)=   0.67,PGA(NS)=   2.64,PGA(EW)=   2.04,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.94,PGV(SUM)=   0.14
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  70.34,AZ=253.36,PGA(V)=   1.12,PGA(NS)=   1.42,PGA(EW)=   1.09,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.08
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  72.33,AZ= 22.98,PGA(V)=   0.36,PGA(NS)=   0.78,PGA(EW)=   0.57,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.03
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  77.02,AZ=240.38,PGA(V)=   0.47,PGA(NS)=   0.71,PGA(EW)=   0.91,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.06
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  82.47,AZ=266.44,PGA(V)=   0.96,PGA(NS)=   2.13,PGA(EW)=   1.58,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.14,PGV(SUM)=   0.14
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  86.23,AZ=306.61,PGA(V)=   0.61,PGA(NS)=   1.15,PGA(EW)=   1.41,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.07
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  87.52,AZ=302.86,PGA(V)=   0.57,PGA(NS)=   3.48,PGA(EW)=   1.61,PGV(V)=   0.03,PGV(NS)=   0.17,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.54,PGV(SUM)=   0.17
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  88.13,AZ=222.79,PGA(V)=   0.96,PGA(NS)=   0.99,PGA(EW)=   0.95,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.15,PGV(SUM)=   0.07
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  88.74,AZ=274.90,PGA(V)=   0.74,PGA(NS)=   1.66,PGA(EW)=   1.47,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.78,PGV(SUM)=   0.10
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  90.52,AZ=319.01,PGA(V)=   0.40,PGA(NS)=   1.67,PGA(EW)=   0.96,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.69,PGV(SUM)=   0.11
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  90.64,AZ=247.43,PGA(V)=   1.28,PGA(NS)=   1.15,PGA(EW)=   1.42,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.48,PGV(SUM)=   0.13
