Origin Time:2025/01/25 06:01:57
Lon:120.50¢XE
Lat:23.17¢XN
Depth:15.2km
Mag:5.1
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  48.45,BAZ=144.60,PGA(V)=   3.77,PGA(NS)=  11.31,PGA(EW)=  16.33,PGV(V)=   0.13,PGV(NS)=   0.35,PGV(EW)=   0.41,Int= 3¯Å,PGA(SUM)=  18.16,PGV(SUM)=   0.51
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  48.79,BAZ=343.18,PGA(V)=   1.65,PGA(NS)=   2.26,PGA(EW)=   2.36,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.21,PGV(SUM)=   0.13
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  48.81,BAZ= 20.55,PGA(V)=   1.96,PGA(NS)=   4.11,PGA(EW)=   3.31,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   4.11,PGV(SUM)=   0.14
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  49.01,BAZ=  0.44,PGA(V)=   0.53,PGA(NS)=   1.08,PGA(EW)=   1.28,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.33,PGV(SUM)=   0.13
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  49.49,BAZ=219.99,PGA(V)=   3.26,PGA(NS)=   6.84,PGA(EW)=   5.20,PGV(V)=   0.12,PGV(NS)=   0.32,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   7.45,PGV(SUM)=   0.32
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  50.98,BAZ=200.49,PGA(V)=   5.27,PGA(NS)=   9.07,PGA(EW)=  11.87,PGV(V)=   0.35,PGV(NS)=   0.47,PGV(EW)=   0.68,Int= 3¯Å,PGA(SUM)=  12.48,PGV(SUM)=   0.77
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  53.07,BAZ=344.03,PGA(V)=   0.69,PGA(NS)=   1.57,PGA(EW)=   1.26,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.05
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  53.57,BAZ=267.50,PGA(V)=   1.51,PGA(NS)=   1.74,PGA(EW)=   1.99,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.10,PGV(SUM)=   0.08
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.50,Stalat=22.68,Dist=  54.19,BAZ=  0.68,PGA(V)=   0.83,PGA(NS)=   0.98,PGA(EW)=   1.35,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.10
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  57.83,BAZ=186.90,PGA(V)=   3.96,PGA(NS)=   9.46,PGA(EW)=   7.76,PGV(V)=   0.10,PGV(NS)=   0.34,PGV(EW)=   0.22,Int= 3¯Å,PGA(SUM)=   8.29,PGV(SUM)=   0.34
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  58.74,BAZ=232.72,PGA(V)=   1.67,PGA(NS)=   2.97,PGA(EW)=   4.13,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   4.35,PGV(SUM)=   0.18
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  58.92,BAZ=168.63,PGA(V)=   5.04,PGA(NS)=  13.26,PGA(EW)=  12.08,PGV(V)=   0.12,PGV(NS)=   0.37,PGV(EW)=   0.47,Int= 3¯Å,PGA(SUM)=  15.08,PGV(SUM)=   0.50
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  59.06,BAZ=151.86,PGA(V)=   5.15,PGA(NS)=  17.36,PGA(EW)=  13.70,PGV(V)=   0.15,PGV(NS)=   0.43,PGV(EW)=   0.34,Int= 3¯Å,PGA(SUM)=  17.34,PGV(SUM)=   0.52
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  60.90,BAZ=183.48,PGA(V)=   4.06,PGA(NS)=   9.33,PGA(EW)=   5.48,PGV(V)=   0.11,PGV(NS)=   0.40,PGV(EW)=   0.18,Int= 3¯Å,PGA(SUM)=   8.07,PGV(SUM)=   0.42
Stacode=WSS ,Staname=¹Ø¤s  ,Stalon=120.26,Stalat=22.64,Dist=  63.09,BAZ= 23.02,PGA(V)=   1.04,PGA(NS)=   1.59,PGA(EW)=   2.36,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.43,PGV(SUM)=   0.09
Stacode=KAU1,Staname=°ª¶¯¥«,Stalon=120.31,Stalat=22.59,Dist=  66.48,BAZ= 17.54,PGA(V)=   0.95,PGA(NS)=   0.93,PGA(EW)=   1.44,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.54,PGV(SUM)=   0.08
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  68.79,BAZ=211.41,PGA(V)=   1.63,PGA(NS)=   3.63,PGA(EW)=   4.13,PGV(V)=   0.07,PGV(NS)=   0.18,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   4.40,PGV(SUM)=   0.20
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist=  69.00,BAZ=178.63,PGA(V)=   7.41,PGA(NS)=  13.85,PGA(EW)=  10.63,PGV(V)=   0.13,PGV(NS)=   0.40,PGV(EW)=   0.35,Int= 3¯Å,PGA(SUM)=  14.48,PGV(SUM)=   0.44
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  70.45,BAZ=294.09,PGA(V)=   0.86,PGA(NS)=   1.08,PGA(EW)=   0.88,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.06
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  70.69,BAZ=303.10,PGA(V)=   0.80,PGA(NS)=   0.81,PGA(EW)=   0.86,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.07
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  72.08,BAZ=271.51,PGA(V)=   1.23,PGA(NS)=   1.54,PGA(EW)=   1.64,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.09
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  73.83,BAZ=276.10,PGA(V)=   1.03,PGA(NS)=   1.30,PGA(EW)=   1.32,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.09
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  75.88,BAZ=354.90,PGA(V)=   0.38,PGA(NS)=   1.09,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.06
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  76.20,BAZ=197.60,PGA(V)=   2.17,PGA(NS)=   6.08,PGA(EW)=   3.83,PGV(V)=   0.08,PGV(NS)=   0.26,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   6.10,PGV(SUM)=   0.27
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  76.23,BAZ=158.04,PGA(V)=   4.71,PGA(NS)=   4.10,PGA(EW)=   8.28,PGV(V)=   0.12,PGV(NS)=   0.16,PGV(EW)=   0.50,Int= 2¯Å,PGA(SUM)=   7.14,PGV(SUM)=   0.52
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  78.80,BAZ=323.27,PGA(V)=   0.69,PGA(NS)=   0.92,PGA(EW)=   0.74,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.11,PGV(SUM)=   0.05
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist=  80.06,BAZ=164.23,PGA(V)=   2.60,PGA(NS)=   9.24,PGA(EW)=   7.70,PGV(V)=   0.09,PGV(NS)=   0.35,PGV(EW)=   0.30,Int= 2¯Å,PGA(SUM)=   7.97,PGV(SUM)=   0.35
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  81.06,BAZ=193.86,PGA(V)=   2.99,PGA(NS)=  10.23,PGA(EW)=   6.47,PGV(V)=   0.05,PGV(NS)=   0.23,PGV(EW)=   0.15,Int= 3¯Å,PGA(SUM)=   8.64,PGV(SUM)=   0.24
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  81.11,BAZ=267.43,PGA(V)=   0.88,PGA(NS)=   2.21,PGA(EW)=   2.43,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.47,PGV(SUM)=   0.13
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  82.56,BAZ=171.16,PGA(V)=  14.51,PGA(NS)=  16.38,PGA(EW)=  19.70,PGV(V)=   0.30,PGV(NS)=   0.42,PGV(EW)=   0.68,Int= 3¯Å,PGA(SUM)=  19.74,PGV(SUM)=   0.68
