Origin Time:2020/11/16 15:19:12
Lon:121.28¢XE
Lat:21.98¢XN
Depth:68.2km
Mag:5.3
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist= 123.89,AZ=184.29,PGA(V)=   0.70,PGA(NS)=   1.50,PGA(EW)=   1.98,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.89,PGV(SUM)=   0.09
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist= 129.43,AZ=176.50,PGA(V)=   0.68,PGA(NS)=   0.77,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.05
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist= 129.68,AZ=131.18,PGA(V)=   0.96,PGA(NS)=   1.13,PGA(EW)=   1.33,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.33,PGV(SUM)=   0.05
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist= 134.71,AZ=180.48,PGA(V)=   0.50,PGA(NS)=   0.89,PGA(EW)=   0.93,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.06
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist= 142.26,AZ=158.73,PGA(V)=   0.48,PGA(NS)=   1.03,PGA(EW)=   1.01,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.03
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist= 148.74,AZ=186.67,PGA(V)=   0.45,PGA(NS)=   0.82,PGA(EW)=   0.76,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.09
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist= 154.14,AZ=149.78,PGA(V)=   0.42,PGA(NS)=   0.78,PGA(EW)=   0.67,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.83,PGV(SUM)=   0.02
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=23.00,Dist= 158.33,AZ=135.11,PGA(V)=   1.82,PGA(NS)=   1.90,PGA(EW)=   1.61,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.46,PGV(SUM)=   0.06
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist= 158.93,AZ=137.36,PGA(V)=   0.75,PGA(NS)=   1.02,PGA(EW)=   1.01,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.05,PGV(SUM)=   0.04
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 163.69,AZ=141.31,PGA(V)=   1.53,PGA(NS)=   1.73,PGA(EW)=   1.43,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.40,PGV(SUM)=   0.05
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 172.52,AZ=139.88,PGA(V)=   1.11,PGA(NS)=   2.06,PGA(EW)=   1.84,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.57,PGV(SUM)=   0.08
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 175.68,AZ=156.63,PGA(V)=   0.51,PGA(NS)=   0.79,PGA(EW)=   0.82,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.04
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 189.06,AZ=152.48,PGA(V)=   0.56,PGA(NS)=   1.23,PGA(EW)=   1.76,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.73,PGV(SUM)=   0.06
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 190.64,AZ=154.18,PGA(V)=   0.52,PGA(NS)=   0.99,PGA(EW)=   1.24,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.05
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 209.99,AZ=154.08,PGA(V)=   0.84,PGA(NS)=   1.52,PGA(EW)=   1.26,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.53,PGV(SUM)=   0.07
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 212.71,AZ=149.45,PGA(V)=   1.93,PGA(NS)=   1.80,PGA(EW)=   4.60,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.29,PGV(SUM)=   0.10
Stacode=WCH1,Staname=¹ü¤Æ¥«,Stalon=120.55,Stalat=24.07,Dist= 243.40,AZ=161.94,PGA(V)=   0.81,PGA(NS)=   0.80,PGA(EW)=   0.95,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.03
Stacode=PNG ,Staname=°¨¤½¥«,Stalon=119.56,Stalat=23.57,Dist= 248.79,AZ=134.80,PGA(V)=   0.95,PGA(NS)=   3.48,PGA(EW)=   2.19,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 2¯Å,PGA(SUM)=   2.61,PGV(SUM)=   0.07
