Origin Time:2024/04/03 16:17:12
Lon:121.63°E
Lat:24.03°N
Depth:23.6km
Mag:4.9
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  67.22,BAZ=187.30,PGA(V)=   1.58,PGA(NS)=   1.64,PGA(EW)=   2.61,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.96,PGV(SUM)=   0.19
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  67.36,BAZ=174.90,PGA(V)=   0.72,PGA(NS)=   2.52,PGA(EW)=   1.95,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.61,PGV(SUM)=   0.09
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  74.92,BAZ=111.30,PGA(V)=   0.41,PGA(NS)=   0.77,PGA(EW)=   1.01,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.06
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  75.60,BAZ= 77.24,PGA(V)=   0.68,PGA(NS)=   1.49,PGA(EW)=   2.06,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.14,PGV(SUM)=   0.14
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  76.03,BAZ=159.20,PGA(V)=   1.32,PGA(NS)=   1.35,PGA(EW)=   1.42,PGV(V)=   0.08,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.87,PGV(SUM)=   0.13
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  76.16,BAZ=183.84,PGA(V)=   0.40,PGA(NS)=   0.71,PGA(EW)=   1.09,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.06
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  81.39,BAZ= 13.14,PGA(V)=   0.47,PGA(NS)=   0.93,PGA(EW)=   0.80,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.06
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  82.02,BAZ=188.79,PGA(V)=   0.35,PGA(NS)=   0.69,PGA(EW)=   0.83,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.06
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  87.67,BAZ= 64.89,PGA(V)=   0.30,PGA(NS)=   0.80,PGA(EW)=   0.61,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  91.37,BAZ= 48.68,PGA(V)=   0.39,PGA(NS)=   0.98,PGA(EW)=   1.25,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.30,PGV(SUM)=   0.06
