Origin Time:2025/01/21 04:05:59
Lon:120.56°E
Lat:23.25°N
Depth:14.9km
Mag:4.9
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist=  45.85,BAZ=131.93,PGA(V)=   3.51,PGA(NS)=   8.41,PGA(EW)=  11.25,PGV(V)=   0.07,PGV(NS)=   0.22,PGV(EW)=   0.32,Int= 3級,PGA(SUM)=   9.91,PGV(SUM)=   0.32
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=22.99,Dist=  46.03,BAZ= 52.54,PGA(V)=   3.80,PGA(NS)=   5.35,PGA(EW)=   3.37,PGV(V)=   0.09,PGV(NS)=   0.27,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   5.15,PGV(SUM)=   0.29
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  47.89,BAZ=277.83,PGA(V)=   3.26,PGA(NS)=   3.28,PGA(EW)=   1.87,PGV(V)=   0.09,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   3.91,PGV(SUM)=   0.11
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  48.56,BAZ=181.06,PGA(V)=   1.14,PGA(NS)=   3.32,PGA(EW)=   3.16,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.26,PGV(SUM)=   0.12
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  48.67,BAZ=236.70,PGA(V)=   0.83,PGA(NS)=   1.87,PGA(EW)=   2.45,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.50,PGV(SUM)=   0.13
Stacode=D009,Staname=路竹  ,Stalon=120.26,Stalat=22.87,Dist=  51.81,BAZ= 36.00,PGA(V)=   1.64,PGA(NS)=   3.39,PGA(EW)=   3.47,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.38,PGV(SUM)=   0.19
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  51.98,BAZ=177.41,PGA(V)=   1.62,PGA(NS)=   2.05,PGA(EW)=   2.41,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.65,PGV(SUM)=   0.15
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist=  52.00,BAZ=160.14,PGA(V)=   3.07,PGA(NS)=   5.55,PGA(EW)=   4.35,PGV(V)=   0.07,PGV(NS)=   0.20,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   5.75,PGV(SUM)=   0.22
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  54.93,BAZ=141.90,PGA(V)=   4.53,PGA(NS)=   9.29,PGA(EW)=   8.91,PGV(V)=   0.09,PGV(NS)=   0.28,PGV(EW)=   0.18,Int= 3級,PGA(SUM)=  10.16,PGV(SUM)=   0.33
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  56.14,BAZ=351.76,PGA(V)=   1.89,PGA(NS)=   1.96,PGA(EW)=   2.80,PGV(V)=   0.08,PGV(NS)=   0.07,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   3.12,PGV(SUM)=   0.14
