Origin Time:2024/04/22 17:08:39
Lon:121.54¢XE
Lat:23.76¢XN
Depth:10.3km
Mag:5.6
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  66.60,BAZ= 22.22,PGA(V)=   1.72,PGA(NS)=   3.18,PGA(EW)=   3.27,PGV(V)=   0.12,PGV(NS)=   0.18,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   3.72,PGV(SUM)=   0.25
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist=  66.69,BAZ=197.65,PGA(V)=   4.91,PGA(NS)=   7.55,PGA(EW)=   6.68,PGV(V)=   0.20,PGV(NS)=   0.38,PGV(EW)=   0.37,Int= 3¯Å,PGA(SUM)=   9.13,PGV(SUM)=   0.44
Stacode=TWT ,Staname=¼w°ò  ,Stalon=121.16,Stalat=24.25,Dist=  66.92,BAZ=144.85,PGA(V)=   3.02,PGA(NS)=   5.97,PGA(EW)=   5.96,PGV(V)=   0.17,PGV(NS)=   0.37,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   7.07,PGV(SUM)=   0.43
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist=  70.30,BAZ=103.62,PGA(V)=   0.57,PGA(NS)=   0.81,PGA(EW)=   0.69,PGV(V)=   0.12,PGV(NS)=   0.09,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.14
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  70.38,BAZ= 84.64,PGA(V)=   0.91,PGA(NS)=   1.73,PGA(EW)=   2.03,PGV(V)=   0.09,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.05,PGV(SUM)=   0.11
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  72.18,BAZ=117.51,PGA(V)=   1.73,PGA(NS)=   1.91,PGA(EW)=   1.70,PGV(V)=   0.10,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.91,PGV(SUM)=   0.15
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  74.82,BAZ= 13.22,PGA(V)=   1.75,PGA(NS)=   4.56,PGA(EW)=   5.54,PGV(V)=   0.10,PGV(NS)=   0.20,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   6.82,PGV(SUM)=   0.27
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  75.38,BAZ= 26.95,PGA(V)=   1.27,PGA(NS)=   1.86,PGA(EW)=   1.58,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.12,PGV(SUM)=   0.10
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  77.22,BAZ=195.93,PGA(V)=   3.37,PGA(NS)=   7.64,PGA(EW)=   7.54,PGV(V)=   0.19,PGV(NS)=   0.36,PGV(EW)=   0.27,Int= 3¯Å,PGA(SUM)=   8.76,PGV(SUM)=   0.41
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  77.24,BAZ=167.90,PGA(V)=   3.16,PGA(NS)=   9.92,PGA(EW)=   9.01,PGV(V)=   0.19,PGV(NS)=   0.43,PGV(EW)=   0.42,Int= 3¯Å,PGA(SUM)=  10.21,PGV(SUM)=   0.51
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  79.07,BAZ= 69.75,PGA(V)=   1.63,PGA(NS)=   2.29,PGA(EW)=   2.93,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.16,PGV(SUM)=   0.21
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  80.10,BAZ=197.57,PGA(V)=   4.25,PGA(NS)=   8.73,PGA(EW)=   7.11,PGV(V)=   0.25,PGV(NS)=   0.56,PGV(EW)=   0.59,Int= 3¯Å,PGA(SUM)=   9.13,PGV(SUM)=   0.65
