Origin Time:2023/08/16 01:09:18
Lon:121.67°E
Lat:24.17°N
Depth:27.7km
Mag:4.8
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  52.48,BAZ=201.15,PGA(V)=   1.06,PGA(NS)=   1.79,PGA(EW)=   2.16,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.22,PGV(SUM)=   0.06
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  52.77,BAZ=100.05,PGA(V)=   1.74,PGA(NS)=   2.67,PGA(EW)=   1.69,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   2.78,PGV(SUM)=   0.16
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  53.19,BAZ=169.05,PGA(V)=   1.11,PGA(NS)=   4.82,PGA(EW)=   3.46,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   4.22,PGV(SUM)=   0.13
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  60.51,BAZ= 24.43,PGA(V)=   1.49,PGA(NS)=   1.44,PGA(EW)=   1.93,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.82,PGV(SUM)=   0.05
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  61.12,BAZ=180.91,PGA(V)=   0.47,PGA(NS)=   0.78,PGA(EW)=   1.09,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.04
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  64.23,BAZ=151.04,PGA(V)=   0.37,PGA(NS)=   0.71,PGA(EW)=   1.24,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.03
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  66.71,BAZ=187.24,PGA(V)=   0.68,PGA(NS)=   0.97,PGA(EW)=   0.99,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.06
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  74.77,BAZ= 76.82,PGA(V)=   0.92,PGA(NS)=   0.98,PGA(EW)=   0.80,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.05
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  74.91,BAZ= 99.48,PGA(V)=   0.89,PGA(NS)=   1.16,PGA(EW)=   1.08,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.13
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  77.75,BAZ=191.80,PGA(V)=   0.46,PGA(NS)=   0.91,PGA(EW)=   1.01,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.04
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  83.99,BAZ= 67.92,PGA(V)=   0.33,PGA(NS)=   0.56,PGA(EW)=   0.83,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.07
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  84.41,BAZ=143.27,PGA(V)=   0.67,PGA(NS)=   1.78,PGA(EW)=   1.20,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.65,PGV(SUM)=   0.06
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist=  85.28,BAZ=128.61,PGA(V)=   0.44,PGA(NS)=   1.58,PGA(EW)=   0.67,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.48,PGV(SUM)=   0.04
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  86.59,BAZ=136.75,PGA(V)=   0.77,PGA(NS)=   1.69,PGA(EW)=   1.37,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.65,PGV(SUM)=   0.07
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist=  89.14,BAZ=170.30,PGA(V)=   0.58,PGA(NS)=   0.96,PGA(EW)=   1.18,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.28,PGV(SUM)=   0.05
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  92.79,BAZ=102.42,PGA(V)=   0.69,PGA(NS)=   0.98,PGA(EW)=   1.01,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.07
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist=  95.76,BAZ=106.67,PGA(V)=   0.38,PGA(NS)=   0.87,PGA(EW)=   0.52,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.05
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist=  99.19,BAZ=137.66,PGA(V)=   0.72,PGA(NS)=   1.89,PGA(EW)=   2.15,PGV(V)=   0.02,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.37,PGV(SUM)=   0.15
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  99.57,BAZ=125.13,PGA(V)=   0.50,PGA(NS)=   1.11,PGA(EW)=   2.06,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.32,PGV(SUM)=   0.12
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist=  99.84,BAZ=157.60,PGA(V)=   0.93,PGA(NS)=   1.12,PGA(EW)=   0.77,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.06
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 100.55,BAZ= 88.69,PGA(V)=   0.49,PGA(NS)=   1.44,PGA(EW)=   1.74,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.03,PGV(SUM)=   0.11
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 100.86,BAZ=186.23,PGA(V)=   0.37,PGA(NS)=   0.80,PGA(EW)=   0.72,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.05
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist= 100.87,BAZ=178.10,PGA(V)=   0.56,PGA(NS)=   1.64,PGA(EW)=   1.20,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.69,PGV(SUM)=   0.05
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 101.46,BAZ=150.95,PGA(V)=   0.33,PGA(NS)=   1.28,PGA(EW)=   0.42,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.30,PGV(SUM)=   0.10
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 112.61,BAZ=145.75,PGA(V)=   0.20,PGA(NS)=   0.72,PGA(EW)=   1.09,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.05
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 112.85,BAZ=168.40,PGA(V)=   0.71,PGA(NS)=   1.19,PGA(EW)=   0.91,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.04
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 113.50,BAZ= 78.41,PGA(V)=   0.68,PGA(NS)=   1.27,PGA(EW)=   1.21,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.09
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 113.75,BAZ= 85.15,PGA(V)=   0.97,PGA(NS)=   2.17,PGA(EW)=   2.93,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.96,PGV(SUM)=   0.13
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 117.23,BAZ= 94.89,PGA(V)=   0.51,PGA(NS)=   0.55,PGA(EW)=   0.73,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.05
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 119.45,BAZ= 58.15,PGA(V)=   0.46,PGA(NS)=   0.92,PGA(EW)=   1.36,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.47,PGV(SUM)=   0.07
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 122.24,BAZ= 14.51,PGA(V)=   0.38,PGA(NS)=   0.87,PGA(EW)=   1.25,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.43,PGV(SUM)=   0.05
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 125.87,BAZ= 66.59,PGA(V)=   0.73,PGA(NS)=   0.86,PGA(EW)=   0.90,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.06
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 127.35,BAZ= 21.33,PGA(V)=   0.30,PGA(NS)=   0.62,PGA(EW)=   0.63,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.06
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 134.94,BAZ= 77.50,PGA(V)=   0.67,PGA(NS)=   1.21,PGA(EW)=   1.39,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.06
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 135.47,BAZ= 53.49,PGA(V)=   0.48,PGA(NS)=   1.34,PGA(EW)=   0.78,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.05
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 137.49,BAZ= 15.91,PGA(V)=   0.51,PGA(NS)=   0.78,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.04
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 140.89,BAZ= 60.08,PGA(V)=   0.53,PGA(NS)=   0.99,PGA(EW)=   1.16,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.09
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 141.12,BAZ= 67.93,PGA(V)=   0.49,PGA(NS)=   0.97,PGA(EW)=   1.12,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.04
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 144.79,BAZ= 76.52,PGA(V)=   0.34,PGA(NS)=   0.90,PGA(EW)=   0.72,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.04
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 146.58,BAZ= 59.58,PGA(V)=   0.32,PGA(NS)=   0.78,PGA(EW)=   0.66,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.06
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 152.90,BAZ= 74.80,PGA(V)=   0.67,PGA(NS)=   0.61,PGA(EW)=   1.02,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.06
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 158.27,BAZ= 68.23,PGA(V)=   0.75,PGA(NS)=   1.46,PGA(EW)=   1.26,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.08
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 161.01,BAZ= 60.80,PGA(V)=   0.35,PGA(NS)=   0.82,PGA(EW)=   0.74,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.03
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 163.60,BAZ= 64.16,PGA(V)=   0.41,PGA(NS)=   0.78,PGA(EW)=   0.70,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.06
