Origin Time:2021/04/28 06:10:51
Lon:120.92¢XE
Lat:23.15¢XN
Depth:1.6km
Mag:4.8
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  53.27,AZ= 32.43,PGA(V)=   0.75,PGA(NS)=   1.23,PGA(EW)=   0.79,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.05
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  55.30,AZ=153.52,PGA(V)=   0.64,PGA(NS)=   1.24,PGA(EW)=   1.29,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.55,PGV(SUM)=   0.06
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  56.72,AZ= 29.70,PGA(V)=   0.58,PGA(NS)=   0.84,PGA(EW)=   0.68,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.04
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  57.49,AZ=251.36,PGA(V)=   0.51,PGA(NS)=   0.78,PGA(EW)=   0.64,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.06
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  60.21,AZ= 76.27,PGA(V)=   0.52,PGA(NS)=   1.15,PGA(EW)=   1.14,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.13
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  61.55,AZ=355.87,PGA(V)=   0.59,PGA(NS)=   0.74,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.03
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  62.05,AZ=132.92,PGA(V)=   0.71,PGA(NS)=   0.90,PGA(EW)=   1.08,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.19,PGV(SUM)=   0.08
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  62.78,AZ=127.61,PGA(V)=   0.45,PGA(NS)=   1.39,PGA(EW)=   1.08,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.43,PGV(SUM)=   0.08
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  63.96,AZ= 42.38,PGA(V)=   0.21,PGA(NS)=   0.78,PGA(EW)=   0.71,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.80,PGV(SUM)=   0.11
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  74.26,AZ= 53.70,PGA(V)=   0.61,PGA(NS)=   0.92,PGA(EW)=   1.27,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.03,PGV(SUM)=   0.10
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  80.48,AZ=137.68,PGA(V)=   0.42,PGA(NS)=   0.82,PGA(EW)=   0.54,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.06
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  88.64,AZ=127.39,PGA(V)=   0.41,PGA(NS)=   0.54,PGA(EW)=   0.75,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.04
