Origin Time:2015/04/14 01:13:57
Lon:121.08°E
Lat:23.93°N
Depth:19.4km
Mag:4.8
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  79.54,AZ=238.66,PGA(V)=   1.44,PGA(NS)=   1.62,PGA(EW)=   1.26
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist=  81.01,AZ= 84.31,PGA(V)=   2.99,PGA(NS)=  10.29,PGA(EW)=  11.66
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  81.96,AZ= 53.71,PGA(V)=   1.62,PGA(NS)=   4.85,PGA(EW)=   3.89
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  85.73,AZ=165.58,PGA(V)=   0.72,PGA(NS)=   1.91,PGA(EW)=   1.62
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  87.05,AZ=231.26,PGA(V)=   0.60,PGA(NS)=   0.90,PGA(EW)=   1.08
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  89.63,AZ= 31.46,PGA(V)=   0.36,PGA(NS)=   0.96,PGA(EW)=   0.96
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist=  91.48,AZ= 20.57,PGA(V)=   0.48,PGA(NS)=   0.84,PGA(EW)=   0.78
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  92.59,AZ=212.72,PGA(V)=   0.24,PGA(NS)=   0.96,PGA(EW)=   1.02
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  92.77,AZ= 69.18,PGA(V)=   8.26,PGA(NS)=  17.59,PGA(EW)=  19.74
Stacode=CHN7,Staname=六腳  ,Stalon=120.24,Stalat=23.48,Dist=  99.24,AZ= 59.80,PGA(V)=   1.50,PGA(NS)=   3.05,PGA(EW)=   4.67
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist= 100.29,AZ= 34.20,PGA(V)=   1.14,PGA(NS)=   1.44,PGA(EW)=   1.26
Stacode=CHN3,Staname=新化  ,Stalon=120.36,Stalat=23.08,Dist= 119.94,AZ= 37.56,PGA(V)=   0.66,PGA(NS)=   1.97,PGA(EW)=   1.56
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 123.07,AZ= 46.81,PGA(V)=   0.90,PGA(NS)=   6.58,PGA(EW)=   5.56
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 131.44,AZ= 40.98,PGA(V)=   0.84,PGA(NS)=   1.56,PGA(EW)=   2.15
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 133.82,AZ= 49.35,PGA(V)=   0.72,PGA(NS)=   4.19,PGA(EW)=   3.71
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 159.96,AZ= 75.20,PGA(V)=   1.20,PGA(NS)=   4.25,PGA(EW)=   3.35
