Origin Time:2024/04/22 00:35:52
Lon:121.67¢XE
Lat:24.19¢XN
Depth:32.2km
Mag:5.4
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  55.09,BAZ= 12.56,PGA(V)=   0.43,PGA(NS)=   7.04,PGA(EW)=   0.43,PGV(V)=   0.02,PGV(NS)=   0.28,PGV(EW)=   0.03,Int= 2¯Å,PGA(SUM)=   6.64,PGV(SUM)=   0.29
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  56.37,BAZ= 62.01,PGA(V)=   0.25,PGA(NS)=   9.06,PGA(EW)=   7.29,PGV(V)=   0.13,PGV(NS)=   0.30,PGV(EW)=   0.33,Int= 3¯Å,PGA(SUM)=   9.30,PGV(SUM)=   0.43
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist=  58.15,BAZ=181.75,PGA(V)=   1.48,PGA(NS)=   2.16,PGA(EW)=   2.64,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   2.59,PGV(SUM)=   0.17
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist=  61.22,BAZ=150.35,PGA(V)=   1.54,PGA(NS)=   3.52,PGA(EW)=   4.80,PGV(V)=   0.10,PGV(NS)=   0.19,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   4.49,PGV(SUM)=   0.22
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  62.93,BAZ= 22.63,PGA(V)=   4.42,PGA(NS)=   5.41,PGA(EW)=   6.49,PGV(V)=   0.14,PGV(NS)=   0.24,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   6.62,PGV(SUM)=   0.34
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist=  63.86,BAZ=188.30,PGA(V)=   2.16,PGA(NS)=   2.87,PGA(EW)=   3.43,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   4.07,PGV(SUM)=   0.20
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  73.67,BAZ= 97.29,PGA(V)=   1.45,PGA(NS)=   3.54,PGA(EW)=   2.67,PGV(V)=   0.11,PGV(NS)=   0.25,PGV(EW)=   0.29,Int= 2¯Å,PGA(SUM)=   3.66,PGV(SUM)=   0.30
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist=  73.78,BAZ=131.18,PGA(V)=   1.00,PGA(NS)=   0.97,PGA(EW)=   1.12,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.08
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  74.72,BAZ= 74.44,PGA(V)=   1.63,PGA(NS)=   2.33,PGA(EW)=   1.98,PGV(V)=   0.10,PGV(NS)=   0.10,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   2.52,PGV(SUM)=   0.18
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist=  75.01,BAZ=192.87,PGA(V)=   1.24,PGA(NS)=   3.13,PGA(EW)=   2.63,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   2.92,PGV(SUM)=   0.15
