Origin Time:2025/03/13 13:09:39
Lon:121.41¢XE
Lat:23.11¢XN
Depth:18.6km
Mag:5.7
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=   3.96,BAZ= 69.74,PGA(V)=  80.39,PGA(NS)= 212.49,PGA(EW)= 313.48,PGV(V)=   1.34,PGV(NS)=   6.88,PGV(EW)=  10.86,Int= 4¯Å,PGA(SUM)= 314.22,PGV(SUM)=  11.43
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  15.36,BAZ=129.71,PGA(V)=  22.03,PGA(NS)=  72.44,PGA(EW)=  88.30,PGV(V)=   0.89,PGV(NS)=   2.29,PGV(EW)=   2.42,Int= 4¯Å,PGA(SUM)= 100.89,PGV(SUM)=   3.04
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  18.68,BAZ= 35.30,PGA(V)=  69.34,PGA(NS)=  91.61,PGA(EW)= 113.96,PGV(V)=   2.18,PGV(NS)=   2.88,PGV(EW)=   5.01,Int= 4¯Å,PGA(SUM)= 120.83,PGV(SUM)=   5.53
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  19.55,BAZ= 85.14,PGA(V)=  31.37,PGA(NS)=  63.77,PGA(EW)=  55.93,PGV(V)=   1.60,PGV(NS)=   3.40,PGV(EW)=   3.65,Int= 4¯Å,PGA(SUM)=  71.79,PGV(SUM)=   4.12
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  21.25,BAZ=101.62,PGA(V)=  27.41,PGA(NS)=  38.50,PGA(EW)=  30.66,PGV(V)=   0.56,PGV(NS)=   1.51,PGV(EW)=   1.06,Int= 4¯Å,PGA(SUM)=  38.84,PGV(SUM)=   1.59
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  23.24,BAZ=190.63,PGA(V)=  23.40,PGA(NS)=  47.24,PGA(EW)=  59.24,PGV(V)=   0.81,PGV(NS)=   1.53,PGV(EW)=   1.47,Int= 4¯Å,PGA(SUM)=  50.47,PGV(SUM)=   1.73
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  27.83,BAZ=160.62,PGA(V)=  12.68,PGA(NS)=  23.86,PGA(EW)=  16.48,PGV(V)=   0.44,PGV(NS)=   1.25,PGV(EW)=   0.87,Int= 3¯Å,PGA(SUM)=  24.80,PGV(SUM)=   1.42
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  36.47,BAZ= 51.75,PGA(V)=   6.81,PGA(NS)=   8.66,PGA(EW)=   8.13,PGV(V)=   0.37,PGV(NS)=   0.84,PGV(EW)=   0.54,Int= 3¯Å,PGA(SUM)=   9.71,PGV(SUM)=   0.96
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  40.25,BAZ=102.22,PGA(V)=   8.92,PGA(NS)=  19.46,PGA(EW)=  17.02,PGV(V)=   0.26,PGV(NS)=   0.35,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=  12.16,PGV(SUM)=   0.42
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  44.34,BAZ=169.44,PGA(V)=   5.03,PGA(NS)=  11.93,PGA(EW)=  16.42,PGV(V)=   0.16,PGV(NS)=   0.35,PGV(EW)=   0.71,Int= 3¯Å,PGA(SUM)=  16.26,PGV(SUM)=   0.74
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  46.81,BAZ= 46.17,PGA(V)=   4.02,PGA(NS)=   4.63,PGA(EW)=   6.73,PGV(V)=   0.19,PGV(NS)=   0.27,PGV(EW)=   0.35,Int= 2¯Å,PGA(SUM)=   7.48,PGV(SUM)=   0.38
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  47.46,BAZ= 33.35,PGA(V)=   2.60,PGA(NS)=   6.32,PGA(EW)=   4.80,PGV(V)=   0.32,PGV(NS)=   0.72,PGV(EW)=   0.57,Int= 2¯Å,PGA(SUM)=   6.21,PGV(SUM)=   0.78
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  48.77,BAZ=352.77,PGA(V)=   5.92,PGA(NS)=  12.66,PGA(EW)=   8.49,PGV(V)=   0.30,PGV(NS)=   1.05,PGV(EW)=   0.50,Int= 3¯Å,PGA(SUM)=  11.53,PGV(SUM)=   1.05
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  61.91,BAZ=181.72,PGA(V)=   3.65,PGA(NS)=   4.32,PGA(EW)=   4.73,PGV(V)=   0.16,PGV(NS)=   0.37,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   5.40,PGV(SUM)=   0.40
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  62.15,BAZ=132.23,PGA(V)=   4.08,PGA(NS)=   7.61,PGA(EW)=   7.67,PGV(V)=   0.13,PGV(NS)=   0.36,PGV(EW)=   0.49,Int= 3¯Å,PGA(SUM)=   8.08,PGV(SUM)=   0.51
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  64.78,BAZ= 96.79,PGA(V)=   5.09,PGA(NS)=   6.53,PGA(EW)=   8.98,PGV(V)=   0.20,PGV(NS)=   0.23,PGV(EW)=   0.23,Int= 3¯Å,PGA(SUM)=   9.22,PGV(SUM)=   0.24
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  67.68,BAZ=192.05,PGA(V)=   3.28,PGA(NS)=  10.60,PGA(EW)=   8.32,PGV(V)=   0.13,PGV(NS)=   0.32,PGV(EW)=   0.38,Int= 3¯Å,PGA(SUM)=  10.70,PGV(SUM)=   0.40
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  73.18,BAZ= 38.88,PGA(V)=   1.15,PGA(NS)=   1.59,PGA(EW)=   1.89,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.92,PGV(SUM)=   0.16
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  75.23,BAZ=125.89,PGA(V)=   1.91,PGA(NS)=   3.41,PGA(EW)=   3.09,PGV(V)=   0.15,PGV(NS)=   0.28,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   3.80,PGV(SUM)=   0.38
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  76.63,BAZ=191.80,PGA(V)=   0.91,PGA(NS)=   1.33,PGA(EW)=   1.47,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.56,PGV(SUM)=   0.07
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  77.80,BAZ=182.43,PGA(V)=   2.62,PGA(NS)=   5.19,PGA(EW)=   4.63,PGV(V)=   0.11,PGV(NS)=   0.18,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   4.75,PGV(SUM)=   0.22
