Origin Time:2024/04/06 23:53:11
Lon:121.85°E
Lat:24.20°N
Depth:22.1km
Mag:5.1
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  61.81,BAZ= 95.41,PGA(V)=   1.59,PGA(NS)=   3.26,PGA(EW)=   1.79,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.49,PGV(SUM)=   0.21
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  62.10,BAZ= 29.67,PGA(V)=   0.26,PGA(NS)=   3.56,PGA(EW)=   0.80,PGV(V)=   0.02,PGV(NS)=   0.18,PGV(EW)=   0.05,Int= 2級,PGA(SUM)=   3.61,PGV(SUM)=   0.18
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  63.71,BAZ=171.46,PGA(V)=   1.77,PGA(NS)=   2.49,PGA(EW)=   3.52,PGV(V)=   0.09,PGV(NS)=   0.23,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   3.55,PGV(SUM)=   0.36
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  70.12,BAZ= 94.94,PGA(V)=   0.93,PGA(NS)=   2.06,PGA(EW)=   1.34,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.13,PGV(SUM)=   0.12
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  72.18,BAZ=137.27,PGA(V)=   0.61,PGA(NS)=   1.55,PGA(EW)=   1.87,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.85,PGV(SUM)=   0.08
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  72.40,BAZ= 36.41,PGA(V)=   1.78,PGA(NS)=   2.59,PGA(EW)=   3.25,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.87,PGV(SUM)=   0.15
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  72.96,BAZ=178.45,PGA(V)=   1.18,PGA(NS)=   2.28,PGA(EW)=   2.52,PGV(V)=   0.07,PGV(NS)=   0.18,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   2.56,PGV(SUM)=   0.20
Stacode=A124,Staname=烏來  ,Stalon=121.55,Stalat=24.86,Dist=  79.92,BAZ=157.94,PGA(V)=   0.46,PGA(NS)=   0.88,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.04
Stacode=TIPB,Staname=雙溪  ,Stalon=121.83,Stalat=24.97,Dist=  86.09,BAZ=178.37,PGA(V)=   0.40,PGA(NS)=   0.74,PGA(EW)=   0.91,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.15
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist=  90.85,BAZ=158.79,PGA(V)=   1.33,PGA(NS)=   1.46,PGA(EW)=   1.54,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.08
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  92.25,BAZ= 95.70,PGA(V)=   0.41,PGA(NS)=   0.83,PGA(EW)=   0.78,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.09
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  93.96,BAZ=133.33,PGA(V)=   0.88,PGA(NS)=   2.47,PGA(EW)=   1.47,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.71,PGV(SUM)=   0.15
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist=  95.31,BAZ=143.22,PGA(V)=   0.77,PGA(NS)=   1.66,PGA(EW)=   1.19,PGV(V)=   0.06,PGV(NS)=   0.17,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.87,PGV(SUM)=   0.19
Stacode=NSX ,Staname=三峽  ,Stalon=121.37,Stalat=24.94,Dist=  95.45,BAZ=149.71,PGA(V)=   0.72,PGA(NS)=   0.98,PGA(EW)=   0.65,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.10
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist=  97.33,BAZ=175.93,PGA(V)=   0.83,PGA(NS)=   2.00,PGA(EW)=   2.00,PGV(V)=   0.04,PGV(NS)=   0.20,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.80,PGV(SUM)=   0.23
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  97.71,BAZ=127.80,PGA(V)=   0.70,PGA(NS)=   2.05,PGA(EW)=   2.00,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.19,PGV(SUM)=   0.14
