Origin Time:2024/04/03 08:50:46
Lon:121.57¢XE
Lat:23.83¢XN
Depth:20.5km
Mag:5.5
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  70.09,BAZ=163.93,PGA(V)=   5.76,PGA(NS)=   9.11,PGA(EW)=  11.11,PGV(V)=   0.31,PGV(NS)=   0.44,PGV(EW)=   0.35,Int= 3¯Å,PGA(SUM)=  11.76,PGV(SUM)=   0.56
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  71.78,BAZ=110.53,PGA(V)=   2.57,PGA(NS)=   1.72,PGA(EW)=   2.19,PGV(V)=   0.09,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.25,PGV(SUM)=   0.09
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist=  72.02,BAZ= 96.68,PGA(V)=   0.58,PGA(NS)=   0.94,PGA(EW)=   1.11,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.30,PGV(SUM)=   0.08
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  73.09,BAZ= 58.78,PGA(V)=   3.18,PGA(NS)=   9.62,PGA(EW)=  16.69,PGV(V)=   0.15,PGV(NS)=   0.64,PGV(EW)=   0.97,Int= 3¯Å,PGA(SUM)=  17.17,PGV(SUM)=   1.00
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  74.75,BAZ= 78.61,PGA(V)=   1.57,PGA(NS)=   4.14,PGA(EW)=   3.19,PGV(V)=   0.13,PGV(NS)=   0.26,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   4.21,PGV(SUM)=   0.29
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  75.39,BAZ= 22.14,PGA(V)=   2.83,PGA(NS)=   5.39,PGA(EW)=   7.41,PGV(V)=   0.17,PGV(NS)=   0.37,PGV(EW)=   0.52,Int= 2¯Å,PGA(SUM)=   7.29,PGV(SUM)=   0.54
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  80.77,BAZ=127.94,PGA(V)=   0.76,PGA(NS)=   1.61,PGA(EW)=   1.53,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.75,PGV(SUM)=   0.11
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  83.53,BAZ= 14.09,PGA(V)=   2.80,PGA(NS)=   6.84,PGA(EW)=  12.15,PGV(V)=   0.18,PGV(NS)=   0.32,PGV(EW)=   0.43,Int= 3¯Å,PGA(SUM)=  11.71,PGV(SUM)=   0.45
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  84.13,BAZ= 26.38,PGA(V)=   1.88,PGA(NS)=   4.53,PGA(EW)=   3.84,PGV(V)=   0.08,PGV(NS)=   0.30,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   5.77,PGV(SUM)=   0.40
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  85.16,BAZ= 65.33,PGA(V)=   1.63,PGA(NS)=   3.92,PGA(EW)=   2.91,PGV(V)=   0.11,PGV(NS)=   0.29,PGV(EW)=   0.27,Int= 2¯Å,PGA(SUM)=   4.17,PGV(SUM)=   0.36
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist=  85.85,BAZ=175.97,PGA(V)=   0.67,PGA(NS)=   1.56,PGA(EW)=   1.34,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.77,PGV(SUM)=   0.08
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  86.01,BAZ= 89.45,PGA(V)=   1.02,PGA(NS)=   2.73,PGA(EW)=   2.85,PGV(V)=   0.11,PGV(NS)=   0.21,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   3.35,PGV(SUM)=   0.36
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  88.94,BAZ= 23.92,PGA(V)=   2.13,PGA(NS)=   5.13,PGA(EW)=   7.33,PGV(V)=   0.19,PGV(NS)=   0.35,PGV(EW)=   0.53,Int= 2¯Å,PGA(SUM)=   7.84,PGV(SUM)=   0.57
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  89.54,BAZ=180.10,PGA(V)=   0.79,PGA(NS)=   3.92,PGA(EW)=   2.99,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.87,PGV(SUM)=   0.15
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  89.75,BAZ= 93.34,PGA(V)=   1.35,PGA(NS)=   1.78,PGA(EW)=   1.64,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.82,PGV(SUM)=   0.15
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  90.33,BAZ=189.36,PGA(V)=   2.36,PGA(NS)=   1.84,PGA(EW)=   3.35,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.30,PGV(SUM)=   0.21
