Origin Time:2015/12/03 22:31:13
Lon:121.39°E
Lat:22.60°N
Depth:25.9km
Mag:5.3
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist= 133.88,AZ=182.42,PGA(V)=   0.54,PGA(NS)=   1.26,PGA(EW)=   1.02
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 136.90,AZ=117.43,PGA(V)=   0.72,PGA(NS)=   2.51,PGA(EW)=   3.47
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 138.94,AZ=135.32,PGA(V)=   1.02,PGA(NS)=   2.21,PGA(EW)=   2.33
Stacode=ESF ,Staname=壽豐  ,Stalon=121.51,Stalat=23.87,Dist= 140.83,AZ=185.05,PGA(V)=   0.60,PGA(NS)=   1.14,PGA(EW)=   1.26
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist= 145.62,AZ=188.72,PGA(V)=   0.78,PGA(NS)=   1.20,PGA(EW)=   1.74
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 145.94,AZ=145.08,PGA(V)=   0.60,PGA(NS)=   1.50,PGA(EW)=   1.26
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 146.29,AZ=114.26,PGA(V)=   0.66,PGA(NS)=   3.23,PGA(EW)=   3.59
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 149.69,AZ=160.93,PGA(V)=   0.42,PGA(NS)=   0.72,PGA(EW)=   1.50
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist= 150.57,AZ=144.80,PGA(V)=   0.54,PGA(NS)=   1.44,PGA(EW)=   1.26
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist= 151.17,AZ=184.14,PGA(V)=   0.54,PGA(NS)=   0.90,PGA(EW)=   0.72
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist= 153.62,AZ=188.71,PGA(V)=   0.36,PGA(NS)=   1.14,PGA(EW)=   1.68
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 157.81,AZ=153.27,PGA(V)=   0.54,PGA(NS)=   1.02,PGA(EW)=   0.90
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 164.60,AZ=133.99,PGA(V)=   0.60,PGA(NS)=   1.97,PGA(EW)=   1.38
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 170.89,AZ=176.10,PGA(V)=   0.42,PGA(NS)=   0.60,PGA(EW)=   0.90
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 171.37,AZ=151.24,PGA(V)=   0.72,PGA(NS)=   1.38,PGA(EW)=   0.78
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist= 173.82,AZ=188.01,PGA(V)=   0.24,PGA(NS)=   0.84,PGA(EW)=   0.60
Stacode=WCH ,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 184.31,AZ=152.61,PGA(V)=   0.54,PGA(NS)=   0.90,PGA(EW)=   0.90
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist= 205.13,AZ=190.41,PGA(V)=   0.30,PGA(NS)=   0.54,PGA(EW)=   0.84
