Origin Time:2023/07/09 03:47:12
Lon:121.60¢XE
Lat:21.91¢XN
Depth:23.1km
Mag:5.4
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist= 133.52,BAZ=169.83,PGA(V)=   0.65,PGA(NS)=   1.56,PGA(EW)=   1.84,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.65,PGV(SUM)=   0.11
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist= 135.42,BAZ=132.95,PGA(V)=   0.65,PGA(NS)=   0.74,PGA(EW)=   0.62,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.07
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist= 136.93,BAZ=163.27,PGA(V)=   0.85,PGA(NS)=   1.25,PGA(EW)=   1.11,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.26,PGV(SUM)=   0.13
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.50,Stalat=22.68,Dist= 142.05,BAZ=126.65,PGA(V)=   0.37,PGA(NS)=   1.07,PGA(EW)=   0.84,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.07,PGV(SUM)=   0.11
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist= 143.00,BAZ=163.44,PGA(V)=   0.42,PGA(NS)=   0.82,PGA(EW)=   0.83,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.07
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist= 144.97,BAZ=128.35,PGA(V)=   0.33,PGA(NS)=   0.81,PGA(EW)=   0.93,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.19
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist= 146.09,BAZ=167.46,PGA(V)=   0.47,PGA(NS)=   1.11,PGA(EW)=   0.94,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.08
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist= 156.40,BAZ=174.30,PGA(V)=   0.51,PGA(NS)=   1.19,PGA(EW)=   0.75,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.09
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist= 157.06,BAZ=133.40,PGA(V)=   0.86,PGA(NS)=   1.66,PGA(EW)=   1.21,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.79,PGV(SUM)=   0.17
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist= 160.41,BAZ=125.55,PGA(V)=   0.51,PGA(NS)=   0.85,PGA(EW)=   0.79,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.12
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist= 179.14,BAZ=141.95,PGA(V)=   0.33,PGA(NS)=   0.66,PGA(EW)=   0.51,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.06
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 194.57,BAZ=155.39,PGA(V)=   0.43,PGA(NS)=   1.30,PGA(EW)=   1.12,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.14
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 197.79,BAZ=148.79,PGA(V)=   0.55,PGA(NS)=   1.15,PGA(EW)=   1.19,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.11
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 209.52,BAZ=153.03,PGA(V)=   0.50,PGA(NS)=   1.34,PGA(EW)=   1.44,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.50,PGV(SUM)=   0.15
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 212.74,BAZ=145.61,PGA(V)=   0.29,PGA(NS)=   1.05,PGA(EW)=   1.01,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.08,PGV(SUM)=   0.10
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 213.63,BAZ=147.16,PGA(V)=   0.58,PGA(NS)=   0.87,PGA(EW)=   0.74,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.12
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 227.56,BAZ=141.65,PGA(V)=   0.21,PGA(NS)=   0.96,PGA(EW)=   0.51,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.98,PGV(SUM)=   0.09
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 227.66,BAZ=151.34,PGA(V)=   0.34,PGA(NS)=   0.65,PGA(EW)=   0.92,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.13
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist= 229.51,BAZ=161.93,PGA(V)=   0.20,PGA(NS)=   0.73,PGA(EW)=   0.78,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.09
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 262.91,BAZ=155.98,PGA(V)=   0.33,PGA(NS)=   0.64,PGA(EW)=   0.79,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.06
