Origin Time:2023/07/07 02:03:56
Lon:121.18¢XE
Lat:23.13¢XN
Depth:11.0km
Mag:4.9
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  63.78,BAZ= 20.82,PGA(V)=   1.12,PGA(NS)=   1.57,PGA(EW)=   2.03,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.92,PGV(SUM)=   0.07
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist=  64.31,BAZ=202.90,PGA(V)=   0.64,PGA(NS)=   0.99,PGA(EW)=   0.76,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.03
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.18,Dist=  67.20,BAZ= 94.81,PGA(V)=   0.96,PGA(NS)=   1.50,PGA(EW)=   1.27,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.70,PGV(SUM)=   0.12
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  68.07,BAZ=119.71,PGA(V)=   1.15,PGA(NS)=   2.99,PGA(EW)=   3.53,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   3.57,PGV(SUM)=   0.20
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  70.42,BAZ= 52.21,PGA(V)=   0.99,PGA(NS)=   1.56,PGA(EW)=   1.22,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.53,PGV(SUM)=   0.06
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  70.77,BAZ=151.59,PGA(V)=   0.58,PGA(NS)=   0.67,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.04
Stacode=TWL ,Staname=ªF¤s  ,Stalon=120.50,Stalat=23.27,Dist=  71.37,BAZ=101.73,PGA(V)=   0.89,PGA(NS)=   0.99,PGA(EW)=   1.45,PGV(V)=   0.07,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.50,PGV(SUM)=   0.12
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  72.79,BAZ= 49.29,PGA(V)=   0.54,PGA(NS)=   0.89,PGA(EW)=   0.61,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.03
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  72.83,BAZ=134.77,PGA(V)=   0.90,PGA(NS)=   2.85,PGA(EW)=   2.59,PGV(V)=   0.07,PGV(NS)=   0.24,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   3.71,PGV(SUM)=   0.27
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist=  75.78,BAZ= 68.71,PGA(V)=   1.07,PGA(NS)=   2.07,PGA(EW)=   1.72,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   2.09,PGV(SUM)=   0.17
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  83.59,BAZ= 57.05,PGA(V)=   0.36,PGA(NS)=   1.12,PGA(EW)=   0.96,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.10
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  84.77,BAZ=121.32,PGA(V)=   0.97,PGA(NS)=   2.38,PGA(EW)=   1.99,PGV(V)=   0.08,PGV(NS)=   0.26,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.50,PGV(SUM)=   0.27
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  86.58,BAZ=117.61,PGA(V)=   0.72,PGA(NS)=   8.40,PGA(EW)=   2.25,PGV(V)=   0.05,PGV(NS)=   0.60,PGV(EW)=   0.20,Int= 3¯Å,PGA(SUM)=   8.65,PGV(SUM)=   0.63
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.50,Stalat=22.68,Dist=  86.74,BAZ= 54.28,PGA(V)=   0.70,PGA(NS)=   0.70,PGA(EW)=   1.19,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.07
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  87.36,BAZ=134.25,PGA(V)=   0.72,PGA(NS)=   2.65,PGA(EW)=   1.80,PGV(V)=   0.05,PGV(NS)=   0.22,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   2.60,PGV(SUM)=   0.23
Stacode=OWD ,Staname=¶ø¸U¤j,Stalon=121.18,Stalat=23.95,Dist=  90.87,BAZ=179.56,PGA(V)=   0.94,PGA(NS)=   0.61,PGA(EW)=   0.66,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  91.60,BAZ= 90.15,PGA(V)=   0.51,PGA(NS)=   1.79,PGA(EW)=   1.40,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.81,PGV(SUM)=   0.12
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  92.04,BAZ=134.34,PGA(V)=   0.55,PGA(NS)=   1.39,PGA(EW)=   1.18,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.50,PGV(SUM)=   0.12
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  95.75,BAZ= 41.21,PGA(V)=   0.66,PGA(NS)=   0.80,PGA(EW)=   0.84,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.05
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  96.59,BAZ= 64.12,PGA(V)=   0.82,PGA(NS)=   2.19,PGA(EW)=   1.33,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.16,PGV(SUM)=   0.15
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  97.50,BAZ= 83.74,PGA(V)=   0.65,PGA(NS)=   2.44,PGA(EW)=   1.10,PGV(V)=   0.02,PGV(NS)=   0.12,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.49,PGV(SUM)=   0.13
