Origin Time:2024/11/22 22:23:00
Lon:120.22°E
Lat:23.20°N
Depth:11.8km
Mag:4.5
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist=  64.63,BAZ=333.61,PGA(V)=   0.40,PGA(NS)=   0.48,PGA(EW)=   0.89,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.05
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  64.76,BAZ=213.98,PGA(V)=   0.86,PGA(NS)=   1.25,PGA(EW)=   1.46,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.57,PGV(SUM)=   0.08
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  65.90,BAZ=209.99,PGA(V)=   1.12,PGA(NS)=   1.66,PGA(EW)=   1.75,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.05,PGV(SUM)=   0.10
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist=  67.00,BAZ=180.63,PGA(V)=   1.83,PGA(NS)=   1.15,PGA(EW)=   1.74,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.05
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist=  70.87,BAZ=202.92,PGA(V)=   1.19,PGA(NS)=   1.68,PGA(EW)=   0.98,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.05
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist=  73.72,BAZ=185.82,PGA(V)=   0.70,PGA(NS)=   1.51,PGA(EW)=   1.55,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.03
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist=  78.03,BAZ=121.28,PGA(V)=   0.58,PGA(NS)=   1.10,PGA(EW)=   1.40,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.03
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist=  79.61,BAZ=192.00,PGA(V)=   1.05,PGA(NS)=   1.11,PGA(EW)=   1.28,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.04
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  82.42,BAZ=247.25,PGA(V)=   0.32,PGA(NS)=   0.75,PGA(EW)=   1.05,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.06
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  92.10,BAZ=203.78,PGA(V)=   0.80,PGA(NS)=   0.77,PGA(EW)=   0.91,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist=  97.26,BAZ=192.99,PGA(V)=   0.70,PGA(NS)=   1.03,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.03
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 103.42,BAZ=223.10,PGA(V)=   0.32,PGA(NS)=   0.99,PGA(EW)=   0.48,PGV(V)=   0.02,PGV(NS)=   0.11,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.12
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 103.52,BAZ=199.71,PGA(V)=   1.09,PGA(NS)=   1.82,PGA(EW)=   2.56,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 2級,PGA(SUM)=   2.51,PGV(SUM)=   0.06
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 105.55,BAZ=207.87,PGA(V)=   0.75,PGA(NS)=   1.65,PGA(EW)=   1.04,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.05
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 177.35,BAZ=202.06,PGA(V)=   0.20,PGA(NS)=   0.82,PGA(EW)=   0.38,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.01,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.03
