Origin Time:2024/04/07 05:15:10
Lon:121.72°E
Lat:24.04°N
Depth:21.5km
Mag:5.2
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  65.79,BAZ=179.51,PGA(V)=   1.49,PGA(NS)=   2.43,PGA(EW)=   3.26,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   3.36,PGV(SUM)=   0.18
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  65.83,BAZ=161.15,PGA(V)=   0.73,PGA(NS)=   0.76,PGA(EW)=   0.99,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.12
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  67.91,BAZ=167.17,PGA(V)=   0.89,PGA(NS)=   3.57,PGA(EW)=   4.55,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   3.35,PGV(SUM)=   0.14
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  71.60,BAZ= 33.96,PGA(V)=   0.94,PGA(NS)=   1.75,PGA(EW)=   2.18,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.68,PGV(SUM)=   0.08
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  75.21,BAZ=176.95,PGA(V)=   0.59,PGA(NS)=   1.48,PGA(EW)=   1.72,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.18,PGV(SUM)=   0.13
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  77.88,BAZ= 87.75,PGA(V)=   0.50,PGA(NS)=   0.55,PGA(EW)=   0.70,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.06
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  78.92,BAZ=152.79,PGA(V)=   0.41,PGA(NS)=   0.81,PGA(EW)=   1.04,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.09
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  80.24,BAZ=182.46,PGA(V)=   0.75,PGA(NS)=   1.42,PGA(EW)=   1.47,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.14
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  84.70,BAZ= 78.02,PGA(V)=   0.75,PGA(NS)=   2.17,PGA(EW)=   2.98,PGV(V)=   0.08,PGV(NS)=   0.20,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   2.99,PGV(SUM)=   0.27
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  84.78,BAZ= 19.04,PGA(V)=   0.93,PGA(NS)=   1.35,PGA(EW)=   1.36,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.14
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  87.05,BAZ= 28.19,PGA(V)=   1.03,PGA(NS)=   0.91,PGA(EW)=   0.89,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.07
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  90.77,BAZ=186.92,PGA(V)=   0.57,PGA(NS)=   1.27,PGA(EW)=   1.04,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.10
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  96.36,BAZ= 66.72,PGA(V)=   0.57,PGA(NS)=   0.75,PGA(EW)=   0.87,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.07
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  98.71,BAZ=145.80,PGA(V)=   0.48,PGA(NS)=   0.98,PGA(EW)=   0.77,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.07
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  98.96,BAZ= 51.79,PGA(V)=   1.20,PGA(NS)=   2.29,PGA(EW)=   3.06,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   3.55,PGV(SUM)=   0.20
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 100.38,BAZ=140.14,PGA(V)=   0.50,PGA(NS)=   1.04,PGA(EW)=   1.18,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.06
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist= 102.91,BAZ= 25.14,PGA(V)=   0.59,PGA(NS)=   0.97,PGA(EW)=   0.99,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.07
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist= 103.80,BAZ=168.90,PGA(V)=   0.48,PGA(NS)=   1.05,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.05
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 107.06,BAZ= 82.10,PGA(V)=   0.94,PGA(NS)=   0.84,PGA(EW)=   0.70,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.10
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 109.76,BAZ= 57.56,PGA(V)=   0.46,PGA(NS)=   1.15,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.22,PGV(SUM)=   0.09
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 110.27,BAZ= 18.86,PGA(V)=   0.52,PGA(NS)=   1.21,PGA(EW)=   1.02,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.06
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist= 111.32,BAZ=166.97,PGA(V)=   0.83,PGA(NS)=   0.76,PGA(EW)=   0.90,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.10
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 114.41,BAZ=183.00,PGA(V)=   0.55,PGA(NS)=   1.80,PGA(EW)=   1.18,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.12,PGV(SUM)=   0.15
