Origin Time:2014/06/18 03:49:13
Lon:121.97°E
Lat:24.50°N
Depth:61.8km
Mag:4.8
Stacode=WCH ,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 150.78,AZ= 71.90,PGA(V)=   0.60,PGA(NS)=   1.02,PGA(EW)=   1.32
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 153.37,AZ= 66.86,PGA(V)=   0.48,PGA(NS)=   0.96,PGA(EW)=   1.14
Stacode=WES ,Staname=二水  ,Stalon=120.62,Stalat=23.81,Dist= 157.31,AZ= 60.76,PGA(V)=   0.84,PGA(NS)=   1.85,PGA(EW)=   1.44
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 165.37,AZ= 52.58,PGA(V)=   0.48,PGA(NS)=   0.78,PGA(EW)=   1.62
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 167.24,AZ= 21.29,PGA(V)=   0.36,PGA(NS)=   0.72,PGA(EW)=   0.90
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 168.71,AZ= 57.42,PGA(V)=   0.54,PGA(NS)=   1.50,PGA(EW)=   1.50
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist= 169.66,AZ= 58.97,PGA(V)=   1.08,PGA(NS)=   1.91,PGA(EW)=   1.56
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 184.92,AZ= 67.34,PGA(V)=   0.42,PGA(NS)=   1.20,PGA(EW)=   1.02
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 192.09,AZ= 54.44,PGA(V)=   0.42,PGA(NS)=   0.78,PGA(EW)=   0.96
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 201.28,AZ= 61.46,PGA(V)=   0.84,PGA(NS)=   1.44,PGA(EW)=   1.32
