Origin Time:2024/04/23 03:28:32
Lon:121.54°E
Lat:23.80°N
Depth:5.4km
Mag:5.1
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  70.54,BAZ= 20.44,PGA(V)=   0.51,PGA(NS)=   1.35,PGA(EW)=   1.35,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.36,PGV(SUM)=   0.11
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  72.78,BAZ=167.59,PGA(V)=   1.01,PGA(NS)=   2.44,PGA(EW)=   2.49,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.87,PGV(SUM)=   0.18
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  73.11,BAZ=197.30,PGA(V)=   1.04,PGA(NS)=   1.67,PGA(EW)=   1.61,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.09
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  76.05,BAZ=198.96,PGA(V)=   1.12,PGA(NS)=   1.62,PGA(EW)=   1.97,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   2.02,PGV(SUM)=   0.17
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  79.04,BAZ= 12.09,PGA(V)=   0.52,PGA(NS)=   1.32,PGA(EW)=   1.46,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.40,PGV(SUM)=   0.11
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  80.21,BAZ= 66.63,PGA(V)=   0.45,PGA(NS)=   0.94,PGA(EW)=   1.44,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.12
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  80.27,BAZ=131.69,PGA(V)=   0.34,PGA(NS)=   0.71,PGA(EW)=   0.76,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.07
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  82.30,BAZ= 92.02,PGA(V)=   0.42,PGA(NS)=   0.82,PGA(EW)=   1.51,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.24,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.24
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  84.02,BAZ= 22.59,PGA(V)=   0.45,PGA(NS)=   0.92,PGA(EW)=   0.78,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.10
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  86.31,BAZ= 95.96,PGA(V)=   0.35,PGA(NS)=   0.72,PGA(EW)=   0.78,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.09
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  87.95,BAZ= 98.07,PGA(V)=   0.82,PGA(NS)=   0.73,PGA(EW)=   0.68,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.10
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  89.34,BAZ=107.78,PGA(V)=   0.56,PGA(NS)=   0.93,PGA(EW)=   1.12,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.15
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  89.39,BAZ=178.54,PGA(V)=   0.53,PGA(NS)=   0.56,PGA(EW)=   0.85,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.09
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  90.24,BAZ= 75.90,PGA(V)=   0.66,PGA(NS)=   2.59,PGA(EW)=   2.00,PGV(V)=   0.06,PGV(NS)=   0.22,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.26,PGV(SUM)=   0.27
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  93.36,BAZ=182.40,PGA(V)=   0.50,PGA(NS)=   1.55,PGA(EW)=   0.97,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.12
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  94.17,BAZ= 14.53,PGA(V)=   0.53,PGA(NS)=   1.51,PGA(EW)=   1.37,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.09
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  94.67,BAZ=191.24,PGA(V)=   0.75,PGA(NS)=   1.70,PGA(EW)=   1.24,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.14
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  98.00,BAZ=128.50,PGA(V)=   0.52,PGA(NS)=   0.61,PGA(EW)=   0.70,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.06
