Origin Time:2022/09/18 13:54:40
Lon:121.19°E
Lat:23.15°N
Depth:7.5km
Mag:4.7
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist=  65.39,AZ=201.38,PGA(V)=   0.44,PGA(NS)=   0.77,PGA(EW)=   0.72,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.03
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist=  68.31,AZ=273.64,PGA(V)=   0.50,PGA(NS)=   0.63,PGA(EW)=   0.66,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.09
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  68.47,AZ=298.25,PGA(V)=   0.71,PGA(NS)=   1.72,PGA(EW)=   1.47,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.95,PGV(SUM)=   0.11
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  70.21,AZ=330.23,PGA(V)=   0.51,PGA(NS)=   1.09,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.05
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  72.73,AZ=313.43,PGA(V)=   0.74,PGA(NS)=   3.04,PGA(EW)=   2.22,PGV(V)=   0.04,PGV(NS)=   0.19,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.10,PGV(SUM)=   0.20
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  85.13,AZ=300.15,PGA(V)=   0.60,PGA(NS)=   1.22,PGA(EW)=   0.86,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.09
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  86.53,AZ=340.27,PGA(V)=   0.38,PGA(NS)=   0.83,PGA(EW)=   1.01,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.10
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  87.04,AZ=296.48,PGA(V)=   0.34,PGA(NS)=   2.21,PGA(EW)=   1.09,PGV(V)=   0.03,PGV(NS)=   0.15,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.18,PGV(SUM)=   0.15
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist=  87.80,AZ=260.96,PGA(V)=   0.31,PGA(NS)=   0.70,PGA(EW)=   0.78,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.06
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  88.74,AZ=327.53,PGA(V)=   0.32,PGA(NS)=   0.84,PGA(EW)=   0.50,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.06
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  91.98,AZ=313.24,PGA(V)=   0.59,PGA(NS)=   1.70,PGA(EW)=   1.77,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.73,PGV(SUM)=   0.15
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  95.80,AZ=327.66,PGA(V)=   0.32,PGA(NS)=   1.38,PGA(EW)=   1.20,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.10
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  99.31,AZ=328.06,PGA(V)=   0.50,PGA(NS)=   0.97,PGA(EW)=   1.15,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.08
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 101.89,AZ=282.65,PGA(V)=   0.25,PGA(NS)=   0.98,PGA(EW)=   1.32,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.07
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=23.00,Dist= 103.53,AZ=260.73,PGA(V)=   0.36,PGA(NS)=   0.58,PGA(EW)=   0.82,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.06
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 107.28,AZ=292.89,PGA(V)=   0.24,PGA(NS)=   1.80,PGA(EW)=   1.12,PGV(V)=   0.01,PGV(NS)=   0.15,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.00,PGV(SUM)=   0.16
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 109.86,AZ=325.20,PGA(V)=   0.89,PGA(NS)=   2.31,PGA(EW)=   2.22,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.92,PGV(SUM)=   0.16
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 110.77,AZ=  4.12,PGA(V)=   0.27,PGA(NS)=   0.58,PGA(EW)=   1.02,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.04
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 112.56,AZ=298.86,PGA(V)=   0.51,PGA(NS)=   1.61,PGA(EW)=   1.77,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.32,PGV(SUM)=   0.12
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 118.20,AZ=315.16,PGA(V)=   0.57,PGA(NS)=   1.12,PGA(EW)=   0.69,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.10
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 121.78,AZ=310.62,PGA(V)=   0.25,PGA(NS)=   0.78,PGA(EW)=   0.79,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.06
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 122.08,AZ=327.89,PGA(V)=   0.42,PGA(NS)=   1.03,PGA(EW)=   0.98,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.22,PGV(SUM)=   0.07
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 123.11,AZ=306.30,PGA(V)=   0.43,PGA(NS)=   1.08,PGA(EW)=   1.21,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.09
