Origin Time:2024/04/05 12:50:51
Lon:121.70¢XE
Lat:24.12¢XN
Depth:18.0km
Mag:5.5
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  57.19,BAZ=182.03,PGA(V)=   4.85,PGA(NS)=   6.91,PGA(EW)=  12.11,PGV(V)=   0.23,PGV(NS)=   0.36,PGV(EW)=   0.61,Int= 3¯Å,PGA(SUM)=  12.23,PGV(SUM)=   0.62
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  58.91,BAZ=167.76,PGA(V)=   3.10,PGA(NS)=   8.26,PGA(EW)=   8.27,PGV(V)=   0.16,PGV(NS)=   0.30,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   7.99,PGV(SUM)=   0.34
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist=  66.48,BAZ=178.78,PGA(V)=   1.46,PGA(NS)=   2.95,PGA(EW)=   4.26,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   4.28,PGV(SUM)=   0.24
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist=  70.07,BAZ=151.45,PGA(V)=   1.17,PGA(NS)=   2.20,PGA(EW)=   2.32,PGV(V)=   0.10,PGV(NS)=   0.12,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.35,PGV(SUM)=   0.18
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist=  71.78,BAZ=184.82,PGA(V)=   1.39,PGA(NS)=   2.62,PGA(EW)=   2.19,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   2.59,PGV(SUM)=   0.23
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  76.11,BAZ= 81.16,PGA(V)=   1.28,PGA(NS)=   2.15,PGA(EW)=   1.36,PGV(V)=   0.12,PGV(NS)=   0.13,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.21,PGV(SUM)=   0.15
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  77.62,BAZ= 28.79,PGA(V)=   1.76,PGA(NS)=   2.35,PGA(EW)=   2.94,PGV(V)=   0.09,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.50,PGV(SUM)=   0.15
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  78.32,BAZ=103.05,PGA(V)=   1.04,PGA(NS)=   1.47,PGA(EW)=   1.34,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.70,PGV(SUM)=   0.18
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  80.11,BAZ= 85.13,PGA(V)=   0.65,PGA(NS)=   1.15,PGA(EW)=   1.07,PGV(V)=   0.08,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.19,PGV(SUM)=   0.09
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist=  81.79,BAZ=134.10,PGA(V)=   0.79,PGA(NS)=   1.10,PGA(EW)=   1.62,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.82,PGV(SUM)=   0.10
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist=  82.58,BAZ=189.42,PGA(V)=   0.89,PGA(NS)=   3.09,PGA(EW)=   2.46,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.01,PGV(SUM)=   0.16
Stacode=A124,Staname=¯Q¨Ó  ,Stalon=121.55,Stalat=24.86,Dist=  83.86,BAZ=170.02,PGA(V)=   0.68,PGA(NS)=   1.16,PGA(EW)=   1.31,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.34,PGV(SUM)=   0.09
Stacode=EGS ,Staname=Àt¤s®q,Stalon=121.94,Stalat=24.84,Dist=  84.08,BAZ=197.32,PGA(V)=   0.36,PGA(NS)=   0.68,PGA(EW)=   0.58,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.05
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  84.41,BAZ= 71.91,PGA(V)=   0.94,PGA(NS)=   3.04,PGA(EW)=   4.47,PGV(V)=   0.10,PGV(NS)=   0.25,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   4.85,PGV(SUM)=   0.38
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist=  87.38,BAZ= 74.34,PGA(V)=   0.41,PGA(NS)=   0.85,PGA(EW)=   0.66,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.10
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist=  89.90,BAZ=129.07,PGA(V)=   0.67,PGA(NS)=   1.00,PGA(EW)=   1.11,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.45,PGV(SUM)=   0.12
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist=  90.14,BAZ=144.08,PGA(V)=   0.89,PGA(NS)=   1.89,PGA(EW)=   2.17,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.10,PGV(SUM)=   0.18
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist=  90.53,BAZ=130.31,PGA(V)=   0.90,PGA(NS)=   2.10,PGA(EW)=   2.07,PGV(V)=   0.10,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.65,PGV(SUM)=   0.15
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist=  92.15,BAZ=137.94,PGA(V)=   1.40,PGA(NS)=   2.02,PGA(EW)=   2.42,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.61,PGV(SUM)=   0.15
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  92.24,BAZ= 15.75,PGA(V)=   1.33,PGA(NS)=   2.85,PGA(EW)=   3.87,PGV(V)=   0.11,PGV(NS)=   0.15,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   4.76,PGV(SUM)=   0.26
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist=  93.65,BAZ= 24.28,PGA(V)=   0.86,PGA(NS)=   1.93,PGA(EW)=   1.74,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.06,PGV(SUM)=   0.17
Stacode=B011,Staname=¤j·Ë  ,Stalon=121.29,Stalat=24.88,Dist=  94.51,BAZ=153.89,PGA(V)=   0.86,PGA(NS)=   1.57,PGA(EW)=   1.43,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.18
Stacode=NHDH,Staname=·s©±  ,Stalon=121.53,Stalat=24.96,Dist=  94.83,BAZ=169.43,PGA(V)=   0.85,PGA(NS)=   1.76,PGA(EW)=   2.26,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.22,PGV(SUM)=   0.12
Stacode=TIPB,Staname=Âù·Ë  ,Stalon=121.83,Stalat=24.97,Dist=  95.47,BAZ=187.85,PGA(V)=   0.34,PGA(NS)=   0.87,PGA(EW)=   0.77,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.05
Stacode=TWA ,Staname=¤ì¬]  ,Stalon=121.59,Stalat=24.98,Dist=  95.83,BAZ=173.65,PGA(V)=   0.60,PGA(NS)=   0.64,PGA(EW)=   0.81,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.10
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist=  96.40,BAZ=105.22,PGA(V)=   1.19,PGA(NS)=   1.78,PGA(EW)=   1.67,PGV(V)=   0.11,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.22,PGV(SUM)=   0.14
Stacode=NSX ,Staname=¤T®l  ,Stalon=121.37,Stalat=24.94,Dist=  96.64,BAZ=160.24,PGA(V)=   0.79,PGA(NS)=   1.97,PGA(EW)=   0.96,PGV(V)=   0.10,PGV(NS)=   0.20,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.96,PGV(SUM)=   0.20
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  97.78,BAZ= 61.45,PGA(V)=   1.00,PGA(NS)=   1.42,PGA(EW)=   2.15,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   2.74,PGV(SUM)=   0.18
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist=  99.69,BAZ=109.23,PGA(V)=   0.80,PGA(NS)=   1.12,PGA(EW)=   0.65,PGV(V)=   0.09,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.11
Stacode=HSN1,Staname=·s¦Ë¥«,Stalon=121.02,Stalat=24.78,Dist= 100.44,BAZ=136.76,PGA(V)=   1.05,PGA(NS)=   0.99,PGA(EW)=   1.05,PGV(V)=   0.10,PGV(NS)=   0.17,PGV(EW)=   0.18,Int= 1¯Å,PGA(SUM)=   1.20,PGV(SUM)=   0.21
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist= 101.30,BAZ=119.25,PGA(V)=   0.91,PGA(NS)=   0.96,PGA(EW)=   0.97,PGV(V)=   0.09,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.11
Stacode=A024,Staname=·s¥_¥«,Stalon=121.47,Stalat=25.02,Dist= 102.32,BAZ=167.30,PGA(V)=   1.60,PGA(NS)=   2.18,PGA(EW)=   2.42,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   2.51,PGV(SUM)=   0.30
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist= 102.59,BAZ= 47.09,PGA(V)=   1.19,PGA(NS)=   5.82,PGA(EW)=   4.02,PGV(V)=   0.07,PGV(NS)=   0.32,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   6.08,PGV(SUM)=   0.35
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist= 102.98,BAZ= 91.70,PGA(V)=   0.69,PGA(NS)=   0.92,PGA(EW)=   1.00,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.02,PGV(SUM)=   0.14
Stacode=TAP ,Staname=»O¥_¥«,Stalon=121.51,Stalat=25.04,Dist= 103.53,BAZ=169.69,PGA(V)=   0.84,PGA(NS)=   1.36,PGA(EW)=   1.21,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.72,PGV(SUM)=   0.18
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist= 103.91,BAZ= 71.60,PGA(V)=   0.83,PGA(NS)=   1.97,PGA(EW)=   1.65,PGV(V)=   0.06,PGV(NS)=   0.19,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.97,PGV(SUM)=   0.19
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 104.65,BAZ=126.77,PGA(V)=   1.11,PGA(NS)=   1.71,PGA(EW)=   2.24,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.25,PGV(SUM)=   0.17
Stacode=HSN ,Staname=¦Ë¥_¥«,Stalon=121.01,Stalat=24.83,Dist= 104.77,BAZ=138.67,PGA(V)=   1.17,PGA(NS)=   2.54,PGA(EW)=   1.75,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.87,PGV(SUM)=   0.20
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist= 105.62,BAZ= 75.34,PGA(V)=   0.73,PGA(NS)=   1.66,PGA(EW)=   1.43,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.63,PGV(SUM)=   0.13
Stacode=NTY ,Staname=®ç¶é¥«,Stalon=121.30,Stalat=25.00,Dist= 105.70,BAZ=157.51,PGA(V)=   0.98,PGA(NS)=   1.86,PGA(EW)=   1.41,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.99,PGV(SUM)=   0.15
Stacode=NWF ,Staname=¤­¤À¤s,Stalon=121.78,Stalat=25.07,Dist= 105.96,BAZ=184.64,PGA(V)=   0.83,PGA(NS)=   2.14,PGA(EW)=   2.80,PGV(V)=   0.04,PGV(NS)=   0.18,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.05,PGV(SUM)=   0.20
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 106.03,BAZ= 77.27,PGA(V)=   1.44,PGA(NS)=   1.58,PGA(EW)=   1.43,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.87,PGV(SUM)=   0.12
Stacode=NXZ ,Staname=¦Á¤î  ,Stalon=121.64,Stalat=25.08,Dist= 106.32,BAZ=176.91,PGA(V)=   0.92,PGA(NS)=   2.71,PGA(EW)=   2.30,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   2.72,PGV(SUM)=   0.14
Stacode=NCU ,Staname=¤¤Ãc  ,Stalon=121.19,Stalat=24.97,Dist= 107.30,BAZ=151.22,PGA(V)=   0.78,PGA(NS)=   1.18,PGA(EW)=   0.89,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.15
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist= 109.79,BAZ= 21.99,PGA(V)=   0.86,PGA(NS)=   1.65,PGA(EW)=   2.69,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.70,PGV(SUM)=   0.17
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist= 110.28,BAZ=103.34,PGA(V)=   0.52,PGA(NS)=   0.72,PGA(EW)=   1.09,PGV(V)=   0.12,PGV(NS)=   0.09,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   1.07,PGV(SUM)=   0.19
Stacode=TWS1,Staname=¤­ªÑ  ,Stalon=121.42,Stalat=25.10,Dist= 112.39,BAZ=165.74,PGA(V)=   0.62,PGA(NS)=   0.81,PGA(EW)=   0.86,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.92,PGV(SUM)=   0.13
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 112.52,BAZ= 53.13,PGA(V)=   0.78,PGA(NS)=   2.05,PGA(EW)=   1.64,PGV(V)=   0.05,PGV(NS)=   0.19,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   2.24,PGV(SUM)=   0.23
Stacode=NOU ,Staname=°ò¶©¥«,Stalon=121.77,Stalat=25.15,Dist= 114.50,BAZ=183.88,PGA(V)=   0.31,PGA(NS)=   0.52,PGA(EW)=   0.75,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.05
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 114.93,BAZ= 81.27,PGA(V)=   1.39,PGA(NS)=   1.90,PGA(EW)=   2.07,PGV(V)=   0.11,PGV(NS)=   0.23,PGV(EW)=   0.20,Int= 1¯Å,PGA(SUM)=   2.18,PGV(SUM)=   0.24
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 115.83,BAZ= 87.89,PGA(V)=   1.48,PGA(NS)=   2.82,PGA(EW)=   2.91,PGV(V)=   0.20,PGV(NS)=   0.27,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   3.24,PGV(SUM)=   0.28
