Origin Time:2024/05/12 03:07:33
Lon:121.68°E
Lat:24.24°N
Depth:29.3km
Mag:4.8
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  53.08,BAZ=180.01,PGA(V)=   1.09,PGA(NS)=   1.82,PGA(EW)=   1.64,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.78,PGV(SUM)=   0.09
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  57.86,BAZ=146.35,PGA(V)=   0.62,PGA(NS)=   1.14,PGA(EW)=   2.11,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.74,PGV(SUM)=   0.07
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  58.62,BAZ=187.30,PGA(V)=   0.78,PGA(NS)=   1.63,PGA(EW)=   1.35,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.08
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  60.41,BAZ= 58.58,PGA(V)=   0.26,PGA(NS)=   1.58,PGA(EW)=   1.33,PGV(V)=   0.13,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.55,PGV(SUM)=   0.13
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  69.70,BAZ=192.37,PGA(V)=   0.49,PGA(NS)=   1.12,PGA(EW)=   1.00,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.26,PGV(SUM)=   0.08
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  74.96,BAZ= 93.29,PGA(V)=   0.53,PGA(NS)=   1.12,PGA(EW)=   0.67,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.08
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  78.74,BAZ=139.22,PGA(V)=   0.59,PGA(NS)=   0.90,PGA(EW)=   1.01,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.05
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist=  81.42,BAZ=168.69,PGA(V)=   0.70,PGA(NS)=   1.00,PGA(EW)=   0.98,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.05
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  81.62,BAZ=132.40,PGA(V)=   0.54,PGA(NS)=   1.56,PGA(EW)=   1.77,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.14,PGV(SUM)=   0.10
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist=  81.99,BAZ=150.67,PGA(V)=   0.45,PGA(NS)=   0.89,PGA(EW)=   0.60,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.05
Stacode=NSX ,Staname=三峽  ,Stalon=121.37,Stalat=24.94,Dist=  83.62,BAZ=158.06,PGA(V)=   0.44,PGA(NS)=   0.87,PGA(EW)=   0.51,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.06
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  88.17,BAZ= 63.31,PGA(V)=   0.20,PGA(NS)=   0.54,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.07
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist=  88.97,BAZ=166.30,PGA(V)=   0.93,PGA(NS)=   1.06,PGA(EW)=   1.44,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.08
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  92.33,BAZ= 97.42,PGA(V)=   0.50,PGA(NS)=   0.60,PGA(EW)=   0.81,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.07
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist=  92.77,BAZ=186.17,PGA(V)=   0.44,PGA(NS)=   1.02,PGA(EW)=   1.30,PGV(V)=   0.01,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.47,PGV(SUM)=   0.10
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist=  92.86,BAZ=155.16,PGA(V)=   0.67,PGA(NS)=   0.96,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.08
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist=  92.88,BAZ=177.34,PGA(V)=   0.55,PGA(NS)=   1.48,PGA(EW)=   1.11,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.04
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist=  94.09,BAZ=133.94,PGA(V)=   0.51,PGA(NS)=   1.06,PGA(EW)=   1.13,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.07
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist=  94.13,BAZ=112.56,PGA(V)=   0.20,PGA(NS)=   0.82,PGA(EW)=   0.83,PGV(V)=   0.01,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.08
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist=  95.02,BAZ=148.10,PGA(V)=   0.32,PGA(NS)=   1.11,PGA(EW)=   0.51,PGV(V)=   0.02,PGV(NS)=   0.11,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.11
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  95.98,BAZ=120.88,PGA(V)=   0.35,PGA(NS)=   0.88,PGA(EW)=   0.75,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.07
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 102.29,BAZ= 77.69,PGA(V)=   0.54,PGA(NS)=   1.79,PGA(EW)=   0.95,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.95,PGV(SUM)=   0.10
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 105.21,BAZ=167.02,PGA(V)=   0.40,PGA(NS)=   0.86,PGA(EW)=   0.70,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.04
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 106.63,BAZ=142.90,PGA(V)=   0.23,PGA(NS)=   0.95,PGA(EW)=   1.11,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.06,PGV(SUM)=   0.07
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 115.63,BAZ= 81.22,PGA(V)=   0.56,PGA(NS)=   0.92,PGA(EW)=   1.54,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.35,PGV(SUM)=   0.06
