Origin Time:2024/04/23 07:02:43
Lon:121.50°E
Lat:23.73°N
Depth:3.6km
Mag:4.6
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  80.66,BAZ=198.23,PGA(V)=   0.43,PGA(NS)=   1.34,PGA(EW)=   1.02,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.05
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  83.63,BAZ=199.71,PGA(V)=   1.51,PGA(NS)=   1.10,PGA(EW)=   1.08,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.09
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  85.40,BAZ= 79.77,PGA(V)=   0.32,PGA(NS)=   0.97,PGA(EW)=   1.22,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.09
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  86.72,BAZ= 13.42,PGA(V)=   0.47,PGA(NS)=   0.88,PGA(EW)=   0.96,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.04
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  97.14,BAZ= 70.31,PGA(V)=   0.30,PGA(NS)=   0.86,PGA(EW)=   0.86,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.94,PGV(SUM)=   0.06
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  98.14,BAZ= 88.75,PGA(V)=   0.54,PGA(NS)=   0.75,PGA(EW)=   0.82,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.06
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist= 100.36,BAZ=184.23,PGA(V)=   0.24,PGA(NS)=   0.94,PGA(EW)=   0.71,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.06
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist= 102.05,BAZ=192.42,PGA(V)=   0.51,PGA(NS)=   0.65,PGA(EW)=   1.12,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.08
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 103.31,BAZ=111.73,PGA(V)=   0.40,PGA(NS)=   1.06,PGA(EW)=   1.02,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.05
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 112.15,BAZ= 76.41,PGA(V)=   0.20,PGA(NS)=   0.83,PGA(EW)=   1.03,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.05
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 115.90,BAZ= 99.26,PGA(V)=   0.52,PGA(NS)=   0.69,PGA(EW)=   0.75,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.08
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 118.69,BAZ= 69.14,PGA(V)=   0.30,PGA(NS)=   0.65,PGA(EW)=   0.82,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.09
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 131.98,BAZ= 79.77,PGA(V)=   0.27,PGA(NS)=   0.69,PGA(EW)=   0.58,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.05
