Origin Time:2025/02/06 07:38:38
Lon:120.55¢XE
Lat:23.21¢XN
Depth:17.0km
Mag:4.0
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  47.41,BAZ=136.71,PGA(V)=   0.88,PGA(NS)=   1.47,PGA(EW)=   1.96,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.96,PGV(SUM)=   0.05
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  52.49,BAZ=182.73,PGA(V)=   0.47,PGA(NS)=   1.27,PGA(EW)=   1.45,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.03
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  55.17,BAZ=163.07,PGA(V)=   0.92,PGA(NS)=   1.35,PGA(EW)=   1.80,PGV(V)=   0.01,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.72,PGV(SUM)=   0.07
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  57.11,BAZ=145.56,PGA(V)=   1.16,PGA(NS)=   3.14,PGA(EW)=   4.12,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.29,PGV(SUM)=   0.08
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist=  64.29,BAZ=174.56,PGA(V)=   0.84,PGA(NS)=   2.32,PGA(EW)=   2.35,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.08,PGV(SUM)=   0.07
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  73.51,BAZ=153.37,PGA(V)=   1.02,PGA(NS)=   0.93,PGA(EW)=   2.13,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.25,PGV(SUM)=   0.04
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  75.22,BAZ=191.48,PGA(V)=   0.38,PGA(NS)=   1.39,PGA(EW)=   1.09,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.17,PGV(SUM)=   0.03
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist=  76.68,BAZ=160.02,PGA(V)=   0.63,PGA(NS)=   0.90,PGA(EW)=   1.25,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.02,PGV(SUM)=   0.03
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist=  78.48,BAZ=167.40,PGA(V)=   2.01,PGA(NS)=   4.04,PGA(EW)=   1.86,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.05,Int= 2¯Å,PGA(SUM)=   4.09,PGV(SUM)=   0.13
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist=  94.23,BAZ=172.81,PGA(V)=   0.61,PGA(NS)=   0.65,PGA(EW)=   0.97,PGV(V)=   0.01,PGV(NS)=   0.01,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.02
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist=  96.19,BAZ=180.75,PGA(V)=   0.84,PGA(NS)=   1.58,PGA(EW)=   2.04,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.38,PGV(SUM)=   0.04
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 115.82,BAZ=178.87,PGA(V)=   1.80,PGA(NS)=   0.63,PGA(EW)=   0.78,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.03
