Origin Time:2020/02/26 13:34:15
Lon:121.62¢XE
Lat:23.88¢XN
Depth:26.5km
Mag:4.9
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.95,Stalat=24.01,Dist=  69.51,AZ=102.62,PGA(V)=   0.99,PGA(NS)=   0.94,PGA(EW)=   1.69,PGV(V)=   0.04,PGV(NS)=   0.03,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.64,PGV(SUM)=   0.07
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  72.04,AZ= 90.39,PGA(V)=   0.88,PGA(NS)=   2.41,PGA(EW)=   2.66,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.22,PGV(SUM)=   0.19
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  79.66,AZ= 57.21,PGA(V)=   1.21,PGA(NS)=   1.61,PGA(EW)=   2.42,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.43,PGV(SUM)=   0.13
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  81.30,AZ=123.10,PGA(V)=   1.17,PGA(NS)=   4.32,PGA(EW)=   3.54,PGV(V)=   0.05,PGV(NS)=   0.19,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   5.17,PGV(SUM)=   0.22
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  81.98,AZ= 23.62,PGA(V)=   0.49,PGA(NS)=   0.93,PGA(EW)=   1.34,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.46,PGV(SUM)=   0.05
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  84.39,AZ=177.10,PGA(V)=   0.50,PGA(NS)=   2.36,PGA(EW)=   1.87,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.46,PGV(SUM)=   0.08
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  89.77,AZ= 16.03,PGA(V)=   0.81,PGA(NS)=   1.35,PGA(EW)=   2.23,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.10,PGV(SUM)=   0.08
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  91.43,AZ= 63.49,PGA(V)=   0.45,PGA(NS)=   0.94,PGA(EW)=   0.80,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.98,PGV(SUM)=   0.05
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist=  91.80,AZ=164.00,PGA(V)=   0.48,PGA(NS)=   0.97,PGA(EW)=   1.01,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.05
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  94.01,AZ= 89.99,PGA(V)=   0.55,PGA(NS)=   1.76,PGA(EW)=   1.39,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.77,PGV(SUM)=   0.05
Stacode=WWF ,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  95.15,AZ=101.13,PGA(V)=   0.69,PGA(NS)=   1.73,PGA(EW)=   1.08,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.73,PGV(SUM)=   0.08
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  95.35,AZ= 91.99,PGA(V)=   0.69,PGA(NS)=   0.76,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.04
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist=  99.34,AZ=107.44,PGA(V)=   0.49,PGA(NS)=   1.50,PGA(EW)=   1.10,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.38,PGV(SUM)=   0.09
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.77,Stalat=24.35,Dist= 100.19,AZ=121.28,PGA(V)=   0.98,PGA(NS)=   1.32,PGA(EW)=   0.98,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.43,PGV(SUM)=   0.05
