Origin Time:2024/04/03 09:17:43
Lon:121.67¢XE
Lat:24.04¢XN
Depth:35.7km
Mag:5.2
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  68.99,BAZ= 30.21,PGA(V)=   1.05,PGA(NS)=   1.96,PGA(EW)=   2.70,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.66,PGV(SUM)=   0.05
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  72.62,BAZ= 87.40,PGA(V)=   0.96,PGA(NS)=   0.84,PGA(EW)=   0.85,PGV(V)=   0.04,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.05
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist=  74.88,BAZ=180.96,PGA(V)=   0.63,PGA(NS)=   1.18,PGA(EW)=   1.21,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.28,PGV(SUM)=   0.08
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist=  76.44,BAZ=156.21,PGA(V)=   0.63,PGA(NS)=   1.08,PGA(EW)=   1.41,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.06
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist=  77.19,BAZ= 91.19,PGA(V)=   0.66,PGA(NS)=   1.66,PGA(EW)=   1.75,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.05
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  78.12,BAZ=109.51,PGA(V)=   0.66,PGA(NS)=   1.12,PGA(EW)=   1.25,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.33,PGV(SUM)=   0.10
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  79.60,BAZ= 77.07,PGA(V)=   0.87,PGA(NS)=   2.32,PGA(EW)=   4.11,PGV(V)=   0.05,PGV(NS)=   0.21,PGV(EW)=   0.32,Int= 2¯Å,PGA(SUM)=   4.32,PGV(SUM)=   0.34
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist=  80.40,BAZ=186.21,PGA(V)=   0.65,PGA(NS)=   0.95,PGA(EW)=   1.01,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.05,PGV(SUM)=   0.08
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  83.43,BAZ= 15.55,PGA(V)=   0.57,PGA(NS)=   2.28,PGA(EW)=   1.22,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.53,PGV(SUM)=   0.11
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist=  86.09,BAZ=139.35,PGA(V)=   0.59,PGA(NS)=   0.92,PGA(EW)=   0.90,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.05
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist=  91.31,BAZ=190.21,PGA(V)=   0.64,PGA(NS)=   1.07,PGA(EW)=   1.42,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.50,PGV(SUM)=   0.07
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  91.64,BAZ= 65.28,PGA(V)=   0.82,PGA(NS)=   1.80,PGA(EW)=   1.42,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.77,PGV(SUM)=   0.10
Stacode=A124,Staname=¯Q¨Ó  ,Stalon=121.55,Stalat=24.86,Dist=  91.77,BAZ=172.57,PGA(V)=   0.45,PGA(NS)=   0.94,PGA(EW)=   0.80,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.03
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist=  93.50,BAZ=134.10,PGA(V)=   0.60,PGA(NS)=   0.65,PGA(EW)=   1.48,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.08
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist=  94.29,BAZ=135.25,PGA(V)=   0.55,PGA(NS)=   1.20,PGA(EW)=   1.08,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.05
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  95.02,BAZ= 49.71,PGA(V)=   0.61,PGA(NS)=   2.45,PGA(EW)=   2.49,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   2.60,PGV(SUM)=   0.12
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist=  95.65,BAZ=148.33,PGA(V)=   0.95,PGA(NS)=   2.14,PGA(EW)=   1.70,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.07,PGV(SUM)=   0.16
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist=  96.45,BAZ=110.45,PGA(V)=   1.01,PGA(NS)=   1.82,PGA(EW)=   1.37,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.88,PGV(SUM)=   0.17
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist=  96.91,BAZ=142.44,PGA(V)=   1.17,PGA(NS)=   3.06,PGA(EW)=   2.30,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.34,PGV(SUM)=   0.19
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  98.76,BAZ= 89.99,PGA(V)=   1.20,PGA(NS)=   3.46,PGA(EW)=   2.36,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   3.25,PGV(SUM)=   0.18
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  99.00,BAZ= 75.73,PGA(V)=   0.50,PGA(NS)=   1.57,PGA(EW)=   1.07,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.63,PGV(SUM)=   0.12
Stacode=NSY ,Staname=¤T¸q  ,Stalon=120.77,Stalat=24.41,Dist= 100.35,BAZ=114.26,PGA(V)=   0.57,PGA(NS)=   1.10,PGA(EW)=   0.75,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.13,PGV(SUM)=   0.09
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist= 100.94,BAZ= 96.52,PGA(V)=   0.53,PGA(NS)=   2.35,PGA(EW)=   1.61,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   2.20,PGV(SUM)=   0.13
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist= 101.00,BAZ= 22.36,PGA(V)=   0.37,PGA(NS)=   0.91,PGA(EW)=   1.23,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.32,PGV(SUM)=   0.06
