Origin Time:2024/04/10 17:09:45
Lon:121.61°E
Lat:23.90°N
Depth:11.9km
Mag:4.6
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  66.97,BAZ= 14.18,PGA(V)=   1.11,PGA(NS)=   2.42,PGA(EW)=   3.05,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.46,PGV(SUM)=   0.15
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  67.73,BAZ=100.34,PGA(V)=   0.66,PGA(NS)=   0.58,PGA(EW)=   0.91,PGV(V)=   0.03,PGV(NS)=   0.02,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.04
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  71.70,BAZ= 88.11,PGA(V)=   0.36,PGA(NS)=   1.32,PGA(EW)=   1.72,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.72,PGV(SUM)=   0.14
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  73.27,BAZ=103.46,PGA(V)=   0.44,PGA(NS)=   0.98,PGA(EW)=   0.58,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.88,PGV(SUM)=   0.03
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  80.63,BAZ= 73.52,PGA(V)=   0.69,PGA(NS)=   1.07,PGA(EW)=   1.49,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.07
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  80.90,BAZ= 55.35,PGA(V)=   0.77,PGA(NS)=   3.04,PGA(EW)=   2.68,PGV(V)=   0.04,PGV(NS)=   0.15,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   3.40,PGV(SUM)=   0.16
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  81.52,BAZ=177.27,PGA(V)=   0.27,PGA(NS)=   0.93,PGA(EW)=   0.99,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.02
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  84.45,BAZ= 22.62,PGA(V)=   0.50,PGA(NS)=   1.18,PGA(EW)=   1.45,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.48,PGV(SUM)=   0.06
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  92.42,BAZ= 15.31,PGA(V)=   0.86,PGA(NS)=   2.54,PGA(EW)=   2.81,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.70,PGV(SUM)=   0.08
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  93.21,BAZ= 26.40,PGA(V)=   0.56,PGA(NS)=   0.93,PGA(EW)=   0.76,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.04,PGV(SUM)=   0.03
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  93.67,BAZ= 88.23,PGA(V)=   0.59,PGA(NS)=   1.34,PGA(EW)=   0.89,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.03
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  94.87,BAZ= 90.30,PGA(V)=   1.05,PGA(NS)=   0.73,PGA(EW)=   0.79,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.03
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  97.74,BAZ=120.20,PGA(V)=   0.43,PGA(NS)=   0.80,PGA(EW)=   0.63,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.04
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  98.01,BAZ= 24.16,PGA(V)=   0.53,PGA(NS)=   0.73,PGA(EW)=   0.94,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.04
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  98.15,BAZ=105.91,PGA(V)=   0.52,PGA(NS)=   1.33,PGA(EW)=   1.19,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.46,PGV(SUM)=   0.07
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  99.35,BAZ= 37.09,PGA(V)=   0.62,PGA(NS)=   1.25,PGA(EW)=   1.31,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.04
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 101.14,BAZ= 70.46,PGA(V)=   0.51,PGA(NS)=   1.38,PGA(EW)=   1.63,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.78,PGV(SUM)=   0.09
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 105.26,BAZ= 93.49,PGA(V)=   1.65,PGA(NS)=   2.57,PGA(EW)=   2.01,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.06,Int= 2級,PGA(SUM)=   2.82,PGV(SUM)=   0.11
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 106.51,BAZ=155.41,PGA(V)=   0.28,PGA(NS)=   0.70,PGA(EW)=   0.75,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.06
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 107.71,BAZ= 16.99,PGA(V)=   1.12,PGA(NS)=   1.70,PGA(EW)=   1.67,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.05
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 108.87,BAZ= 77.17,PGA(V)=   0.76,PGA(NS)=   1.77,PGA(EW)=   2.46,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.05
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 108.99,BAZ=100.35,PGA(V)=   1.58,PGA(NS)=   4.85,PGA(EW)=   4.15,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   4.88,PGV(SUM)=   0.12
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 111.34,BAZ= 79.24,PGA(V)=   1.01,PGA(NS)=   1.72,PGA(EW)=   1.98,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.12,PGV(SUM)=   0.07
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 114.88,BAZ= 63.42,PGA(V)=   0.81,PGA(NS)=   1.80,PGA(EW)=   1.65,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.27,PGV(SUM)=   0.07
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 115.36,BAZ= 83.73,PGA(V)=   0.97,PGA(NS)=   2.24,PGA(EW)=   3.71,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.48,PGV(SUM)=   0.10
