Origin Time:2021/07/14 06:59:24
Lon:121.63°E
Lat:23.93°N
Depth:7.1km
Mag:5.0
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  62.10,AZ=155.71,PGA(V)=   1.31,PGA(NS)=   2.28,PGA(EW)=   1.63,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.08,PGV(SUM)=   0.09
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  70.06,AZ= 15.34,PGA(V)=   0.66,PGA(NS)=   1.08,PGA(EW)=   0.79,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.28,PGV(SUM)=   0.13
Stacode=WPL ,Staname=埔里  ,Stalon=120.95,Stalat=24.01,Dist=  70.24,AZ= 97.95,PGA(V)=   0.89,PGA(NS)=   0.64,PGA(EW)=   0.69,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.06
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  71.68,AZ= 26.52,PGA(V)=   0.50,PGA(NS)=   0.84,PGA(EW)=   0.96,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.11
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  73.94,AZ= 86.13,PGA(V)=   0.90,PGA(NS)=   1.80,PGA(EW)=   2.75,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   2.97,PGV(SUM)=   0.23
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  78.84,AZ=186.21,PGA(V)=   0.89,PGA(NS)=   0.88,PGA(EW)=   1.11,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.28,PGV(SUM)=   0.08
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  84.17,AZ= 54.71,PGA(V)=   0.48,PGA(NS)=   1.74,PGA(EW)=   1.27,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.94,PGV(SUM)=   0.13
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  92.88,AZ= 82.85,PGA(V)=   0.41,PGA(NS)=   0.61,PGA(EW)=   0.79,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.11
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  95.52,AZ= 16.13,PGA(V)=   0.42,PGA(NS)=   1.10,PGA(EW)=   1.22,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.11
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 101.27,AZ= 24.65,PGA(V)=   0.48,PGA(NS)=   0.85,PGA(EW)=   0.98,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.10
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 103.96,AZ= 69.48,PGA(V)=   0.55,PGA(NS)=   2.31,PGA(EW)=   2.62,PGV(V)=   0.05,PGV(NS)=   0.19,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   2.68,PGV(SUM)=   0.25
