Origin Time:2023/07/10 06:11:33
Lon:121.51°E
Lat:24.05°N
Depth:20.1km
Mag:5.3
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  51.15,BAZ=211.72,PGA(V)=   7.33,PGA(NS)=  10.71,PGA(EW)=  10.25,PGV(V)=   0.19,PGV(NS)=   0.25,PGV(EW)=   0.38,Int= 2級,PGA(SUM)=   7.87,PGV(SUM)=   0.40
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  56.74,BAZ= 85.55,PGA(V)=   2.67,PGA(NS)=   2.27,PGA(EW)=   2.89,PGV(V)=   0.10,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.33,PGV(SUM)=   0.13
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  60.95,BAZ=179.93,PGA(V)=   1.47,PGA(NS)=   2.36,PGA(EW)=   3.44,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   3.84,PGV(SUM)=   0.26
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  61.20,BAZ= 90.46,PGA(V)=   1.05,PGA(NS)=   1.75,PGA(EW)=   1.56,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.74,PGV(SUM)=   0.10
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  62.86,BAZ=113.41,PGA(V)=   1.12,PGA(NS)=   1.98,PGA(EW)=   2.14,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.08,PGV(SUM)=   0.19
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  63.55,BAZ= 17.12,PGA(V)=  13.74,PGA(NS)=  16.87,PGA(EW)=  10.30,PGV(V)=   0.27,PGV(NS)=   0.32,PGV(EW)=   0.22,Int= 3級,PGA(SUM)=  12.79,PGV(SUM)=   0.33
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  64.44,BAZ= 72.92,PGA(V)=   1.64,PGA(NS)=   2.85,PGA(EW)=   6.41,PGV(V)=   0.14,PGV(NS)=   0.21,PGV(EW)=   0.38,Int= 2級,PGA(SUM)=   6.68,PGV(SUM)=   0.41
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  65.15,BAZ=185.38,PGA(V)=   2.00,PGA(NS)=   8.39,PGA(EW)=   5.42,PGV(V)=   0.13,PGV(NS)=   0.36,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   7.79,PGV(SUM)=   0.38
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  67.50,BAZ= 76.03,PGA(V)=   0.53,PGA(NS)=   0.82,PGA(EW)=   0.65,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.08
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  67.67,BAZ=197.75,PGA(V)=   4.43,PGA(NS)=   4.61,PGA(EW)=   6.03,PGV(V)=   0.16,PGV(NS)=   0.26,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   7.12,PGV(SUM)=   0.38
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  70.44,BAZ=167.78,PGA(V)=   1.49,PGA(NS)=   2.52,PGA(EW)=   2.57,PGV(V)=   0.10,PGV(NS)=   0.09,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.89,PGV(SUM)=   0.18
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  70.92,BAZ=209.72,PGA(V)=   1.47,PGA(NS)=   2.50,PGA(EW)=   3.99,PGV(V)=   0.08,PGV(NS)=   0.08,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.64,PGV(SUM)=   0.14
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  75.73,BAZ=193.11,PGA(V)=   1.11,PGA(NS)=   1.94,PGA(EW)=   2.42,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.47,PGV(SUM)=   0.16
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist=  75.73,BAZ=147.98,PGA(V)=   0.64,PGA(NS)=   0.75,PGA(EW)=   0.84,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.05
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  77.95,BAZ= 59.61,PGA(V)=   1.07,PGA(NS)=   2.24,PGA(EW)=   2.00,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.22,PGV(SUM)=   0.12
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  80.55,BAZ= 14.25,PGA(V)=   2.00,PGA(NS)=   2.90,PGA(EW)=   3.69,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.76,PGV(SUM)=   0.13
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  81.25,BAZ=113.66,PGA(V)=   0.74,PGA(NS)=   1.11,PGA(EW)=   0.88,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.07
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  81.73,BAZ=  4.46,PGA(V)=   1.15,PGA(NS)=   1.98,PGA(EW)=   1.64,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   1.94,PGV(SUM)=   0.20
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist=  81.93,BAZ=141.31,PGA(V)=   0.54,PGA(NS)=   1.00,PGA(EW)=   0.94,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.07
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  82.58,BAZ=197.35,PGA(V)=   0.80,PGA(NS)=   1.39,PGA(EW)=   1.43,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.53,PGV(SUM)=   0.12
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist=  82.96,BAZ=142.55,PGA(V)=   1.09,PGA(NS)=   2.28,PGA(EW)=   1.21,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.14,PGV(SUM)=   0.08
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  83.93,BAZ= 72.31,PGA(V)=   0.91,PGA(NS)=   2.64,PGA(EW)=   2.06,PGV(V)=   0.06,PGV(NS)=   0.21,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.61,PGV(SUM)=   0.21
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  84.95,BAZ= 97.00,PGA(V)=   0.86,PGA(NS)=   0.81,PGA(EW)=   1.09,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.09
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  85.78,BAZ= 76.90,PGA(V)=   0.91,PGA(NS)=   2.42,PGA(EW)=   1.36,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.59,PGV(SUM)=   0.12
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  86.30,BAZ= 79.27,PGA(V)=   1.05,PGA(NS)=   1.32,PGA(EW)=   0.97,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.40,PGV(SUM)=   0.10
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  87.14,BAZ=150.32,PGA(V)=   1.05,PGA(NS)=   2.80,PGA(EW)=   4.52,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   5.21,PGV(SUM)=   0.20
