Origin Time:2024/11/16 15:01:40
Lon:120.20¢XE
Lat:23.18¢XN
Depth:12.9km
Mag:4.8
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  58.89,BAZ=329.16,PGA(V)=   0.25,PGA(NS)=   0.69,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.05
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  59.04,BAZ=270.08,PGA(V)=   0.47,PGA(NS)=   1.13,PGA(EW)=   0.70,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   1.13,PGV(SUM)=   0.04
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  59.28,BAZ=198.52,PGA(V)=   2.05,PGA(NS)=   3.80,PGA(EW)=   3.40,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   3.65,PGV(SUM)=   0.14
Stacode=WSS ,Staname=¹Ø¤s  ,Stalon=120.26,Stalat=22.64,Dist=  59.90,BAZ=354.35,PGA(V)=   0.53,PGA(NS)=   0.87,PGA(EW)=   1.08,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.06
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.50,Stalat=22.68,Dist=  63.26,BAZ=331.77,PGA(V)=   0.68,PGA(NS)=   1.11,PGA(EW)=   2.28,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.28,PGV(SUM)=   0.16
Stacode=SSD ,Staname=¤T¦aªù,Stalon=120.64,Stalat=22.74,Dist=  65.75,BAZ=317.21,PGA(V)=   0.60,PGA(NS)=   0.99,PGA(EW)=   0.73,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.92,PGV(SUM)=   0.04
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  66.84,BAZ=226.27,PGA(V)=   1.15,PGA(NS)=   2.33,PGA(EW)=   3.46,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   3.54,PGV(SUM)=   0.18
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  67.22,BAZ=213.80,PGA(V)=   1.50,PGA(NS)=   2.65,PGA(EW)=   2.98,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.66,PGV(SUM)=   0.10
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  68.37,BAZ=209.96,PGA(V)=   1.67,PGA(NS)=   2.33,PGA(EW)=   2.81,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   2.87,PGV(SUM)=   0.09
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist=  69.18,BAZ=181.60,PGA(V)=   1.78,PGA(NS)=   1.69,PGA(EW)=   4.51,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   3.55,PGV(SUM)=   0.11
