Origin Time:2021/06/11 15:33:26
Lon:121.53°E
Lat:23.89°N
Depth:10.6km
Mag:5.4
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  62.44,AZ=166.01,PGA(V)=   2.35,PGA(NS)=   6.90,PGA(EW)=   4.55,PGV(V)=   0.12,PGV(NS)=   0.22,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   6.59,PGV(SUM)=   0.25
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  63.31,AZ= 89.09,PGA(V)=   1.15,PGA(NS)=   3.99,PGA(EW)=   2.95,PGV(V)=   0.11,PGV(NS)=   0.36,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   4.94,PGV(SUM)=   0.43
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  63.40,AZ=200.55,PGA(V)=   2.67,PGA(NS)=   5.98,PGA(EW)=   5.16,PGV(V)=   0.08,PGV(NS)=   0.19,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   5.85,PGV(SUM)=   0.21
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  63.88,AZ= 19.68,PGA(V)=   1.28,PGA(NS)=   3.41,PGA(EW)=   2.81,PGV(V)=   0.20,PGV(NS)=   0.56,PGV(EW)=   0.33,Int= 2級,PGA(SUM)=   3.90,PGV(SUM)=   0.59
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist=  64.08,AZ=  7.21,PGA(V)=   1.62,PGA(NS)=   5.18,PGA(EW)=   2.57,PGV(V)=   0.22,PGV(NS)=   0.60,PGV(EW)=   0.39,Int= 2級,PGA(SUM)=   5.30,PGV(SUM)=   0.67
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  65.57,AZ=106.31,PGA(V)=   1.08,PGA(NS)=   1.80,PGA(EW)=   1.05,PGV(V)=   0.08,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.73,PGV(SUM)=   0.11
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  72.24,AZ= 72.68,PGA(V)=   0.78,PGA(NS)=   1.82,PGA(EW)=   1.51,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.12,PGV(SUM)=   0.11
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  73.27,AZ=125.84,PGA(V)=   0.91,PGA(NS)=   1.24,PGA(EW)=   1.36,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.40,PGV(SUM)=   0.15
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  78.90,AZ=178.73,PGA(V)=   0.78,PGA(NS)=   1.38,PGA(EW)=   1.48,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.70,PGV(SUM)=   0.10
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  80.31,AZ= 17.47,PGA(V)=   0.94,PGA(NS)=   1.94,PGA(EW)=   1.85,PGV(V)=   0.17,PGV(NS)=   0.44,PGV(EW)=   0.31,Int= 1級,PGA(SUM)=   2.37,PGV(SUM)=   0.47
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  82.05,AZ= 84.70,PGA(V)=   0.73,PGA(NS)=   1.55,PGA(EW)=   2.09,PGV(V)=   0.10,PGV(NS)=   0.20,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   2.11,PGV(SUM)=   0.22
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  82.91,AZ=183.06,PGA(V)=   1.44,PGA(NS)=   4.66,PGA(EW)=   4.00,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.59,PGV(SUM)=   0.19
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  84.44,AZ= 59.93,PGA(V)=   0.70,PGA(NS)=   2.50,PGA(EW)=   2.06,PGV(V)=   0.11,PGV(NS)=   0.18,PGV(EW)=   0.21,Int= 1級,PGA(SUM)=   2.45,PGV(SUM)=   0.28
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  84.52,AZ=192.97,PGA(V)=   2.83,PGA(NS)=   2.75,PGA(EW)=   4.48,PGV(V)=   0.12,PGV(NS)=   0.15,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   4.73,PGV(SUM)=   0.25
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  85.30,AZ= 88.99,PGA(V)=   0.89,PGA(NS)=   1.27,PGA(EW)=   1.33,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.13
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  86.26,AZ=202.82,PGA(V)=   1.07,PGA(NS)=   1.94,PGA(EW)=   1.51,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.95,PGV(SUM)=   0.10
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  86.30,AZ=101.28,PGA(V)=   0.87,PGA(NS)=   1.25,PGA(EW)=   1.44,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   1.46,PGV(SUM)=   0.23
