Origin Time:2019/04/10 04:24:13
Lon:121.56°E
Lat:23.97°N
Depth:10.3km
Mag:4.8
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=   5.80,AZ=260.18,PGA(V)=  17.49,PGA(NS)=  27.06,PGA(EW)=  33.46
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=   6.57,AZ= 89.36,PGA(V)=  70.73,PGA(NS)= 155.19,PGA(EW)= 114.45
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   8.28,AZ=326.69,PGA(V)=  35.38,PGA(NS)=  64.89,PGA(EW)=  74.45
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  13.63,AZ=200.74,PGA(V)=  11.73,PGA(NS)=  16.34,PGA(EW)=  18.78
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  19.80,AZ=358.42,PGA(V)=   6.96,PGA(NS)=  12.77,PGA(EW)=  20.77
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  20.74,AZ= 34.65,PGA(V)=  18.18,PGA(NS)=  30.07,PGA(EW)=  60.02
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  22.29,AZ=197.43,PGA(V)=  16.01,PGA(NS)=  46.84,PGA(EW)=  32.41
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  27.74,AZ=163.92,PGA(V)=  19.45,PGA(NS)=  17.13,PGA(EW)=  19.05
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  28.63,AZ=  2.01,PGA(V)=   5.63,PGA(NS)=   8.09,PGA(EW)=  10.60
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  35.00,AZ=124.11,PGA(V)=   4.69,PGA(NS)=   8.02,PGA(EW)=  11.13
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  38.84,AZ= 88.09,PGA(V)=   5.44,PGA(NS)=  12.54,PGA(EW)=  13.54
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  42.53,AZ=207.26,PGA(V)=   3.96,PGA(NS)=   3.93,PGA(EW)=   3.46
